Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
John,br BRA,GK,27.0,34.0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,17,1,Matches
Luiz Henrique,br BRA,"FW,MF",23.0,28.1,47,30,17,19,11,14,37,37.8,23,38,3,35,11,58,29,0,Matches
Bastos,ao ANG,DF,32.0,29.2,32,26,18,11,3,19,30,63.3,11,27,19,8,31,63,112,1,Matches
Marlon Freitas,br BRA,MF,28.0,26.9,43,27,20,22,1,26,42,61.9,16,33,14,19,20,63,41,2,Matches
Gregore,br BRA,MF,29.0,24.7,97,65,44,47,6,38,78,48.7,40,37,13,24,33,130,58,0,Matches
Alexander Barboza,ar ARG,DF,28.0,22.6,30,16,17,10,3,17,24,70.8,7,27,17,10,30,60,121,0,Matches
Jefferson Savarino,ve VEN,"MF,FW",27.0,22.3,8,2,2,3,3,6,20,30.0,14,9,2,7,2,10,9,0,Matches
Tchê Tchê,br BRA,"MF,FW",31.0,17.4,16,9,7,8,1,9,12,75.0,3,10,0,10,6,22,10,1,Matches
Júnior Santos,br BRA,FW,29.0,16.5,12,8,4,4,4,7,14,50.0,7,11,3,8,2,14,7,0,Matches
Cuiabano,br BRA,DF,20.0,16.4,49,34,25,17,7,22,33,66.7,11,21,3,18,23,72,49,0,Matches
Igor Jesus,br BRA,FW,22.0,16.2,8,7,2,6,0,3,10,30.0,7,17,2,15,2,10,9,0,Matches
Thiago Almada,ar ARG,"FW,MF",22.0,13.9,12,6,4,6,2,6,24,25.0,18,7,1,6,6,18,3,2,Matches
Lucas Halter,br BRA,DF,23.0,15.0,12,10,11,1,0,9,20,45.0,11,8,8,0,11,23,68,2,Matches
Danilo Barbosa,br BRA,MF,27.0,12.8,29,22,17,11,1,14,20,70.0,6,15,8,7,25,54,38,0,Matches
Tiquinho Soares,br BRA,FW,33.0,15.0,13,8,3,4,6,3,6,50.0,3,10,0,10,3,16,10,0,Matches
Damián Suárez,uy URU,DF,35.0,13.8,32,23,16,12,4,19,41,46.3,22,12,3,9,9,41,25,0,Matches
Mateo Ponte,uy URU,DF,20.0,12.6,37,25,22,11,4,12,23,52.2,11,8,3,5,21,58,27,0,Matches
Fernando Marçal,br BRA,DF,34.0,11.3,28,15,16,11,1,10,22,45.5,12,9,1,8,22,50,42,0,Matches
Vitinho,br BRA,"DF,MF",24.0,8.6,19,8,11,5,3,12,28,42.9,16,7,1,6,1,20,13,0,Matches
Carlos Eduardo,br BRA,"MF,FW",34.0,9.1,5,3,3,2,0,2,8,25.0,6,4,1,3,10,15,5,0,Matches
Alex Telles,br BRA,"DF,MF",31.0,7.2,10,7,6,4,0,4,12,33.3,8,9,3,6,12,22,5,0,Matches
Óscar Romero,py PAR,"MF,FW",31.0,7.5,19,12,11,3,5,9,19,47.4,10,7,0,7,6,25,10,0,Matches
Adryelson,br BRA,DF,25.0,6.4,4,3,2,2,0,2,2,100.0,0,5,3,2,10,14,34,1,Matches
Jeffinho,br BRA,"FW,MF",24.0,3.9,6,2,1,5,0,4,9,44.4,5,1,0,1,2,8,0,0,Matches
Matheus Martins,br BRA,"FW,MF",20.0,5.1,9,5,4,3,2,4,5,80.0,1,7,1,6,7,16,4,1,Matches
Hugo,br BRA,DF,22.0,4.9,11,7,9,1,1,6,12,50.0,6,4,1,3,5,16,11,0,Matches
Gatito Fernández,py PAR,GK,35.0,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,0,Matches
Allan,br BRA,"MF,DF",33.0,3.5,17,9,8,6,3,8,13,61.5,5,5,2,3,5,22,5,0,Matches
Carlos Alberto,br BRA,FW,21.0,2.4,3,2,2,1,0,1,2,50.0,1,4,1,3,0,3,2,0,Matches
Kauê,br BRA,"MF,FW",19.0,1.9,3,0,2,0,1,1,4,25.0,3,3,0,3,0,3,5,0,Matches
Matheus Nascimento,br BRA,FW,19.0,0.3,1,1,0,0,1,0,0,,0,1,0,1,0,1,0,0,Matches
Diego Hernández,uy URU,"FW,MF",23.0,2.3,6,4,2,3,1,3,5,60.0,2,5,1,4,1,7,4,0,Matches
Yarlen Augusto,br BRA,MF,17.0,0.9,2,1,0,1,1,0,2,0.0,2,2,0,2,1,3,0,0,Matches
Patrick de Paula,br BRA,"MF,FW",24.0,0.3,0,0,0,0,0,0,1,0.0,1,2,2,0,1,1,0,0,Matches
Pablo,br BRA,DF,32.0,0.3,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,3,0,Matches
Fabiano,br BRA,DF,17.0,0.2,3,2,2,1,0,1,2,50.0,1,0,0,0,0,3,0,0,Matches
Jacob Montes,ni NCA,"FW,MF",25.0,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Rafael,br BRA,FW,33.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Squad Total,,,27.9,38.0,624,400,308,241,75,292,582,50.2,290,366,116,250,318,942,781,11,
Opponent Total,,,27.7,38.0,642,369,349,238,55,254,549,46.3,295,454,149,305,305,947,926,14,
