Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2019-04-28,16:00,Série A,Matchweek 1,Sun,Away,L,0,4,Ceará,0.6,1.8,46,12550,Didira,4-2-3-1,4-2-3-1,Adriano Milevski,Match Report,
2019-05-01,16:00,Série A,Matchweek 2,Wed,Home,D,1,1,Palmeiras,0.4,1.6,43,15735,Jordi Almeida,4-2-3-1,4-2-3-1,Caio Max Augusto Vieira,Match Report,
2019-05-05,16:00,Série A,Matchweek 3,Sun,Home,D,0,0,Santos,1.2,1.6,29,10313,Didira,4-2-3-1,3-4-3,Rodolpho Toski Marques,Match Report,
2019-05-12,19:00,Série A,Matchweek 4,Sun,Away,D,0,0,Avaí,0.6,0.8,40,4852,Didira,4-2-3-1,4-3-3,Dewson Fernando Freitas da Silva,Match Report,
2019-05-19,16:00,Série A,Matchweek 5,Sun,Away,L,0,2,Internacional,0.9,1.2,37,24220,Didira,4-2-3-1,4-3-1-2,Rodrigo Carvalhaes de Miranda,Match Report,
2019-05-27,20:00,Série A,Matchweek 6,Mon,Home,W,1,0,Goiás,1.2,1.5,44,9128,Didira,4-2-3-1,4-2-3-1,Edina Alves Batista,Match Report,
2019-06-02,19:00,Série A,Matchweek 7,Sun,Away,L,0,4,Atlético Mineiro,0.5,3.8,29,14116,Didira,4-2-3-1,4-2-3-1,Diego Pombo Lopez,Match Report,
2019-06-09,19:00,Série A,Matchweek 8,Sun,Home,L,1,2,Botafogo (RJ),1.3,2.2,40,11602,Didira,4-2-3-1,4-1-4-1,Jean Pierre Goncalves Lima,Match Report,
2019-06-12,21:30,Série A,Matchweek 9,Wed,Home,L,0,2,Flamengo,0.4,2.8,34,37673,Didira,4-1-4-1,4-2-3-1,Douglas Marques das Flores,Match Report,
2019-07-14,16:00,Série A,Matchweek 10,Sun,Away,L,0,1,Corinthians,0.1,2.2,34,33952,Ricardo Bueno,4-2-2-2,4-1-4-1,Wagner Reway,Match Report,
2019-07-20,19:00,Série A,Matchweek 11,Sat,Home,L,0,4,Ath Paranaense,0.5,1.5,52,7845,Jordi Almeida,4-3-1-2,4-2-3-1,Ricardo Marques Ribeiro,Match Report,
2019-07-29,20:00,Série A,Matchweek 12,Mon,Home,D,0,0,Grêmio,0.5,1.4,40,11918,Didira,4-2-3-1,4-2-3-1,Caio Max Augusto Vieira,Match Report,
2019-08-04,19:00,Série A,Matchweek 13,Sun,Away,D,0,0,Vasco da Gama,1.2,0.7,43,9631,Luciano Castán,4-2-3-1,4-2-3-1,Marielson Alves Silva,Match Report,
2019-08-12,20:00,Série A,Matchweek 14,Mon,Home,L,0,2,Fortaleza,1.4,0.7,52,9924,Carlinhos,4-2-2-2,4-4-1-1,Gilberto Rodrigues Castro Junior,Match Report,
2019-08-18,16:00,Série A,Matchweek 15,Sun,Away,W,1,0,Fluminense,0.2,2.4,33,25049,João Vitor,4-2-2-2,4-1-4-1,Wagner Reway,Match Report,
2019-08-25,19:00,Série A,Matchweek 16,Sun,Home,D,1,1,Cruzeiro,1.1,1.5,48,8715,Jonathan David Gómez,4-1-2-1-2◆,4-2-3-1,Marcelo de Lima Henrique,Match Report,
2019-08-31,17:00,Série A,Matchweek 17,Sat,Away,L,0,1,Bahia,0.3,1.9,34,32483,Jordi Almeida,4-4-2,4-2-3-1,Vinicius Gomes do Amaral,Match Report,
2019-09-08,19:00,Série A,Matchweek 18,Sun,Home,W,2,0,Chapecoense,1.5,1.3,49,9311,Naldo,4-1-2-1-2◆,4-2-3-1,Vinicius Gonçalves Dias Araujo,Match Report,
2019-09-15,19:00,Série A,Matchweek 19,Sun,Away,D,1,1,São Paulo,0.7,2.8,29,29779,Alecsandro,4-2-3-1,4-2-3-1,Heber Roberto Lopes,Match Report,
2019-09-22,16:00,Série A,Matchweek 20,Sun,Home,W,1,0,Ceará,1.2,1.2,46,10566,Apodi,4-2-3-1,4-2-3-1,Ricardo Marques Ribeiro,Match Report,
2019-09-26,19:15,Série A,Matchweek 21,Thu,Away,L,2,6,Palmeiras,1.4,2.9,32,21537,Dawhan,4-2-3-1,4-2-3-1,Diego Pombo Lopez,Match Report,
2019-09-29,16:00,Série A,Matchweek 22,Sun,Away,L,0,2,Santos,0.3,1.7,39,6615,Héctor Bustamante,4-2-2-2,4-3-3,Wagner do Nascimento Magalhaes,Match Report,
2019-10-06,19:00,Série A,Matchweek 23,Sun,Home,W,3,1,Avaí,2.3,1.8,31,8346,Jonathan David Gómez,4-3-3,4-1-4-1,Anderson Daronco,Match Report,
2019-10-09,19:15,Série A,Matchweek 24,Wed,Home,W,1,0,Internacional,1.3,1.0,31,9927,Jonathan David Gómez,4-2-3-1,4-3-3,Vinicius Furlan,Match Report,
2019-10-12,17:00,Série A,Matchweek 25,Sat,Away,L,0,1,Goiás,0.6,0.9,50,8826,Jonathan David Gómez,4-2-3-1,4-3-3,Felipe Fernandes de Lima,Match Report,
2019-10-16,19:15,Série A,Matchweek 26,Wed,Home,D,2,2,Atlético Mineiro,1.5,1.7,42,13075,Jonathan David Gómez,4-2-3-1,4-1-4-1,Savio Pereira,Match Report,
2019-10-21,20:00,Série A,Matchweek 27,Mon,Away,L,1,2,Botafogo (RJ),1.1,1.6,57,18199,Jonathan David Gómez,4-1-4-1,4-2-3-1,Leandro Pedro Vuaden,Match Report,
2019-10-27,20:00,Série A,Matchweek 28,Sun,Away,L,0,1,Flamengo,0.8,2.2,38,69846,João Carlos,4-1-4-1,4-1-3-2,Rodolpho Toski Marques,Match Report,
2019-10-30,21:30,Série A,Matchweek 29,Wed,Home,W,2,1,Corinthians,0.7,0.6,44,15428,Apodi,4-2-3-1,4-1-4-1,Rafael Traci,Match Report,
2019-11-03,19:00,Série A,Matchweek 30,Sun,Away,L,0,1,Ath Paranaense,0.3,2.6,35,10681,João Vitor,4-2-3-1,4-2-3-1,Savio Pereira,Match Report,
2019-11-07,21:00,Série A,Matchweek 31,Thu,Away,L,1,2,Grêmio,0.7,1.7,35,11334,Didira,4-2-2-2,4-2-3-1,Jose Mendonca da Silva Junior,Match Report,
