Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Éverson,br BRA,GK,27.0,37,37,3330.0,37.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
Luiz Otávio,br BRA,DF,29.0,35,34,3097.0,34.4,1.0,1.0,2.0,1.0,0.0,0.0,8.0,0.0,0.03,0.03,0.06,0.03,0.06,Matches
Richardson,br BRA,MF,26.0,30,30,2646.0,29.4,0.0,2.0,2.0,0.0,0.0,1.0,13.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches
Arthur Cabral,br BRA,FW,19.0,31,27,2462.0,27.4,7.0,2.0,9.0,7.0,0.0,1.0,5.0,0.0,0.26,0.07,0.33,0.26,0.33,Matches
Tiago Alves,br BRA,DF,33.0,28,26,2320.0,25.8,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
Samuel Xavier,br BRA,DF,27.0,25,25,2188.0,24.3,1.0,4.0,5.0,1.0,0.0,0.0,12.0,2.0,0.04,0.16,0.21,0.04,0.21,Matches
Ricardo Dias Acosta,br BRA,MF,32.0,26,20,1626.0,18.1,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,0.06,0.11,0.17,0.06,0.17,Matches
Leandro Carvalho,br BRA,"FW,MF",22.0,20,19,1530.0,17.0,5.0,4.0,9.0,5.0,0.0,0.0,6.0,1.0,0.29,0.24,0.53,0.29,0.53,Matches
Edinho Campos,br BRA,MF,35.0,18,18,1580.0,17.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Calyson,br BRA,MF,24.0,22,18,1474.0,16.4,3.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,0.18,0.0,0.18,0.18,0.18,Matches
Felipe Azevedo,br BRA,"FW,MF",31.0,32,17,1620.0,18.0,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,0.06,0.17,0.22,0.06,0.22,Matches
Juninho,br BRA,MF,31.0,16,16,1405.0,15.6,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.06,0.0,0.06,0.0,0.0,Matches
João Lucas Cardoso,br BRA,DF,26.0,15,15,1290.0,14.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Felipe Jonatan,br BRA,"DF,MF",19.0,14,14,1234.0,13.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Juninho Quixadá,br BRA,FW,32.0,14,14,1028.0,11.4,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,0.18,0.18,0.35,0.18,0.35,Matches
Valdo,br BRA,DF,25.0,17,12,1090.0,12.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches
Fábio Gonçalves,br BRA,MF,31.0,14,12,983.0,10.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Wescley,br BRA,"FW,MF",26.0,11,8,672.0,7.5,3.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,0.4,0.0,0.4,0.4,0.4,Matches
Pio,br BRA,MF,30.0,8,7,617.0,6.9,1.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,0.15,0.15,0.29,0.0,0.15,Matches
Romário,br BRA,DF,25.0,8,6,533.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Rafael Pereira,br BRA,DF,33.0,6,6,491.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Éder Luís,br BRA,"FW,MF",32.0,13,4,486.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Javier Reina,co COL,"FW,MF",29.0,10,4,442.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Élton Rodrigues Brandão,br BRA,FW,32.0,6,4,423.0,4.7,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,0.43,0.21,0.64,0.43,0.64,Matches
Arnaldo,br BRA,DF,25.0,12,4,404.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Rafael Carioca,br BRA,DF,25.0,5,4,394.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Eduardo Brock,br BRA,DF,26.0,8,3,361.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Pedro Ken,br BRA,MF,30.0,10,2,301.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jown Cardona,co COL,MF,23.0,7,2,281.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Naldo,br BRA,MF,27.0,5,2,275.0,3.1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.33,0.0,0.33,0.33,0.33,Matches
Ricardo Bueno,br BRA,FW,30.0,6,2,190.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Douglas Coutinho,br BRA,"FW,MF",23.0,5,2,181.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Hyuri,br BRA,"FW,MF",26.0,4,1,167.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ernandes Dias Luz,br BRA,"DF,MF",30.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Patrick,br BRA,DF,20.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Diogo Silva,br BRA,GK,31.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Roberto César,br BRA,"FW,MF",32.0,3,0,68.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Luidy,br BRA,MF,21.0,3,0,47.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Robinho,br BRA,MF,23.0,2,0,37.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Juninho Piauiense,br BRA,FW,18.0,2,0,32.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Romário,br BRA,FW,25.0,1,0,23.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Renan Brito Soares,br BRA,GK,33.0,0,0,,,,,,,,,,,,,,,,Matches
Matheus Cabral,br BRA,GK,19.0,0,0,,,,,,,,,,,,,,,,Matches
Jackson Caucaia,br BRA,MF,31.0,0,0,,,,,,,,,,,,,,,,Matches
Fernando Henrique,br BRA,GK,34.0,0,0,,,,,,,,,,,,,,,,Matches
Matheus Lira,br BRA,MF,20.0,0,0,,,,,,,,,,,,,,,,Matches
Bruno Pires,br BRA,DF,25.0,0,0,,,,,,,,,,,,,,,,Matches
Duduh Silva,br BRA,FW,18.0,0,0,,,,,,,,,,,,,,,,Matches
Leandro Silva,br BRA,DF,29.0,0,0,,,,,,,,,,,,,,,,Matches
Squad Total,,,28.1,38,418,3420.0,38.0,32.0,22.0,54.0,30.0,2.0,4.0,95.0,3.0,0.84,0.58,1.42,0.79,1.37,
Opponent Total,,,27.3,38,418,3420.0,38.0,37.0,27.0,64.0,35.0,2.0,2.0,91.0,1.0,0.97,0.71,1.68,0.92,1.63,
