Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2019-04-28,16:00,Série A,Matchweek 1,Sun,Home,W,4,0,CSA,1.8,0.6,54,12550,Tiago Alves,4-2-3-1,4-2-3-1,Adriano Milevski,Match Report,
2019-05-01,19:15,Série A,Matchweek 2,Wed,Away,L,0,1,Cruzeiro,1.9,1.1,42,22677,Tiago Alves,4-2-3-1,4-2-3-1,Wagner Reway,Match Report,
2019-05-04,21:00,Série A,Matchweek 3,Sat,Home,L,1,2,Atlético Mineiro,0.8,1.1,47,16815,Tiago Alves,4-2-3-1,4-2-3-1,Flavio Rodrigues De Souza,Match Report,
2019-05-11,21:00,Série A,Matchweek 4,Sat,Away,L,1,2,Goiás,1.1,2.3,62,9493,Tiago Alves,4-2-3-1,4-2-3-1,Caio Max Augusto Vieira,Match Report,
2019-05-19,19:00,Série A,Matchweek 5,Sun,Home,W,2,1,Grêmio,0.3,1.3,36,17506,Ricardo Dias Acosta,4-4-2,4-2-3-1,Igor Junior Benevenuto,Match Report,
2019-05-27,20:00,Série A,Matchweek 6,Mon,Away,W,2,1,Avaí,1.1,2.9,49,5543,Ricardo Dias Acosta,4-4-2,4-3-3,Rodrigo Carvalhaes de Miranda,Match Report,
2019-06-02,16:00,Série A,Matchweek 7,Sun,Home,L,0,1,Santos,0.8,1.2,40,50809,Samuel Xavier,4-4-2,4-3-3,Ricardo Marques Ribeiro,Match Report,
2019-06-08,19:30,Série A,Matchweek 8,Sat,Home,D,0,0,Bahia,1.7,0.6,62,15566,Ricardo Dias Acosta,4-2-3-1,4-3-3,Thiago Duarte Peixoto,Match Report,
2019-06-13,19:15,Série A,Matchweek 9,Thu,Away,L,0,1,Vasco da Gama,0.9,1.9,47,19584,Ricardo Dias Acosta,4-4-2,4-3-3,Flavio Rodrigues De Souza,Match Report,
2019-07-15,20:00,Série A,Matchweek 10,Mon,Away,D,1,1,Fluminense,0.7,2.2,30,23484,Ricardo Dias Acosta,4-1-4-1,4-3-3,Douglas Marques das Flores,Match Report,
2019-07-20,19:00,Série A,Matchweek 11,Sat,Home,W,2,0,Palmeiras,0.6,1.7,42,32287,Ricardo Dias Acosta,4-4-2,4-2-3-1,Rodrigo D'Alonso Ferreira,Match Report,
2019-07-27,19:00,Série A,Matchweek 12,Sat,Away,L,0,1,Internacional,0.5,1.3,46,11033,Ricardo Dias Acosta,4-4-2,4-3-3,Marcelo de Lima Henrique,Match Report,
2019-08-03,19:00,Série A,Matchweek 13,Sat,Home,W,2,1,Fortaleza,1.8,1.8,36,38421,Ricardo Dias Acosta,4-2-3-1,4-4-2,Heber Roberto Lopes,Match Report,
2019-08-10,17:00,Série A,Matchweek 14,Sat,Home,W,4,1,Chapecoense,1.2,1.1,40,21428,Ricardo Dias Acosta,4-2-3-1,4-4-1-1,Rodrigo Carvalhaes de Miranda,Match Report,
2019-08-18,16:00,Série A,Matchweek 15,Sun,Away,L,0,1,São Paulo,0.7,1.0,42,47705,Ricardo Dias Acosta,4-2-3-1,4-1-4-1,Gilberto Rodrigues Castro Junior,Match Report,
2019-08-25,19:00,Série A,Matchweek 16,Sun,Home,L,0,3,Flamengo,0.7,1.6,51,49986,Ricardo Dias Acosta,4-2-3-1,4-1-4-1,Wilton Sampaio,Match Report,
2019-08-31,19:00,Série A,Matchweek 17,Sat,Away,L,0,1,Ath Paranaense,0.4,1.0,32,10075,Tiago Alves,4-2-3-1,4-2-3-1,Leandro Pedro Vuaden,Match Report,
2019-09-07,11:00,Série A,Matchweek 18,Sat,Away,D,2,2,Corinthians,1.3,1.0,40,43230,Ricardo Dias Acosta,4-2-3-1,4-1-4-1,Paulo Roberto Alves Júnior,Match Report,
2019-09-14,21:00,Série A,Matchweek 19,Sat,Home,D,0,0,Botafogo (RJ),1.7,0.1,41,20906,Ricardo Dias Acosta,4-2-3-1,4-1-4-1,Luiz Flávio de Oliveira,Match Report,
2019-09-22,16:00,Série A,Matchweek 20,Sun,Away,L,0,1,CSA,1.2,1.2,54,10566,Tiago Alves,4-2-3-1,4-2-3-1,Ricardo Marques Ribeiro,Match Report,
2019-09-25,19:30,Série A,Matchweek 21,Wed,Home,D,0,0,Cruzeiro,2.0,1.7,47,18595,Ricardo Dias Acosta,4-2-3-1,4-1-4-1,Braulio da Silva Machado,Match Report,
2019-09-29,19:00,Série A,Matchweek 22,Sun,Away,L,1,2,Atlético Mineiro,1.1,2.2,38,6131,Ricardo Dias Acosta,4-2-3-1,4-1-4-1,Paulo Roberto Alves Júnior,Match Report,
2019-10-06,16:00,Série A,Matchweek 23,Sun,Home,L,0,1,Goiás,2.5,0.7,57,19071,Ricardo Dias Acosta,4-4-2,4-3-3,Jose Mendonca da Silva Junior,Match Report,
2019-10-09,21:00,Série A,Matchweek 24,Wed,Away,L,1,2,Grêmio,1.8,2.4,33,6078,Tiago Alves,4-2-3-1,4-2-3-1,Edina Alves Batista,Match Report,
2019-10-13,16:00,Série A,Matchweek 25,Sun,Home,W,1,0,Avaí,2.0,0.8,56,16892,Ricardo Dias Acosta,4-2-3-1,4-1-4-1,Marcelo de Lima Henrique,Match Report,
2019-10-17,19:15,Série A,Matchweek 26,Thu,Away,L,1,2,Santos,0.7,1.4,33,7804,Tiago Alves,4-4-1-1,4-3-3,Rafael Traci,Match Report,
2019-10-21,19:30,Série A,Matchweek 27,Mon,Away,W,2,1,Bahia,1.2,1.4,53,28415,Ricardo Dias Acosta,4-3-1-2,4-1-4-1,Luiz Flávio de Oliveira,Match Report,
2019-10-26,17:00,Série A,Matchweek 28,Sat,Home,D,1,1,Vasco da Gama,1.3,1.0,63,35178,Ricardo Dias Acosta,4-1-4-1,4-3-3,Jean Pierre Goncalves Lima,Match Report,
2019-10-30,21:30,Série A,Matchweek 29,Wed,Home,W,2,0,Fluminense,1.9,1.4,29,19660,Ricardo Dias Acosta,4-4-2,4-1-4-1,Leandro Pedro Vuaden,Match Report,
2019-11-02,20:00,Série A,Matchweek 30,Sat,Away,L,0,1,Palmeiras,1.7,0.4,45,29019,Samuel Xavier,4-1-4-1,4-2-3-1,Felipe Fernandes de Lima,Match Report,
2019-11-07,19:30,Série A,Matchweek 31,Thu,Home,W,2,0,Internacional,1.4,1.2,41,19966,Ricardo Dias Acosta,4-4-2,4-2-3-1,Wilton Sampaio,Match Report,
2019-11-10,19:00,Série A,Matchweek 32,Sun,Away,L,0,1,Fortaleza,1.0,1.1,63,46093,Ricardo Dias Acosta,3-4-3,4-2-3-1,Flavio Rodrigues De Souza,Match Report,
2019-11-17,18:00,Série A,Matchweek 33,Sun,Away,L,0,1,Chapecoense,1.7,1.6,60,3431,Ricardo Dias Acosta,4-2-3-1,4-2-3-1,Rodolpho Toski Marques,Match Report,
2019-11-24,19:00,Série A,Matchweek 34,Sun,Home,D,1,1,São Paulo,1.6,1.2,49,29001,Ricardo Dias Acosta,4-1-4-1,4-1-4-1,Rafael Traci,Match Report,
2019-11-27,21:30,Série A,Matchweek 35,Wed,Away,L,1,4,Flamengo,1.0,4.4,34,67539,Ricardo Dias Acosta,4-5-1,4-2-3-1,Paulo Roberto Alves Júnior,Match Report,
2019-11-30,19:00,Série A,Matchweek 36,Sat,Home,D,1,1,Ath Paranaense,2.1,0.7,51,24262,Luiz Otávio,4-2-3-1,4-2-3-1,Marcelo Aparecido Ribeiro De Souza,Match Report,
2019-12-04,19:30,Série A,Matchweek 37,Wed,Home,L,0,1,Corinthians,0.6,1.4,37,49200,Luiz Otávio,4-2-3-1,4-1-4-1,Rafael Traci,Match Report,
2019-12-08,16:00,Série A,Matchweek 38,Sun,Away,D,1,1,Botafogo (RJ),2.0,1.5,50,25900,Luiz Otávio,4-1-4-1,4-1-4-1,Luiz Flávio de Oliveira,Match Report,
