Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Fernando Sobral,br BRA,"MF,FW",25.0,31.1,79,2.54,62,0,7,2,6,2,4,0.13,4,0,0,0,0,0,Matches
Vinícius,br BRA,"MF,FW",28.0,28.8,134,4.66,72,44,3,6,6,3,23,0.8,13,4,2,1,2,1,Matches
Bruno Pacheco,br BRA,DF,28.0,28.7,57,1.99,39,14,2,1,1,0,7,0.24,7,0,0,0,0,0,Matches
Cléber,br BRA,FW,23.0,24.5,40,1.63,26,0,1,7,4,2,6,0.24,2,0,0,3,1,0,Matches
Luiz Otávio,br BRA,DF,31.0,27.5,15,0.55,12,0,0,0,2,1,3,0.11,2,0,0,0,1,0,Matches
Tiago Pagnussat,br BRA,DF,29.0,27.5,19,0.69,12,1,0,4,0,2,1,0.04,1,0,0,0,0,0,Matches
Samuel Xavier,br BRA,DF,29.0,26.4,51,1.93,40,4,2,5,0,0,6,0.23,6,0,0,0,0,0,Matches
Fábio Gonçalves,br BRA,MF,33.0,25.5,25,0.98,17,1,2,1,1,3,1,0.04,1,0,0,0,0,0,Matches
Charles Rigon Matos,br BRA,MF,23.0,22.8,43,1.89,35,0,1,3,1,3,4,0.18,3,0,0,1,0,0,Matches
Fernando Prass,br BRA,GK,41.0,22.0,1,0.05,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Lima,br BRA,"FW,MF",23.0,19.3,57,2.95,38,1,7,3,8,0,7,0.36,3,0,2,1,1,0,Matches
Léo Chú,br BRA,FW,19.0,15.6,44,2.82,30,0,9,1,2,2,7,0.45,6,0,0,0,1,0,Matches
Richard,br BRA,GK,28.0,16.0,3,0.19,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Eduardo,br BRA,DF,33.0,10.1,14,1.38,12,0,2,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Leandro Carvalho,br BRA,"FW,MF",24.0,9.0,18,2.0,12,2,1,0,3,0,3,0.33,1,1,0,0,1,0,Matches
Willian Klaus,br BRA,DF,26.0,8.2,1,0.12,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Alyson Neves,br BRA,DF,23.0,7.5,9,1.2,6,0,2,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Gabriel Lacerda,br BRA,DF,20.0,7.2,4,0.55,2,0,0,2,0,0,1,0.14,1,0,0,0,0,0,Matches
Mateus Gonçalves Martins,br BRA,FW,25.0,6.5,20,3.07,15,0,3,2,0,0,1,0.15,0,0,1,0,0,0,Matches
Pedrinho,br BRA,MF,22.0,6.1,11,1.81,7,0,2,0,0,2,3,0.49,3,0,0,0,0,0,Matches
Rafael Sóbis,br BRA,"FW,MF",34.0,5.6,19,3.38,11,1,3,3,1,0,0,0.0,0,0,0,0,0,0,Matches
Eduardo Brock,br BRA,DF,28.0,5.5,5,0.91,5,0,0,0,0,0,1,0.18,1,0,0,0,0,0,Matches
William Oliveira,br BRA,MF,27.0,4.8,4,0.83,3,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ricardo Dias Acosta,br BRA,MF,34.0,4.5,14,3.1,13,0,1,0,0,0,1,0.22,1,0,0,0,0,0,Matches
Felipe Vizeu,br BRA,"FW,MF",22.0,3.6,9,2.49,7,0,1,1,0,0,1,0.28,0,0,1,0,0,0,Matches
Felipe Silva,br BRA,"FW,MF",29.0,2.9,21,7.21,14,3,2,1,0,1,2,0.69,1,1,0,0,0,0,Matches
Wescley,br BRA,"MF,FW",28.0,4.3,21,4.91,16,2,0,1,2,0,2,0.47,1,1,0,0,0,0,Matches
Kelvyn,br BRA,"DF,FW",20.0,3.8,6,1.58,4,2,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Saulo Mineiro,br BRA,FW,22.0,5.7,12,2.11,4,0,5,2,1,0,3,0.53,0,0,2,0,1,0,Matches
Rick,br BRA,"FW,MF",20.0,2.1,8,3.89,4,0,2,0,2,0,2,0.97,1,0,1,0,0,0,Matches
Marthã,br BRA,MF,22.0,0.6,2,3.53,1,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Vítor Jacaré,br BRA,FW,20.0,2.9,11,3.78,5,0,3,2,1,0,0,0.0,0,0,0,0,0,0,Matches
Bergson da Silva,br BRA,FW,28.0,0.6,3,4.58,2,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Alan Uchôa,br BRA,DF,20.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,27.9,38.0,780,20.53,530,76,62,48,43,21,89,2.34,58,7,9,6,8,1,
Opponent Total,,,26.1,38.0,888,23.37,681,66,48,36,49,8,85,2.24,54,3,9,7,10,2,
