Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Fernando Sobral,br BRA,"MF,FW",25.0,34,2803.0,82.0,82.0,31.1,32,86.0,22.0,2,30.0,0,1.26,41.0,36.0,5.0,0.16,0.45,40.4,39.1,1.3,0.04,0.35,Matches
Vinícius,br BRA,"MF,FW",28.0,31,2593.0,84.0,75.8,28.8,30,85.0,12.0,1,29.0,0,1.61,42.0,34.0,8.0,0.28,0.82,38.6,36.8,1.8,0.06,0.34,Matches
Bruno Pacheco,br BRA,DF,28.0,29,2579.0,89.0,75.4,28.7,29,89.0,25.0,0,,2,1.41,41.0,40.0,1.0,0.03,-0.18,39.8,39.2,0.6,0.02,0.16,Matches
Cléber,br BRA,FW,23.0,33,2208.0,67.0,64.6,24.5,29,72.0,3.0,4,31.0,3,1.27,34.0,34.0,0.0,0.0,-0.22,32.1,37.4,-5.3,-0.22,-0.56,Matches
Luiz Otávio,br BRA,DF,31.0,28,2474.0,88.0,72.3,27.5,28,88.0,26.0,0,,0,1.36,41.0,40.0,1.0,0.04,-0.15,38.0,39.0,-1.0,-0.04,-0.05,Matches
Tiago Pagnussat,br BRA,DF,29.0,28,2472.0,88.0,72.3,27.5,28,88.0,22.0,0,,1,1.36,37.0,34.0,3.0,0.11,0.11,36.5,34.3,2.2,0.08,0.36,Matches
Samuel Xavier,br BRA,DF,29.0,28,2380.0,85.0,69.6,26.4,28,85.0,22.0,0,,0,1.32,36.0,37.0,-1.0,-0.04,-0.38,37.1,34.7,2.4,0.09,0.36,Matches
Fábio Gonçalves,br BRA,MF,33.0,31,2294.0,74.0,67.1,25.5,26,82.0,14.0,5,33.0,0,1.32,34.0,35.0,-1.0,-0.04,-0.36,37.3,36.8,0.5,0.02,0.12,Matches
Charles Rigon Matos,br BRA,MF,23.0,31,2055.0,66.0,60.1,22.8,23,80.0,14.0,8,28.0,3,1.45,31.0,30.0,1.0,0.04,-0.09,30.2,30.6,-0.4,-0.02,0.01,Matches
Fernando Prass,br BRA,GK,41.0,22,1980.0,90.0,57.9,22.0,22,90.0,22.0,0,,16,1.18,28.0,33.0,-5.0,-0.23,-0.73,29.2,30.2,-1.1,-0.05,-0.07,Matches
Lima,br BRA,"FW,MF",23.0,31,1740.0,56.0,50.9,19.3,20,75.0,5.0,11,21.0,3,1.39,28.0,22.0,6.0,0.31,0.47,26.2,27.5,-1.3,-0.07,-0.1,Matches
