Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Fernando Sobral,br BRA,MF,26.0,33.4,1620,1533,84,51,8,26,33,33,0,0,0,0,1295,3,35,Matches
Messias,br BRA,DF,26.0,33.5,1095,1019,70,57,1,12,0,0,0,0,0,0,842,6,5,Matches
Bruno Pacheco,br BRA,DF,29.0,32.4,1457,1118,331,41,0,9,82,274,16,1,14,0,1074,8,40,Matches
Vinícius,br BRA,"MF,FW",29.0,26.4,1173,1019,148,59,6,25,125,5,72,21,39,1,880,6,23,Matches
Lima,br BRA,FW,24.0,23.5,932,840,90,28,5,4,60,29,31,19,3,6,699,2,28,Matches
Stiven Mendoza,co COL,"FW,MF",28.0,22.2,702,662,37,11,3,6,49,3,21,7,8,0,534,3,33,Matches
Richard,br BRA,GK,29.0,22.0,610,371,237,63,0,2,0,0,0,0,0,0,429,2,0,Matches
Gabriel Lacerda,br BRA,DF,21.0,19.9,689,649,40,36,0,9,1,1,0,0,0,0,528,0,6,Matches
Luiz Otávio,br BRA,DF,32.0,19.1,659,629,28,27,0,9,3,1,0,0,0,0,543,2,10,Matches
Marlon,br BRA,MF,30.0,16.3,717,677,40,32,1,9,12,6,2,0,2,0,602,0,11,Matches
Fábio Gonçalves,br BRA,"MF,DF",34.0,14.4,591,538,51,24,0,15,7,27,0,0,0,0,454,2,9,Matches
Cléber,br BRA,FW,24.0,15.7,370,342,26,1,0,2,12,1,0,0,0,0,254,2,14,Matches
Gabriel Dias,br BRA,DF,26.0,12.5,500,392,108,8,0,2,22,100,0,0,0,0,380,0,11,Matches
João Ricardo Riedi,br BRA,GK,32.0,12.5,362,209,153,38,0,3,0,0,0,0,0,0,260,0,0,Matches
Igor Inocêncio,br BRA,DF,22.0,12.1,553,415,137,9,1,0,59,123,5,1,4,0,377,1,22,Matches
Jael Ferreira,br BRA,FW,32.0,9.0,232,218,13,2,4,1,3,2,0,0,0,0,137,1,3,Matches
Rick,br BRA,FW,21.0,12.7,382,373,6,3,2,3,35,1,0,0,0,0,284,3,12,Matches
Jorginho,br BRA,MF,30.0,10.9,512,447,63,17,5,2,62,6,39,18,18,0,360,2,13,Matches
Kelvyn,br BRA,"DF,FW",21.0,11.3,577,487,88,17,0,0,35,62,8,3,5,0,459,2,15,Matches
Marcos Ytalo,br BRA,DF,24.0,9.8,417,328,87,3,0,0,28,84,0,0,0,0,328,2,8,Matches
Saulo Mineiro,br BRA,"FW,MF",23.0,7.4,116,103,12,0,0,0,4,0,0,0,0,0,75,1,5,Matches
Erick,br BRA,"FW,MF",23.0,7.7,259,242,16,4,3,4,20,6,4,4,0,0,189,1,6,Matches
William Oliveira,br BRA,MF,28.0,5.8,147,145,2,2,0,2,1,0,0,0,0,0,123,0,3,Matches
Willian Klaus,br BRA,DF,27.0,4.0,208,202,6,5,0,0,0,1,0,0,0,0,184,0,0,Matches
Vinícius Machado,br BRA,GK,20.0,3.5,67,34,33,10,0,0,0,0,0,0,0,0,36,0,1,Matches
Willian,br BRA,MF,27.0,3.1,167,161,6,6,0,2,1,0,0,0,0,0,141,0,3,Matches
Geovane,br BRA,MF,21.0,2.2,114,109,3,3,0,2,0,0,0,0,0,0,82,2,3,Matches
Yony González,co COL,FW,26.0,4.5,76,69,7,0,0,0,5,2,0,0,0,0,52,0,1,Matches
Pedrinho,br BRA,MF,23.0,2.8,122,117,5,4,0,2,0,1,0,0,0,0,101,0,3,Matches
Airton,br BRA,FW,21.0,1.7,25,24,0,0,0,0,0,0,0,0,0,0,15,1,2,Matches
Gabriel Santos,br BRA,"FW,MF",21.0,1.5,50,48,2,0,1,0,6,0,1,0,0,0,29,0,6,Matches
Felipe Vizeu,br BRA,FW,23.0,0.7,12,10,2,0,0,0,1,0,0,0,0,0,7,0,0,Matches
Charles Rigon Matos,br BRA,MF,24.0,1.3,75,69,6,5,0,0,2,1,0,0,0,0,55,0,0,Matches
Jordan,br BRA,DF,21.0,0.5,15,13,2,2,0,0,0,0,0,0,0,0,13,0,0,Matches
Wendson,br BRA,"MF,FW",23.0,0.4,10,10,0,0,0,0,2,0,0,0,0,0,7,0,0,Matches
João Victor,br BRA,FW,16.0,0.2,6,6,0,0,0,0,0,0,0,0,0,0,4,0,1,Matches
Hélio Borges,br BRA,FW,20.0,0.1,6,6,0,0,0,0,2,0,0,0,0,0,2,0,2,Matches
Cristiano,br BRA,FW,21.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Squad Total,,,27.2,38.0,15625,13634,1939,568,40,151,672,769,199,74,93,7,11834,52,334,
Opponent Total,,,26.4,38.0,17793,15774,1973,593,30,176,711,800,208,76,72,2,14042,46,283,
