Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Fernando Sobral,br BRA,MF,26.0,33.4,0,29,7,24.1,0.87,0.21,0.0,0.0,27.8,1,0,0,1.0,1.0,0.03,-1.0,-1.0,Matches
Messias,br BRA,DF,26.0,33.5,1,20,3,15.0,0.6,0.09,0.05,0.33,13.4,0,0,0,1.0,1.0,0.05,0.0,0.0,Matches
Bruno Pacheco,br BRA,DF,29.0,32.4,0,8,2,25.0,0.25,0.06,0.0,0.0,20.2,1,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
Vinícius,br BRA,"MF,FW",29.0,26.4,8,76,25,32.9,2.88,0.95,0.08,0.24,23.0,11,2,2,8.0,6.4,0.08,0.0,-0.4,Matches
Lima,br BRA,FW,24.0,23.5,3,57,19,33.3,2.42,0.81,0.05,0.16,21.3,5,0,0,4.7,4.7,0.08,-1.7,-1.7,Matches
Stiven Mendoza,co COL,"FW,MF",28.0,22.2,1,52,15,28.8,2.34,0.67,0.02,0.07,19.5,0,0,0,5.3,5.3,0.1,-4.3,-4.3,Matches
Richard,br BRA,GK,29.0,22.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Gabriel Lacerda,br BRA,DF,21.0,19.9,4,11,4,36.4,0.55,0.2,0.36,1.0,13.7,0,0,0,1.2,1.2,0.11,2.8,2.8,Matches
Luiz Otávio,br BRA,DF,32.0,19.1,0,11,3,27.3,0.58,0.16,0.0,0.0,11.5,0,0,0,0.7,0.7,0.06,-0.7,-0.7,Matches
Marlon,br BRA,MF,30.0,16.3,1,19,5,26.3,1.16,0.31,0.05,0.2,25.9,0,0,0,1.0,1.0,0.05,0.0,0.0,Matches
Fábio Gonçalves,br BRA,"MF,DF",34.0,14.4,1,8,2,25.0,0.55,0.14,0.13,0.5,18.7,0,0,0,0.5,0.5,0.06,0.5,0.5,Matches
Cléber,br BRA,FW,24.0,15.7,3,44,17,38.6,2.8,1.08,0.07,0.18,15.8,0,0,1,5.2,4.4,0.1,-2.2,-1.4,Matches
Gabriel Dias,br BRA,DF,26.0,12.5,0,8,4,50.0,0.64,0.32,0.0,0.0,17.8,0,0,0,0.9,0.9,0.11,-0.9,-0.9,Matches
João Ricardo Riedi,br BRA,GK,32.0,12.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Igor Inocêncio,br BRA,DF,22.0,12.1,0,9,1,11.1,0.74,0.08,0.0,0.0,18.5,0,0,0,0.7,0.6,0.07,-0.7,-0.6,Matches
Jael Ferreira,br BRA,FW,32.0,9.0,2,22,6,27.3,2.44,0.66,0.05,0.17,18.9,5,1,1,2.2,1.5,0.07,-0.2,-0.5,Matches
Rick,br BRA,FW,21.0,12.7,6,28,11,39.3,2.2,0.86,0.21,0.55,16.9,0,0,0,3.6,3.6,0.13,2.4,2.4,Matches
Jorginho,br BRA,MF,30.0,10.9,2,13,6,46.2,1.19,0.55,0.15,0.33,17.7,1,0,0,1.2,1.2,0.1,0.8,0.8,Matches
Kelvyn,br BRA,"DF,FW",21.0,11.3,1,13,6,46.2,1.15,0.53,0.08,0.17,18.0,1,0,0,2.4,2.4,0.18,-1.4,-1.4,Matches
Marcos Ytalo,br BRA,DF,24.0,9.8,0,4,0,0.0,0.41,0.0,0.0,,18.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Saulo Mineiro,br BRA,"FW,MF",23.0,7.4,2,19,7,36.8,2.58,0.95,0.11,0.29,15.7,0,0,0,2.6,2.6,0.14,-0.6,-0.6,Matches
Erick,br BRA,"FW,MF",23.0,7.7,0,20,8,40.0,2.58,1.03,0.0,0.0,19.2,0,0,0,1.3,1.3,0.07,-1.3,-1.3,Matches
William Oliveira,br BRA,MF,28.0,5.8,0,4,1,25.0,0.69,0.17,0.0,0.0,17.8,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
Willian Klaus,br BRA,DF,27.0,4.0,0,5,1,20.0,1.25,0.25,0.0,0.0,10.9,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches
Vinícius Machado,br BRA,GK,20.0,3.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Willian,br BRA,MF,27.0,3.1,0,4,1,25.0,1.28,0.32,0.0,0.0,22.5,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Geovane,br BRA,MF,21.0,2.2,0,1,0,0.0,0.46,0.0,0.0,,17.3,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches
Yony González,co COL,FW,26.0,4.5,2,13,4,30.8,2.88,0.89,0.15,0.5,10.3,0,0,0,2.5,2.5,0.19,-0.5,-0.5,Matches
Pedrinho,br BRA,MF,23.0,2.8,0,2,1,50.0,0.71,0.36,0.0,0.0,15.0,0,0,0,0.2,0.2,0.1,-0.2,-0.2,Matches
Airton,br BRA,FW,21.0,1.7,0,1,0,0.0,0.58,0.0,0.0,,4.3,0,0,0,0.3,0.3,0.33,-0.3,-0.3,Matches
Gabriel Santos,br BRA,"FW,MF",21.0,1.5,0,3,1,33.3,2.03,0.68,0.0,0.0,18.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
