Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
João Ricardo Riedi,br BRA,GK,33.0,35.0,1122,908,1120,2,0,0,1122,0,0,,0,,580,3542,2432,0,0,0,1,0,397,0,Matches
Richard,br BRA,MF,27.0,26.3,1668,101,395,1007,278,36,1668,32,18,56.3,12,37.5,896,3945,1640,15,23,4,33,25,1077,57,Matches
Vinícius,br BRA,"FW,MF",30.0,26.7,1454,16,142,721,618,55,1454,33,16,48.5,16,48.5,876,4060,2003,47,51,5,29,23,1036,138,Matches
Stiven Mendoza,co COL,FW,29.0,25.9,999,11,92,363,570,120,997,97,44,45.4,47,48.5,744,4640,2518,80,57,38,61,52,798,242,Matches
Bruno Pacheco,br BRA,DF,30.0,26.1,1514,64,404,733,395,15,1514,50,22,44.0,22,44.0,802,5022,3047,69,60,4,26,16,859,98,Matches
Richardson,br BRA,MF,30.0,23.0,1147,37,238,743,187,3,1147,28,16,57.1,7,25.0,636,3417,1684,24,23,1,21,9,737,31,Matches
Nino Paraíba,br BRA,DF,36.0,24.6,1508,62,380,628,528,29,1508,74,30,40.5,38,51.4,786,5147,2776,90,59,9,45,13,836,156,Matches
Messias,br BRA,DF,27.0,23.0,971,152,457,481,36,25,971,1,1,100.0,0,0.0,466,2351,1207,4,1,1,2,1,539,3,Matches
Lima,br BRA,"FW,MF",25.0,21.5,1184,22,159,645,392,43,1182,54,29,53.7,20,37.0,684,3760,1691,47,26,8,39,40,815,101,Matches
Luiz Otávio,br BRA,DF,33.0,20.2,1030,141,554,437,46,27,1030,6,4,66.7,1,16.7,548,3056,1698,4,4,0,11,3,592,5,Matches
Gabriel Lacerda,br BRA,DF,22.0,21.0,1039,162,522,489,37,18,1039,6,4,66.7,2,33.3,582,3157,1746,9,12,1,10,4,604,4,Matches
Victor Luis,br BRA,DF,28.0,15.7,1088,51,285,588,223,3,1088,15,6,40.0,9,60.0,611,3906,2253,35,26,0,18,9,656,33,Matches
Michel,br BRA,DF,31.0,11.8,681,35,218,307,162,7,681,9,6,66.7,3,33.3,349,1759,979,16,14,1,10,4,381,44,Matches
Cléber,br BRA,FW,25.0,10.9,398,13,36,173,196,60,398,17,9,52.9,7,41.2,187,967,403,12,6,2,32,4,268,73,Matches
Erick,br BRA,"FW,MF",24.0,11.7,594,7,46,224,332,40,593,71,31,43.7,35,49.3,421,2828,1515,47,27,12,26,23,448,147,Matches
Fernando Sobral,br BRA,MF,27.0,11.2,677,31,125,392,169,7,677,21,13,61.9,7,33.3,405,2464,1369,28,29,1,12,13,476,27,Matches
Rodrigo Lindoso,br BRA,MF,32.0,9.6,588,28,146,366,82,12,588,6,2,33.3,4,66.7,325,1334,624,4,9,0,9,3,380,10,Matches
