Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
João Ricardo Riedi,br BRA,GK,33.0,35,35,3150.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Richard,br BRA,MF,27.0,30,30,2371.0,26.3,0.0,1.0,1.0,0.0,0.0,0.0,12.0,1.0,1.5,1.5,0.9,2.3,15.0,123.0,57.0,0.0,0.04,0.04,0.0,0.04,0.06,0.03,0.09,0.06,0.09,Matches
Vinícius,br BRA,"FW,MF",30.0,31,28,2399.0,26.7,3.0,2.0,5.0,3.0,0.0,0.0,9.0,2.0,4.0,4.0,5.7,9.8,47.0,189.0,138.0,0.11,0.08,0.19,0.11,0.19,0.15,0.22,0.37,0.15,0.37,Matches
Stiven Mendoza,co COL,FW,29.0,29,28,2331.0,25.9,10.0,1.0,11.0,9.0,1.0,2.0,6.0,0.0,11.0,9.4,2.3,11.6,80.0,57.0,242.0,0.39,0.04,0.42,0.35,0.39,0.43,0.09,0.51,0.36,0.45,Matches
Bruno Pacheco,br BRA,DF,30.0,28,27,2352.0,26.1,1.0,2.0,3.0,1.0,0.0,0.0,5.0,1.0,0.3,0.3,1.9,2.2,69.0,111.0,98.0,0.04,0.08,0.11,0.04,0.11,0.01,0.07,0.09,0.01,0.09,Matches
Richardson,br BRA,MF,30.0,31,27,2072.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.2,0.2,0.5,0.7,24.0,109.0,31.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Matches
Nino Paraíba,br BRA,DF,36.0,33,25,2217.0,24.6,1.0,1.0,2.0,1.0,0.0,0.0,11.0,0.0,1.0,1.0,3.4,4.5,90.0,100.0,156.0,0.04,0.04,0.08,0.04,0.08,0.04,0.14,0.18,0.04,0.18,Matches
Messias,br BRA,DF,27.0,25,24,2067.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.9,0.9,0.6,1.4,4.0,44.0,3.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,Matches
Lima,br BRA,"FW,MF",25.0,31,23,1933.0,21.5,3.0,0.0,3.0,1.0,2.0,2.0,2.0,1.0,4.0,2.4,1.7,4.1,47.0,111.0,101.0,0.14,0.0,0.14,0.05,0.05,0.19,0.08,0.26,0.11,0.19,Matches
Luiz Otávio,br BRA,DF,33.0,23,22,1821.0,20.2,1.0,0.0,1.0,1.0,0.0,0.0,8.0,1.0,2.0,2.0,0.4,2.4,4.0,44.0,5.0,0.05,0.0,0.05,0.05,0.05,0.1,0.02,0.12,0.1,0.12,Matches
Gabriel Lacerda,br BRA,DF,22.0,26,19,1888.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.9,0.9,0.0,0.9,9.0,42.0,4.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
Victor Luis,br BRA,DF,28.0,24,14,1412.0,15.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,1.2,1.6,35.0,79.0,33.0,0.0,0.0,0.0,0.0,0.0,0.03,0.08,0.1,0.03,0.1,Matches
Michel,br BRA,DF,31.0,17,12,1066.0,11.8,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.4,0.7,16.0,50.0,44.0,0.0,0.08,0.08,0.0,0.08,0.02,0.04,0.06,0.02,0.06,Matches
Cléber,br BRA,FW,25.0,21,12,979.0,10.9,4.0,0.0,4.0,4.0,0.0,0.0,6.0,1.0,4.8,4.8,1.2,6.0,12.0,21.0,73.0,0.37,0.0,0.37,0.37,0.37,0.45,0.11,0.55,0.45,0.55,Matches
