Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Cléber Santana,br BRA,MF,34.0,36,3058.0,85.0,91.8,34.0,35,86.0,28.0,1,45.0,0,1.42,45.0,51.0,-6.0,-0.18,-0.84,Matches
Thiego,br BRA,DF,29.0,33,2958.0,90.0,88.8,32.9,33,90.0,31.0,0,,0,1.42,43.0,47.0,-4.0,-0.12,-0.12,Matches
Danilo,br BRA,GK,30.0,31,2790.0,90.0,83.8,31.0,31,90.0,31.0,0,,4,1.45,42.0,40.0,2.0,0.06,1.06,Matches
Dener Assunção Braz,br BRA,DF,24.0,29,2494.0,86.0,74.9,27.7,29,86.0,26.0,0,,1,1.48,37.0,32.0,5.0,0.18,1.15,Matches
Gimenez,br BRA,DF,20.0,31,2475.0,80.0,74.3,27.5,29,83.0,23.0,2,30.0,1,1.32,37.0,43.0,-6.0,-0.22,-0.43,Matches
Josimar,br BRA,MF,29.0,27,2213.0,82.0,66.5,24.6,26,85.0,21.0,1,9.0,1,1.52,38.0,36.0,2.0,0.08,0.56,Matches
Gil,br BRA,MF,28.0,26,1857.0,71.0,55.8,20.6,22,78.0,13.0,4,33.0,1,1.31,19.0,30.0,-11.0,-0.53,-0.96,Matches
Bruno Rangel,br BRA,FW,34.0,31,1883.0,61.0,56.5,20.9,19,87.0,13.0,12,19.0,6,1.35,30.0,30.0,0.0,0.0,0.25,Matches
Kempes,br BRA,FW,33.0,26,1599.0,62.0,48.0,17.8,19,79.0,8.0,7,14.0,11,1.46,24.0,23.0,1.0,0.06,0.32,Matches
Lucas Gomes,br BRA,FW,25.0,26,1589.0,61.0,47.7,17.7,16,80.0,9.0,10,31.0,5,1.5,28.0,24.0,4.0,0.23,0.64,Matches
Filipe Machado,br BRA,DF,31.0,16,1440.0,90.0,43.2,16.0,16,90.0,16.0,0,,9,1.44,21.0,25.0,-4.0,-0.25,-0.25,Matches
Sérgio Manoel,br BRA,MF,26.0,18,1231.0,68.0,37.0,13.7,13,83.0,11.0,5,30.0,10,1.56,18.0,14.0,4.0,0.29,0.64,Matches
Matheus Biteco,br BRA,MF,20.0,16,1224.0,77.0,36.8,13.6,13,85.0,11.0,3,38.0,8,1.56,15.0,16.0,-1.0,-0.07,0.05,Matches
Tiaguinho,br BRA,MF,21.0,16,1091.0,68.0,32.8,12.1,13,76.0,4.0,3,34.0,3,1.38,14.0,16.0,-2.0,-0.16,-0.08,Matches
Marcelo,br BRA,DF,24.0,13,1088.0,84.0,32.7,12.1,13,84.0,12.0,0,,1,1.38,17.0,20.0,-3.0,-0.25,-0.21,Matches
Silvio Junior,br BRA,"FW,MF",25.0,14,1069.0,76.0,32.1,11.9,12,81.0,6.0,2,47.0,0,1.29,18.0,20.0,-2.0,-0.17,-0.09,Matches
Ananias,br BRA,MF,27.0,17,1023.0,60.0,30.7,11.4,12,75.0,5.0,5,25.0,3,1.53,7.0,17.0,-10.0,-0.88,-1.11,Matches
Hyoran,br BRA,MF,22.0,20,1049.0,52.0,31.5,11.7,11,75.0,1.0,9,25.0,7,1.5,17.0,13.0,4.0,0.34,0.66,Matches
Neto,br BRA,DF,30.0,8,675.0,84.0,20.3,7.5,7,90.0,7.0,1,45.0,3,1.38,10.0,5.0,5.0,0.67,0.97,Matches
Arthur Maia,br BRA,MF,23.0,21,672.0,32.0,20.2,7.5,7,55.0,0.0,14,21.0,8,1.43,14.0,15.0,-1.0,-0.13,-0.03,Matches
Marcelo Boeck,br BRA,GK,31.0,6,540.0,90.0,16.2,6.0,6,90.0,6.0,0,,16,1.17,7.0,13.0,-6.0,-1.0,-1.06,Matches
Rafael Lima,br BRA,DF,29.0,6,411.0,69.0,12.3,4.6,4,81.0,3.0,2,45.0,20,1.14,9.0,8.0,1.0,0.22,0.37,Matches
