Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2017-03-07,20:45,Libertadores,Group stage,Tue,Away,W,2,1,ve Zulia,39.0,,Artur Moraes,4-1-4-1,4-2-3-1,Jhon Álvarez,Match Report,
2017-03-16,19:30,Libertadores,Group stage,Thu,Home,L,1,3,ar Lanús,39.0,,Artur Moraes,4-1-4-1,4-3-3,Enrique Cáceres,Match Report,
2017-04-18,21:45,Libertadores,Group stage,Tue,Home,D,1,1,uy Nacional,,,Artur Moraes,4-1-4-1,4-4-2,Klever Rojas,Match Report,
2017-04-27,19:30,Libertadores,Group stage,Thu,Away,L,0,3,uy Nacional,49.0,,Wellington Paulista,5-4-1,4-4-2,Eber Aguino,Match Report,
2017-05-13,19:00,Série A,Matchweek 1,Sat,Away,D,1,1,Corinthians,33.0,31470.0,Andrei Girotto,4-2-3-1,4-1-4-1,Elmo Alves Resende Cunha,Match Report,
2017-05-17,21:45,Libertadores,Group stage,Wed,Away,L,0,3,ar Lanús,25.0,,Wellington Paulista,4-4-2,4-3-3,Wilson Lamouroux,Match Report,Match awarded to Lanús
2017-05-20,19:00,Série A,Matchweek 2,Sat,Home,W,1,0,Palmeiras,45.0,10323.0,Wellington Paulista,4-1-4-1,4-3-3,André Luiz de Freitas Castro,Match Report,
2017-05-23,19:30,Libertadores,Group stage,Tue,Home,W,2,1,ve Zulia,61.0,,Wellington Paulista,4-1-4-1,5-4-1,Gustavo Murillo,Match Report,
2017-05-29,20:00,Série A,Matchweek 3,Mon,Home,W,2,0,Avaí,57.0,6188.0,Wellington Paulista,4-1-4-1,4-2-3-1,Marcelo de Lima Henrique,Match Report,
2017-06-04,19:00,Série A,Matchweek 4,Sun,Away,W,2,0,Cruzeiro,39.0,16591.0,Wellington Paulista,4-1-4-1,4-2-3-1,Claudio Francisco Lima e Silva,Match Report,
2017-06-08,20:00,Série A,Matchweek 5,Thu,Home,L,3,6,Grêmio,48.0,14403.0,Wellington Paulista,4-1-4-1,4-2-3-1,Rodolpho Toski Marques,Match Report,
2017-06-11,16:00,Série A,Matchweek 6,Sun,Away,L,2,3,Ponte Preta,65.0,4105.0,Wellington Paulista,4-1-4-1,4-2-3-1,Dewson Fernando Freitas da Silva,Match Report,
2017-06-14,21:45,Série A,Matchweek 7,Wed,Home,W,2,1,Vasco da Gama,51.0,10003.0,Wellington Paulista,4-2-3-1,4-2-3-1,Jailson Macêdo Freitas,Match Report,
2017-06-18,16:00,Série A,Matchweek 8,Sun,Home,L,0,2,Botafogo (RJ),59.0,11603.0,Wellington Paulista,4-1-4-1,4-1-4-1,Marcelo Aparecido Ribeiro De Souza,Match Report,
2017-06-22,21:00,Série A,Matchweek 9,Thu,Away,L,1,5,Flamengo,48.0,14632.0,Wellington Paulista,4-1-4-1,4-2-3-1,Leandro Bizzio Marinho,Match Report,
2017-06-25,19:00,Série A,Matchweek 10,Sun,Home,L,0,1,Atlético Mineiro,67.0,9013.0,Wellington Paulista,4-1-4-1,4-2-3-1,Joao Batista de Arruda,Match Report,
2017-06-28,19:15,Sudamericana,Second stage,Wed,Away,L,0,1,ar Defensa y Just,27.0,,Wellington Paulista,4-2-3-1,5-3-2,Diego Haro,Match Report,Leg 1 of 2
2017-07-03,20:00,Série A,Matchweek 11,Mon,Away,D,3,3,Fluminense,31.0,7536.0,Wellington Paulista,4-1-4-1,4-2-3-1,Eduardo Tomaz De Aquino Valadão,Match Report,
2017-07-09,11:00,Série A,Matchweek 12,Sun,Home,D,1,1,Ath Paranaense,44.0,9689.0,Wellington Paulista,4-1-4-1,4-1-4-1,Caio Max Augusto Vieira,Match Report,
2017-07-13,19:30,Série A,Matchweek 13,Thu,Away,L,0,3,Sport Recife,47.0,25861.0,Wellington Paulista,4-1-4-1,4-2-3-1,Dyorgines José Padovani Andrade,Match Report,
2017-07-16,16:00,Série A,Matchweek 14,Sun,Home,W,2,0,São Paulo,33.0,10742.0,Douglas Grolli,4-1-4-1,4-2-3-1,Wagner do Nascimento Magalhaes,Match Report,
2017-07-19,19:30,Série A,Matchweek 15,Wed,Away,L,0,1,Santos,41.0,5533.0,Douglas Grolli,4-1-4-1,4-2-3-1,Elmo Alves Resende Cunha,Match Report,
2017-07-22,16:00,Série A,Matchweek 16,Sat,Away,W,2,1,Vitória,33.0,5433.0,Douglas Grolli,4-1-4-1,4-2-3-1,Marcelo de Lima Henrique,Match Report,
2017-07-25,19:15,Sudamericana,Second stage,Tue,Home,W,1 (4),0 (2),ar Defensa y Just,40.0,,Douglas Grolli,4-1-4-1,3-4-1-2,Daniel Fedorczuk,Match Report,Leg 2 of 2; Chapecoense won; Chapecoense won on penalty kicks following extra time
2017-07-30,11:00,Série A,Matchweek 17,Sun,Home,L,1,2,Atl Goianiense,50.0,9744.0,Andrei Girotto,4-1-4-1,4-2-3-1,Marcelo Aparecido Ribeiro De Souza,Match Report,
2017-08-02,19:30,Série A,Matchweek 18,Wed,Home,D,1,1,Bahia,48.0,3466.0,Douglas Grolli,4-2-3-1,4-2-3-1,Flavio Rodrigues De Souza,Match Report,
2017-08-06,16:00,Série A,Matchweek 19,Sun,Away,L,0,2,Coritiba,51.0,12103.0,Douglas Grolli,4-4-1-1,4-3-3,Wilton Sampaio,Match Report,
2017-08-20,19:00,Série A,Matchweek 21,Sun,Away,W,2,0,Palmeiras,29.0,21261.0,Douglas Grolli,4-1-4-1,4-2-3-1,Dyorgines José Padovani Andrade,Match Report,
2017-08-23,19:30,Série A,Matchweek 20,Wed,Home,L,0,1,Corinthians,35.0,15831.0,Douglas Grolli,4-2-3-1,4-2-3-1,Paulo Roberto Alves Júnior,Match Report,
2017-08-27,19:00,Série A,Matchweek 22,Sun,Away,L,0,1,Avaí,59.0,5955.0,Douglas Grolli,4-2-3-1,4-2-2-2,Braulio da Silva Machado,Match Report,
2017-09-10,19:00,Série A,Matchweek 23,Sun,Home,L,1,2,Cruzeiro,55.0,9676.0,Douglas Grolli,4-2-3-1,4-2-3-1,Leandro Bizzio Marinho,Match Report,
2017-09-13,19:15,Sudamericana,Round of 16,Wed,Home,D,0,0,br Flamengo,38.0,,Douglas Grolli,4-1-4-1,4-2-3-1,Gery Vargas,Match Report,Leg 1 of 2
2017-09-17,16:00,Série A,Matchweek 24,Sun,Away,W,1,0,Grêmio,23.0,14618.0,Douglas Grolli,4-1-4-1,4-2-3-1,Marcelo de Lima Henrique,Match Report,
2017-09-20,19:15,Sudamericana,Round of 16,Wed,Away,L,0,4,br Flamengo,42.0,,Douglas Grolli,4-1-4-1,4-2-3-1,Michel Espinoza,Match Report,Leg 2 of 2; Flamengo won
2017-09-24,16:00,Série A,Matchweek 25,Sun,Home,W,1,0,Ponte Preta,43.0,9980.0,Moisés Ribeiro,4-1-4-1,4-1-4-1,Jean Pierre Goncalves Lima,Match Report,
2017-09-30,16:00,Série A,Matchweek 26,Sat,Away,D,1,1,Vasco da Gama,34.0,,Moisés Ribeiro,4-1-4-1,4-2-3-1,Wilton Sampaio,Match Report,
2017-10-11,19:30,Série A,Matchweek 27,Wed,Away,L,1,2,Botafogo (RJ),36.0,7613.0,Alan Ruschel,4-1-4-1,4-2-3-1,Leandro Pedro Vuaden,Match Report,
2017-10-15,17:00,Série A,Matchweek 28,Sun,Home,L,0,1,Flamengo,44.0,10484.0,Jandrei,4-1-4-1,4-2-3-1,Dewson Fernando Freitas da Silva,Match Report,
2017-10-18,21:00,Série A,Matchweek 29,Wed,Away,W,3,2,Atlético Mineiro,49.0,11927.0,Wellington Paulista,4-1-4-1,4-2-3-1,Vinicius Gonçalves Dias Araujo,Match Report,
2017-10-22,19:00,Série A,Matchweek 30,Sun,Home,W,2,0,Fluminense,33.0,10010.0,Wellington Paulista,4-1-4-1,4-3-2-1,Claudio Francisco Lima e Silva,Match Report,
2017-10-28,21:00,Série A,Matchweek 31,Sat,Away,D,0,0,Ath Paranaense,38.0,9774.0,Wellington Paulista,4-4-2,4-2-3-1,Jailson Macêdo Freitas,Match Report,
2017-11-05,19:00,Série A,Matchweek 32,Sun,Home,D,1,1,Sport Recife,42.0,10654.0,Douglas Grolli,4-1-4-1,4-2-3-1,Ricardo Marques Ribeiro,Match Report,
2017-11-09,20:00,Série A,Matchweek 33,Thu,Away,D,2,2,São Paulo,32.0,35037.0,Wellington Paulista,4-4-1-1,4-1-4-1,Marcelo de Lima Henrique,Match Report,
2017-11-13,20:00,Série A,Matchweek 34,Mon,Home,W,2,0,Santos,44.0,11301.0,Wellington Paulista,4-2-3-1,4-3-3,Jailson Macêdo Freitas,Match Report,
2017-11-16,20:00,Série A,Matchweek 35,Thu,Home,W,2,1,Vitória,51.0,7546.0,Wellington Paulista,4-1-4-1,4-2-3-1,Anderson Daronco,Match Report,
2017-11-19,17:00,Série A,Matchweek 36,Sun,Away,D,1,1,Atl Goianiense,40.0,2280.0,Amaral,4-2-3-1,4-2-3-1,Dewson Fernando Freitas da Silva,Match Report,
2017-11-26,18:00,Série A,Matchweek 37,Sun,Away,W,1,0,Bahia,39.0,35437.0,Wellington Paulista,4-2-3-1,4-2-3-1,Pericles Bassols Pegado Cortez,Match Report,
2017-12-03,17:00,Série A,Matchweek 38,Sun,Home,W,2,1,Coritiba,48.0,12913.0,Wellington Paulista,4-1-4-1,4-2-3-1,Luiz Flavio De Oliveira,Match Report,
