Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Jandrei,br BRA,GK,24.0,38,38,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Douglas,br BRA,DF,27.0,31,31,2779.0,30.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Bruno Pacheco,br BRA,DF,26.0,30,30,2678.0,29.8,0.0,1.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches
Márcio Araújo,br BRA,"DF,MF",33.0,30,30,2412.0,26.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Rafael Thyere,br BRA,DF,24.0,28,28,2520.0,28.0,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
Héctor Canteros,ar ARG,MF,28.0,34,26,2407.0,26.7,2.0,3.0,5.0,2.0,0.0,0.0,5.0,0.0,0.07,0.11,0.19,0.07,0.19,Matches
Leandro Pereira,br BRA,FW,26.0,34,26,2398.0,26.6,11.0,0.0,11.0,9.0,2.0,2.0,7.0,1.0,0.41,0.0,0.41,0.34,0.34,Matches
Eduardo,br BRA,DF,31.0,30,26,2383.0,26.5,0.0,4.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.15,0.15,0.0,0.15,Matches
Elicarlos,br BRA,MF,32.0,27,23,2015.0,22.4,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches
Wellington Paulista,br BRA,FW,33.0,24,22,1944.0,21.6,5.0,2.0,7.0,4.0,1.0,1.0,7.0,0.0,0.23,0.09,0.32,0.19,0.28,Matches
Amaral,br BRA,MF,31.0,24,22,1941.0,21.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Diego Fabián Torres,ar ARG,MF,27.0,17,12,929.0,10.3,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,0.19,0.1,0.29,0.19,0.29,Matches
Apodi,br BRA,"DF,MF",31.0,11,11,948.0,10.5,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.19,0.0,0.19,Matches
Agustín Doffo,ar ARG,MF,22.0,15,11,893.0,9.9,3.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,0.3,0.0,0.3,0.3,0.3,Matches
Arthur,br BRA,"FW,MF",25.0,11,11,877.0,9.7,4.0,0.0,4.0,4.0,0.0,0.0,3.0,0.0,0.41,0.0,0.41,0.41,0.41,Matches
Bruno Costa,br BRA,FW,17.0,31,9,1343.0,14.9,1.0,4.0,5.0,1.0,0.0,0.0,2.0,0.0,0.07,0.27,0.34,0.07,0.34,Matches
Nery Bareiro,py PAR,DF,29.0,8,8,720.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Fabrício Bruno,br BRA,DF,21.0,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Osman Júnior,br BRA,"FW,MF",25.0,13,6,519.0,5.8,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.17,0.0,0.17,0.17,0.17,Matches
Victor Andrade,br BRA,"FW,MF",22.0,6,6,362.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Barreto,br BRA,MF,22.0,9,5,436.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Yann Rolim,br BRA,MF,22.0,12,5,432.0,4.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.21,0.0,0.21,Matches
Luiz Antônio,br BRA,"DF,MF",26.0,5,4,291.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Vinícius,br BRA,"FW,MF",24.0,11,3,332.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Guilherme,br BRA,"FW,MF",22.0,10,3,320.0,3.6,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.28,0.0,0.28,0.0,0.0,Matches
Roberto Heuchayer,br BRA,"DF,MF",27.0,4,3,300.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Alan Ruschel,br BRA,"DF,MF",28.0,6,3,268.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Vinícius Freitas,br BRA,DF,24.0,4,2,219.0,2.4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.41,0.41,0.0,0.41,Matches
