Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Márcio Araújo,br BRA,MF,34.0,35.7,72,2.02,58,2,5,0,5,2,3,0.08,2,1,0,0,0,0,Matches
Everaldo Stum,br BRA,FW,27.0,33.0,102,3.09,70,0,14,12,6,0,5,0.15,3,0,1,0,1,0,Matches
Bruno Pacheco,br BRA,"DF,MF",27.0,32.5,95,2.92,57,24,4,2,7,1,10,0.31,4,3,1,2,0,0,Matches
Douglas,br BRA,DF,28.0,25.4,12,0.47,6,0,0,3,1,2,2,0.08,0,0,0,2,0,0,Matches
Tiepo,br BRA,GK,20.0,25.0,4,0.16,1,3,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Fernando Camilo Farias,br BRA,"MF,FW",32.0,22.7,97,4.27,62,25,1,6,3,0,6,0.26,1,3,0,2,0,0,Matches
Eduardo,br BRA,DF,32.0,24.1,67,2.78,45,15,5,0,1,1,4,0.17,4,0,0,0,0,0,Matches
Gum,br BRA,DF,33.0,19.3,9,0.47,6,0,0,2,0,1,1,0.05,1,0,0,0,0,0,Matches
Gustavo Campanharo,br BRA,"MF,FW",26.0,17.8,55,3.1,41,2,1,4,4,3,2,0.11,1,0,0,1,0,0,Matches
Arthur,br BRA,"MF,FW",20.0,21.3,80,3.75,50,3,11,5,10,1,2,0.09,0,0,0,1,1,0,Matches
Roberto Heuchayer,br BRA,"MF,DF",28.0,16.5,36,2.18,23,0,5,4,4,0,1,0.06,1,0,0,0,0,0,Matches
Elicarlos,br BRA,MF,33.0,16.7,31,1.85,22,1,1,5,1,1,2,0.12,1,0,0,1,0,0,Matches
Rafael Pereira,br BRA,DF,34.0,14.5,9,0.62,8,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
João Ricardo Riedi,br BRA,GK,30.0,13.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Maurício Ramos,br BRA,DF,33.0,12.2,3,0.25,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Amaral,br BRA,"MF,DF",32.0,10.6,8,0.75,7,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Henrique Almeida,br BRA,"FW,MF",27.0,8.7,20,2.3,10,0,3,2,3,2,3,0.35,0,0,1,1,1,0,Matches
Renato,br BRA,"DF,MF",29.0,8.4,26,3.1,15,1,1,2,5,2,0,0.0,0,0,0,0,0,0,Matches
Augusto César Moreira,br BRA,"MF,FW",26.0,7.9,25,3.17,18,1,2,3,1,0,2,0.25,2,0,0,0,0,0,Matches
Régis,br BRA,"FW,MF",21.0,6.9,26,3.74,19,1,4,1,0,1,1,0.14,1,0,0,0,0,0,Matches
Bryan,br BRA,DF,22.0,6.2,14,2.27,8,3,1,1,0,1,0,0.0,0,0,0,0,0,0,Matches
Vini Locatelli,br BRA,"MF,FW",20.0,4.9,17,3.46,15,0,1,0,1,0,2,0.41,2,0,0,0,0,0,Matches
Dalberto,br BRA,"MF,FW",24.0,4.1,9,2.21,9,0,0,0,0,0,1,0.25,1,0,0,0,0,0,Matches
Alan Ruschel,br BRA,"MF,FW",29.0,3.8,12,3.14,4,4,1,0,3,0,0,0.0,0,0,0,0,0,0,Matches
Caíque Silva Sá,br BRA,DF,26.0,3.3,3,0.9,1,1,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Diego Fabián Torres,ar ARG,"MF,FW",28.0,4.7,27,5.76,16,9,0,2,0,0,3,0.64,1,1,0,1,0,0,Matches
Renato Kayser,br BRA,"FW,MF",22.0,4.5,14,3.14,9,0,0,3,1,1,3,0.67,3,0,0,0,0,0,Matches
Rildo,br BRA,"MF,FW",29.0,3.1,17,5.56,13,0,2,1,1,0,1,0.33,0,0,1,0,0,0,Matches
Tharlis Sartori,br BRA,MF,21.0,2.6,5,1.93,4,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Aylon,br BRA,"MF,FW",26.0,2.8,8,2.86,5,0,0,1,1,1,1,0.36,1,0,0,0,0,0,Matches
Hiago,br BRA,DF,21.0,2.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ernandes Dias Luz,br BRA,DF,31.0,1.2,2,1.61,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Lourency,br BRA,MF,23.0,0.4,4,9.73,1,0,2,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Bruno Costa,br BRA,MF,18.0,0.3,3,10.38,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ronei,br BRA,FW,20.0,0.2,2,11.25,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Pedro Perotti,br BRA,"FW,DF",21.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,28.8,38.0,914,24.05,613,96,65,61,58,21,55,1.45,29,8,4,11,3,0,
Opponent Total,,,27.2,38.0,1083,28.5,741,109,77,71,74,11,85,2.24,50,10,6,9,9,1,
