Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Márcio Araújo,br BRA,MF,34.0,36,3213.0,89.0,93.9,35.7,36,89.0,34.0,0,,0,0.86,29.0,47.0,-18.0,-0.5,0.8,38.6,63.0,-24.4,-0.68,0.03,Matches
Everaldo Stum,br BRA,FW,27.0,33,2970.0,90.0,86.8,33.0,33,90.0,33.0,0,,0,0.82,25.0,44.0,-19.0,-0.58,-0.18,36.3,58.6,-22.3,-0.67,0.08,Matches
Bruno Pacheco,br BRA,"DF,MF",27.0,33,2929.0,89.0,85.6,32.5,33,89.0,30.0,0,,0,0.82,26.0,44.0,-18.0,-0.55,0.0,36.9,56.3,-19.4,-0.6,0.61,Matches
Douglas,br BRA,DF,28.0,27,2290.0,85.0,67.0,25.4,26,87.0,24.0,1,17.0,2,0.85,19.0,33.0,-14.0,-0.55,0.01,29.1,47.8,-18.8,-0.74,-0.16,Matches
Tiepo,br BRA,GK,20.0,25,2250.0,90.0,65.8,25.0,25,90.0,25.0,0,,12,0.69,20.0,40.0,-20.0,-0.8,-0.72,25.9,43.0,-17.0,-0.68,0.01,Matches
Fernando Camilo Farias,br BRA,"MF,FW",32.0,28,2045.0,73.0,59.8,22.7,25,78.0,10.0,3,34.0,1,0.75,15.0,28.0,-13.0,-0.57,-0.05,21.2,40.2,-18.9,-0.83,-0.37,Matches
Eduardo,br BRA,DF,32.0,26,2166.0,83.0,63.3,24.1,24,87.0,21.0,2,37.0,2,1.0,20.0,32.0,-12.0,-0.5,0.15,25.9,40.2,-14.3,-0.59,0.24,Matches
Gum,br BRA,DF,33.0,20,1739.0,87.0,50.8,19.3,20,87.0,16.0,0,,2,0.7,16.0,29.0,-13.0,-0.67,-0.24,21.2,32.1,-10.9,-0.57,0.24,Matches
Gustavo Campanharo,br BRA,"MF,FW",26.0,25,1599.0,64.0,46.8,17.8,20,76.0,7.0,5,18.0,7,0.92,16.0,20.0,-4.0,-0.23,0.62,19.2,24.8,-5.7,-0.32,0.69,Matches
Arthur,br BRA,"MF,FW",20.0,30,1920.0,64.0,56.1,21.3,18,83.0,11.0,12,35.0,5,0.73,18.0,33.0,-15.0,-0.7,-0.34,23.4,33.7,-10.3,-0.48,0.46,Matches
Roberto Heuchayer,br BRA,"MF,DF",28.0,17,1486.0,87.0,43.5,16.5,17,87.0,13.0,0,,6,0.88,11.0,17.0,-6.0,-0.36,0.33,16.1,32.1,-15.9,-0.96,-0.5,Matches
Elicarlos,br BRA,MF,33.0,19,1505.0,79.0,44.0,16.7,16,88.0,13.0,3,34.0,8,0.63,12.0,25.0,-13.0,-0.78,-0.4,16.9,35.7,-18.7,-1.12,-0.78,Matches
Rafael Pereira,br BRA,DF,34.0,17,1307.0,77.0,38.2,14.5,15,83.0,11.0,2,35.0,8,0.47,10.0,23.0,-13.0,-0.9,-0.55,13.9,27.7,-13.8,-0.95,-0.43,Matches
João Ricardo Riedi,br BRA,GK,30.0,13,1170.0,90.0,34.2,13.0,13,90.0,13.0,0,,4,1.08,11.0,13.0,-2.0,-0.15,0.61,15.7,24.7,-9.0,-0.69,-0.01,Matches
Maurício Ramos,br BRA,DF,33.0,17,1099.0,65.0,32.1,12.2,12,82.0,8.0,5,24.0,7,1.0,12.0,15.0,-3.0,-0.25,0.45,11.9,21.2,-9.3,-0.76,-0.11,Matches
Amaral,br BRA,"MF,DF",32.0,15,954.0,64.0,27.9,10.6,10,88.0,9.0,5,14.0,21,1.07,7.0,15.0,-8.0,-0.75,-0.28,11.0,19.6,-8.7,-0.82,-0.19,Matches
Henrique Almeida,br BRA,"FW,MF",27.0,12,782.0,65.0,22.9,8.7,10,73.0,5.0,2,25.0,2,0.92,8.0,7.0,1.0,0.12,0.87,10.7,16.0,-5.3,-0.61,0.1,Matches
Renato,br BRA,"DF,MF",29.0,15,756.0,50.0,22.1,8.4,10,68.0,3.0,5,14.0,5,0.87,5.0,10.0,-5.0,-0.6,-0.05,8.1,14.2,-6.1,-0.73,-0.06,Matches
Augusto César Moreira,br BRA,"MF,FW",26.0,13,709.0,55.0,20.7,7.9,8,72.0,2.0,5,27.0,17,0.69,7.0,15.0,-8.0,-1.02,-0.58,8.5,13.7,-5.3,-0.67,0.02,Matches
Régis,br BRA,"FW,MF",21.0,14,624.0,45.0,18.2,6.9,8,65.0,1.0,6,17.0,15,0.47,5.0,15.0,-10.0,-1.44,-1.09,6.9,14.4,-7.5,-1.07,-0.47,Matches
Bryan,br BRA,DF,22.0,9,556.0,62.0,16.3,6.2,6,83.0,2.0,3,20.0,15,0.67,5.0,10.0,-5.0,-0.81,-0.31,7.2,11.6,-4.4,-0.72,-0.04,Matches
Vini Locatelli,br BRA,"MF,FW",20.0,12,443.0,37.0,13.0,4.9,4,68.0,0.0,8,22.0,15,0.83,5.0,6.0,-1.0,-0.2,0.4,7.0,8.0,-1.0,-0.2,0.55,Matches
Dalberto,br BRA,"MF,FW",24.0,10,366.0,37.0,10.7,4.1,4,45.0,0.0,6,31.0,2,1.3,5.0,5.0,0.0,0.0,0.62,4.2,8.5,-4.3,-1.06,-0.42,Matches
Alan Ruschel,br BRA,"MF,FW",29.0,6,344.0,57.0,10.1,3.8,4,66.0,0.0,2,40.0,6,0.67,3.0,6.0,-3.0,-0.78,-0.26,4.6,8.5,-3.9,-1.02,-0.38,Matches
Caíque Silva Sá,br BRA,DF,26.0,4,300.0,75.0,8.8,3.3,4,75.0,2.0,0,,10,1.75,6.0,4.0,2.0,0.6,1.26,4.7,7.7,-3.1,-0.91,-0.25,Matches
Diego Fabián Torres,ar ARG,"MF,FW",28.0,13,422.0,32.0,12.3,4.7,3,86.0,2.0,10,17.0,22,1.0,7.0,6.0,1.0,0.21,0.87,7.5,9.1,-1.6,-0.34,0.39,Matches
Renato Kayser,br BRA,"FW,MF",22.0,14,401.0,29.0,11.7,4.5,3,69.0,1.0,11,18.0,12,0.93,6.0,8.0,-2.0,-0.45,0.12,6.4,7.5,-1.2,-0.26,0.48,Matches
Rildo,br BRA,"MF,FW",29.0,4,275.0,69.0,8.0,3.1,3,88.0,2.0,1,12.0,0,0.75,4.0,6.0,-2.0,-0.65,-0.11,4.9,5.2,-0.2,-0.08,0.66,Matches
Tharlis Sartori,br BRA,MF,21.0,4,233.0,58.0,6.8,2.6,3,74.0,1.0,1,11.0,25,1.25,3.0,2.0,1.0,0.39,1.01,2.1,4.0,-1.9,-0.72,-0.03,Matches
Aylon,br BRA,"MF,FW",26.0,9,252.0,28.0,7.4,2.8,2,59.0,0.0,7,19.0,13,1.11,3.0,3.0,0.0,0.0,0.6,4.9,4.3,0.6,0.23,0.99,Matches
Hiago,br BRA,DF,21.0,5,193.0,39.0,5.6,2.1,2,57.0,0.0,3,26.0,16,1.0,1.0,4.0,-3.0,-1.4,-0.9,1.8,3.4,-1.7,-0.77,-0.09,Matches
Ernandes Dias Luz,br BRA,DF,31.0,2,112.0,56.0,3.3,1.2,1,91.0,1.0,1,21.0,3,0.5,1.0,3.0,-2.0,-1.61,-1.09,2.0,2.1,-0.2,-0.12,0.58,Matches
Lourency,br BRA,MF,23.0,1,37.0,37.0,1.1,0.4,0,,0.0,1,36.0,4,0.0,0.0,2.0,-2.0,-4.86,-4.36,0.4,1.2,-0.8,-1.9,-1.23,Matches
Bruno Costa,br BRA,MF,18.0,1,26.0,26.0,0.8,0.3,0,,0.0,1,25.0,0,1.0,1.0,1.0,0.0,0.0,0.56,1.1,0.5,0.6,2.1,2.8,Matches
