Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Matheus Ribeiro,br BRA,DF,27.0,31.5,60,38,37,16,7,37,70,52.9,33,27,5,22,45,105,50,0,Matches
Busanello,br BRA,DF,22.0,26.9,47,29,32,12,3,22,38,57.9,16,41,14,27,57,104,72,1,Matches
Mike,br BRA,"FW,MF",27.0,22.5,27,16,7,13,7,1,22,4.5,21,20,4,16,12,39,16,0,Matches
Ignácio,br BRA,DF,24.0,23.5,33,24,25,6,2,17,30,56.7,13,36,24,12,37,70,108,0,Matches
Anderson Leite,br BRA,MF,27.0,21.8,55,31,35,17,3,19,65,29.2,46,29,4,25,37,92,35,0,Matches
Anselmo Ramon,br BRA,FW,32.0,17.0,9,8,1,7,1,4,21,19.0,17,10,3,7,5,14,21,0,Matches
Moisés Ribeiro,br BRA,MF,29.0,17.1,39,23,17,19,3,17,39,43.6,22,18,9,9,20,59,19,0,Matches
João Paulo,br BRA,GK,19.0,19.6,1,0,1,0,0,1,2,50.0,1,1,0,1,3,4,6,2,Matches
Denner,br BRA,MF,21.0,14.2,12,4,5,5,2,6,20,30.0,14,10,1,9,18,30,17,0,Matches
Keiller,br BRA,GK,24.0,16.0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,14,1,Matches
Lima,br BRA,MF,21.0,16.6,26,13,10,14,2,11,39,28.2,28,24,7,17,13,39,22,0,Matches
Jordan,br BRA,DF,21.0,14.2,22,13,19,3,0,12,16,75.0,4,16,9,7,20,42,58,0,Matches
Derlan,br BRA,DF,24.0,13.4,15,11,9,6,0,8,15,53.3,7,12,8,4,15,30,46,1,Matches
Bruno Costa,br BRA,"FW,MF",20.0,12.1,17,9,9,2,6,9,20,45.0,11,15,0,15,12,29,4,0,Matches
Joílson,br BRA,DF,29.0,11.4,9,7,7,1,1,4,4,100.0,0,10,9,1,2,11,77,0,Matches
Fernandinho,br BRA,"FW,MF",23.0,11.6,26,13,13,11,2,9,26,34.6,17,16,1,15,12,38,3,0,Matches
