Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Matheus Ribeiro,br BRA,DF,27.0,31.5,3,0,0,33,13,1,124,45,38,0,0,0,148,14,12,53.8,Matches
Busanello,br BRA,DF,22.0,26.9,5,0,0,28,23,0,83,57,29,0,3,0,163,25,29,46.3,Matches
Mike,br BRA,"FW,MF",27.0,22.5,2,0,0,32,44,6,47,12,16,0,0,0,112,30,70,30.0,Matches
Ignácio,br BRA,DF,24.0,23.5,5,0,0,25,34,1,2,37,24,0,1,0,93,47,42,52.8,Matches
Anderson Leite,br BRA,MF,27.0,21.8,4,0,0,42,15,1,15,37,31,0,0,0,138,28,24,53.8,Matches
Anselmo Ramon,br BRA,FW,32.0,17.0,7,0,0,27,42,4,15,5,8,0,0,0,60,22,40,35.5,Matches
Moisés Ribeiro,br BRA,MF,29.0,17.1,6,0,0,59,25,0,4,20,23,0,1,0,112,16,23,41.0,Matches
João Paulo,br BRA,GK,19.0,19.6,0,0,0,0,4,0,0,3,0,0,0,0,24,5,1,83.3,Matches
Denner,br BRA,MF,21.0,14.2,2,0,0,15,19,2,50,18,4,0,0,0,73,11,11,50.0,Matches
Keiller,br BRA,GK,24.0,16.0,3,0,0,0,3,0,0,1,0,0,0,0,10,3,0,100.0,Matches
Lima,br BRA,MF,21.0,16.6,3,0,0,20,15,0,60,13,13,0,0,0,73,5,15,25.0,Matches
Jordan,br BRA,DF,21.0,14.2,5,1,1,14,5,0,0,20,13,0,1,0,61,19,19,50.0,Matches
Derlan,br BRA,DF,24.0,13.4,5,0,0,16,9,1,7,15,11,0,1,0,40,24,23,51.1,Matches
Bruno Costa,br BRA,"FW,MF",20.0,12.1,2,1,0,19,18,9,37,12,9,1,0,0,47,10,29,25.6,Matches
Joílson,br BRA,DF,29.0,11.4,0,0,0,9,4,0,1,2,7,0,1,0,28,26,29,47.3,Matches
Fernandinho,br BRA,"FW,MF",23.0,11.6,2,0,0,22,31,8,16,12,13,2,0,0,60,8,15,34.8,Matches
Felipe Santana,br BRA,DF,34.0,10.0,0,0,0,7,7,5,0,21,8,0,0,0,32,28,24,53.8,Matches
Alan Santos,br BRA,MF,29.0,8.4,1,0,0,25,6,0,2,18,8,0,0,0,57,15,5,75.0,Matches
Ronei,br BRA,"MF,DF",22.0,8.0,2,0,0,12,11,1,24,9,6,0,0,0,34,13,8,61.9,Matches
Kadu,br BRA,DF,34.0,7.6,1,1,0,12,2,0,0,15,1,0,0,0,41,25,14,64.1,Matches
Pedro Perotti,br BRA,"FW,MF",23.0,11.0,0,0,0,23,29,5,3,2,7,0,0,0,36,39,45,46.4,Matches
Ravanelli,br BRA,MF,23.0,9.5,3,0,0,24,13,0,83,10,13,0,0,0,71,0,1,0.0,Matches
Geuvânio,br BRA,"FW,MF",28.0,8.0,3,1,0,20,23,2,31,7,4,0,0,0,49,3,12,20.0,Matches
Mancha,br BRA,"DF,MF",19.0,6.3,0,0,0,6,5,1,11,11,1,0,0,0,20,7,8,46.7,Matches
Ezequiel,br BRA,"DF,MF",27.0,7.1,2,0,0,7,7,0,39,7,5,0,0,0,21,3,10,23.1,Matches
Kaio Nunes,br BRA,"FW,MF",25.0,6.6,3,1,1,14,19,0,8,7,14,0,0,0,39,5,6,45.5,Matches
Henrique Almeida,br BRA,FW,29.0,6.0,2,0,0,10,7,1,2,3,3,0,0,0,16,3,14,17.6,Matches
Laércio,br BRA,DF,27.0,5.4,0,0,0,2,0,0,0,8,5,0,0,1,23,4,10,28.6,Matches
Leo Gomes,br BRA,MF,23.0,5.3,1,0,0,7,7,0,2,6,5,0,0,0,25,4,7,36.4,Matches
Rodriguinho,br BRA,FW,19.0,4.6,1,0,0,13,10,5,2,1,4,0,0,0,17,6,15,28.6,Matches
Fabinho,br BRA,"FW,MF",21.0,4.1,0,0,0,3,5,0,12,5,4,0,0,0,17,1,6,14.3,Matches
Felipe Silva,br BRA,"MF,FW",30.0,4.2,0,0,0,3,5,0,25,1,2,0,0,0,17,2,6,25.0,Matches
Renê Júnior,br BRA,MF,31.0,3.7,3,0,0,7,17,0,0,4,3,0,0,0,24,6,5,54.5,Matches
Tiepo,br BRA,GK,22.0,2.4,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,,Matches
Vinicius Guedes,br BRA,MF,21.0,2.2,1,0,0,3,1,0,0,5,2,0,0,0,13,2,0,100.0,Matches
Marquinho,br BRA,"MF,FW",18.0,2.8,0,0,0,1,0,0,20,0,2,0,0,0,15,0,3,0.0,Matches
Ryan,br BRA,"DF,MF",17.0,1.4,0,0,0,1,1,0,2,0,1,0,0,0,4,1,2,33.3,Matches
Foguinho,br BRA,"MF,FW",20.0,1.3,0,0,0,2,3,1,4,2,2,0,0,0,11,0,1,0.0,Matches
Rafael,br BRA,MF,20.0,0.3,0,0,0,1,2,0,1,0,0,0,0,0,1,1,0,100.0,Matches
