Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2021-05-30,18:15,Série A,Matchweek 1,Sun,Home,L,0,3,RB Bragantino,0.7,2.1,44,,Anderson Leite,4-3-2-1,4-2-3-1,Marielson Alves Silva,Match Report,
2021-06-06,18:15,Série A,Matchweek 2,Sun,Away,L,1,3,Palmeiras,0.6,2.7,35,,Anselmo Ramon,4-3-3,4-3-3,Leo Simão Holanda,Match Report,
2021-06-13,20:30,Série A,Matchweek 3,Sun,Home,D,0,0,Ceará,0.8,1.1,38,,Anselmo Ramon,4-2-3-1,4-2-3-1,Vinicius Gonçalves Dias Araujo,Match Report,
2021-06-16,19:00,Série A,Matchweek 4,Wed,Away,D,1,1,São Paulo,1.8,1.7,49,,Anselmo Ramon,4-2-3-1,4-2-3-1,Dyorgines José Padovani Andrade,Match Report,
2021-06-21,20:00,Série A,Matchweek 5,Mon,Away,D,1,1,Atlético Mineiro,1.6,1.1,33,,Anselmo Ramon,4-4-2,4-3-3,Rodolpho Toski Marques,Match Report,
2021-06-24,19:00,Série A,Matchweek 6,Thu,Home,L,1,2,Internacional,1.6,2.8,53,,Anselmo Ramon,4-3-1-2,4-2-3-1,Alexandre Vargas Tavares de Jesus,Match Report,
2021-06-27,20:00,Série A,Matchweek 7,Sun,Away,D,2,2,Ath Paranaense,1.2,1.4,40,,Anselmo Ramon,3-4-3,5-4-1,Vinicius Gomes do Amaral,Match Report,
2021-06-30,16:00,Série A,Matchweek 8,Wed,Away,L,2,3,Fortaleza,1.7,1.4,37,,Anselmo Ramon,5-4-1,3-4-1-2,Antonio Dib Moraes de Sousa,Match Report,
2021-07-04,11:00,Série A,Matchweek 9,Sun,Home,L,0,2,Bahia,0.5,1.0,48,,Anselmo Ramon,4-1-4-1,4-2-3-1,Edina Alves Batista,Match Report,
2021-07-08,21:00,Série A,Matchweek 10,Thu,Home,L,0,1,Corinthians,1.0,1.4,42,,Anderson Leite,4-3-3,4-2-3-1,Ricardo Marques Ribeiro,Match Report,
2021-07-11,18:15,Série A,Matchweek 11,Sun,Away,L,1,2,Flamengo,2.0,2.1,30,,Anselmo Ramon,3-4-3,4-2-2-2,Paulo Cesar Zanovelli da Silva,Match Report,
2021-07-18,11:00,Série A,Matchweek 12,Sun,Home,L,2,3,Cuiabá,1.3,1.5,42,,Anselmo Ramon,3-4-3,4-2-3-1,Jefferson Ferreira de Moraes,Match Report,
2021-07-26,18:00,Série A,Matchweek 13,Mon,Away,L,0,1,Juventude,0.2,0.6,66,,Anderson Leite,4-3-3,4-3-3,Leo Simão Holanda,Match Report,
2021-08-01,18:15,Série A,Matchweek 14,Sun,Home,L,0,1,Santos,1.1,1.4,45,,Anderson Leite,4-2-3-1,4-1-4-1,Rodolpho Toski Marques,Match Report,
2021-08-09,20:00,Série A,Matchweek 15,Mon,Away,L,1,2,Grêmio,1.1,2.1,46,,Anderson Leite,4-4-2,4-2-3-1,Marcelo de Lima Henrique,Match Report,
2021-08-16,20:00,Série A,Matchweek 16,Mon,Home,D,1,1,América (MG),1.5,2.1,41,,Anderson Leite,4-3-3,4-2-3-1,Douglas Schwengber da Silva,Match Report,
2021-08-21,17:00,Série A,Matchweek 17,Sat,Away,D,1,1,Atl Goianiense,1.2,1.9,31,,Anderson Leite,4-2-3-1,4-4-2,Adriano Barros Carneiro,Match Report,
2021-08-28,17:00,Série A,Matchweek 18,Sat,Away,D,0,0,Sport Recife,1.4,2.2,45,,Joílson,4-1-4-1,4-2-3-1,Jefferson Ferreira de Moraes,Match Report,
2021-09-07,21:30,Série A,Matchweek 19,Tue,Home,L,1,2,Fluminense,1.9,0.9,55,,Anselmo Ramon,4-4-2,4-3-3,Savio Pereira,Match Report,
2021-09-11,19:00,Série A,Matchweek 20,Sat,Away,W,2,1,RB Bragantino,2.1,1.5,45,,Anderson Leite,4-1-4-1,4-2-3-1,Marcelo de Lima Henrique,Match Report,
2021-09-18,17:00,Série A,Matchweek 21,Sat,Home,L,0,2,Palmeiras,0.5,1.7,53,,Anderson Leite,4-4-2,4-2-3-1,Paulo Roberto Alves Júnior,Match Report,
2021-09-25,17:00,Série A,Matchweek 22,Sat,Away,L,0,1,Ceará,0.8,3.5,41,,Anselmo Ramon,4-1-4-1,4-2-3-1,Caio Max Augusto Vieira,Match Report,
2021-10-03,16:00,Série A,Matchweek 23,Sun,Home,D,1,1,São Paulo,1.0,2.3,38,,Anselmo Ramon,4-1-4-1,3-4-1-2,Marielson Alves Silva,Match Report,
2021-10-06,19:00,Série A,Matchweek 24,Wed,Home,D,2,2,Atlético Mineiro,1.4,0.8,35,733.0,Matheus Ribeiro,4-4-2,4-2-3-1,André Luiz de Freitas Castro,Match Report,
2021-10-10,11:00,Série A,Matchweek 25,Sun,Away,L,2,5,Internacional,0.7,2.8,50,11976.0,Matheus Ribeiro,4-4-2,4-2-3-1,Alisson Sidnei Furtado,Match Report,
2021-10-13,19:00,Série A,Matchweek 26,Wed,Home,D,1,1,Ath Paranaense,1.7,1.2,38,935.0,Joílson,5-3-2,3-4-3,Luiz Flávio de Oliveira,Match Report,
2021-10-16,19:00,Série A,Matchweek 27,Sat,Home,L,1,2,Fortaleza,0.7,1.6,38,1027.0,Joílson,5-3-2,3-4-1-2,Zandick Gondim Alves Junior,Match Report,
2021-10-24,20:30,Série A,Matchweek 28,Sun,Away,L,0,3,Bahia,0.5,2.2,47,8058.0,Joílson,5-3-2,4-4-2,Wilton Sampaio,Match Report,
