Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Cássio,br BRA,GK,27.0,35,35,3105.0,34.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Gil,br BRA,DF,27.0,34,34,3060.0,34.0,2.0,1.0,3.0,2.0,0.0,0.0,7.0,0.0,0.06,0.03,0.09,0.06,0.09,Matches
Jádson,br BRA,MF,31.0,34,34,2961.0,32.9,13.0,13.0,26.0,8.0,5.0,5.0,6.0,0.0,0.4,0.4,0.79,0.24,0.64,Matches
Renato Augusto,br BRA,MF,26.0,30,30,2571.0,28.6,5.0,5.0,10.0,5.0,0.0,0.0,2.0,0.0,0.18,0.18,0.35,0.18,0.35,Matches
Malcom,br BRA,"FW,MF",17.0,31,29,2432.0,27.0,5.0,4.0,9.0,5.0,0.0,0.0,1.0,0.0,0.19,0.15,0.33,0.19,0.33,Matches
Vágner Love,br BRA,FW,30.0,31,28,2355.0,26.2,14.0,3.0,17.0,14.0,0.0,0.0,3.0,0.0,0.54,0.11,0.65,0.54,0.65,Matches
Felipe,br BRA,DF,25.0,26,26,2331.0,25.9,1.0,0.0,1.0,1.0,0.0,0.0,8.0,1.0,0.04,0.0,0.04,0.04,0.04,Matches
Fagner,br BRA,DF,25.0,26,26,2172.0,24.1,0.0,2.0,2.0,0.0,0.0,0.0,6.0,1.0,0.0,0.08,0.08,0.0,0.08,Matches
Elías,br BRA,MF,29.0,24,23,1970.0,21.9,5.0,7.0,12.0,5.0,0.0,0.0,4.0,0.0,0.23,0.32,0.55,0.23,0.55,Matches
Ralf,br BRA,MF,30.0,31,21,1963.0,21.8,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.05,0.05,0.09,0.05,0.09,Matches
Bruno Henrique,br BRA,MF,25.0,22,19,1609.0,17.9,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches
Uendel,br BRA,DF,26.0,19,19,1527.0,17.0,2.0,4.0,6.0,2.0,0.0,0.0,1.0,0.0,0.12,0.24,0.35,0.12,0.35,Matches
Edu Dracena,br BRA,DF,33.0,16,15,1340.0,14.9,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.13,0.0,0.13,0.13,0.13,Matches
Edílson Mendes,br BRA,DF,28.0,18,12,1322.0,14.7,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches
Guilherme Arana,br BRA,"DF,MF",17.0,12,10,918.0,10.2,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.1,0.0,0.1,0.1,0.1,Matches
Stiven Mendoza,co COL,"FW,MF",22.0,10,6,578.0,6.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.16,0.0,0.16,0.16,0.16,Matches
Ángel Romero,py PAR,"FW,MF",22.0,12,6,561.0,6.2,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.48,0.0,0.48,0.48,0.48,Matches
Fábio Santos,br BRA,DF,29.0,6,6,540.0,6.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.17,0.17,0.33,0.17,0.33,Matches
Rodriguinho Marinho,br BRA,"FW,MF",26.0,12,6,531.0,5.9,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.34,0.0,0.34,0.34,0.34,Matches
Cristian Baroni,br BRA,MF,31.0,13,5,466.0,5.2,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.19,0.0,0.19,0.0,0.0,Matches
Petros,br BRA,MF,25.0,8,5,441.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Yago,br BRA,DF,22.0,8,4,455.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Luciano,br BRA,"FW,MF",21.0,6,4,412.0,4.6,5.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,1.09,0.0,1.09,1.09,1.09,Matches
Danilo,br BRA,MF,35.0,29,3,613.0,6.8,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.29,0.29,0.0,0.29,Matches
Walter,br BRA,GK,27.0,4,3,315.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Marciel,br BRA,MF,19.0,4,3,235.0,2.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.38,0.0,0.38,0.38,0.38,Matches
Lucca,br BRA,"FW,MF",24.0,10,2,278.0,3.1,3.0,2.0,5.0,3.0,0.0,0.0,2.0,0.0,0.97,0.65,1.62,0.97,1.62,Matches
Rildo,br BRA,"FW,MF",25.0,12,2,223.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Paolo Guerrero,pe PER,FW,31.0,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Emerson Sheik,qa QAT,FW,36.0,3,0,93.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Lincom,br BRA,FW,30.0,3,0,35.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Matheus Pereira da Silva,br BRA,MF,16.0,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Matheus Cassini,br BRA,MF,18.0,0,0,,,,,,,,,,,,,,,,Matches
Claudinho,br BRA,"FW,MF",18.0,0,0,,,,,,,,,,,,,,,,Matches
Caíque França,br BRA,GK,19.0,0,0,,,,,,,,,,,,,,,,Matches
Pedro Henrique,br BRA,DF,19.0,0,0,,,,,,,,,,,,,,,,Matches
Matheus Caldeira Vidotto de Oliveira,br BRA,GK,20.0,0,0,,,,,,,,,,,,,,,,Matches
Rodrigo Sam,br BRA,DF,19.0,0,0,,,,,,,,,,,,,,,,Matches
Samuel,br BRA,DF,17.0,0,0,,,,,,,,,,,,,,,,Matches
Matheus de Vargas,br BRA,MF,18.0,0,0,,,,,,,,,,,,,,,,Matches
Gustavo Viera,py PAR,MF,19.0,0,0,,,,,,,,,,,,,,,,Matches
Squad Total,,,27.2,38,418,3420.0,38.0,69.0,46.0,115.0,63.0,6.0,6.0,66.0,2.0,1.82,1.21,3.03,1.66,2.87,
Opponent Total,,,26.4,38,418,3420.0,38.0,31.0,24.0,55.0,31.0,0.0,1.0,100.0,6.0,0.82,0.63,1.45,0.82,1.45,
