Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2016-02-17,20:45,Libertadores,Second stage,Wed,Away,W,1,0,cl Cobresal,,,,4-2-3-1,4-2-3-1,Andrés Cunha,Match Report,
2016-03-02,21:45,Libertadores,Second stage,Wed,Home,W,1,0,co Santa Fe,,,,4-1-4-1,4-4-1-1,Mauro Vigliano,Match Report,
2016-03-09,19:30,Libertadores,Second stage,Wed,Away,L,2,3,py Cerro Porteño,,,,4-1-4-1,4-4-2,Diego Haro,Match Report,
2016-03-16,21:45,Libertadores,Second stage,Wed,Home,W,2,0,py Cerro Porteño,,,,4-1-4-1,4-4-1-1,Patricio Loustau,Match Report,
2016-04-06,19:45,Libertadores,Second stage,Wed,Away,D,1,1,co Santa Fe,,,,4-2-3-1,4-4-2,Néstor Pitana,Match Report,
2016-04-20,21:45,Libertadores,Second stage,Wed,Home,W,6,0,cl Cobresal,,,,4-1-4-1,4-2-3-1,Klever Rojas,Match Report,
2016-04-27,21:45,Libertadores,Round of 16,Wed,Away,D,0,0,uy Nacional,,,,4-1-4-1,4-4-1-1,Patricio Loustau,Match Report,Leg 1 of 2
2016-05-04,21:45,Libertadores,Round of 16,Wed,Home,D,2,2,uy Nacional,,,,4-1-4-1,4-4-1-1,Néstor Pitana,Match Report,Leg 2 of 2; Nacional won
2016-05-15,16:00,Série A,Matchweek 1,Sun,Home,D,0,0,Grêmio,60.0,31533.0,,4-1-4-1,4-4-2,Wilton Sampaio,Match Report,
2016-05-22,16:00,Série A,Matchweek 2,Sun,Away,L,2,3,Vitória,66.0,12417.0,,4-1-4-1,4-2-3-1,Heber Roberto Lopes,Match Report,
2016-05-26,11:00,Série A,Matchweek 3,Thu,Home,W,3,0,Ponte Preta,58.0,35573.0,,4-2-3-1,4-2-3-1,Elmo Alves Resende Cunha,Match Report,
2016-05-29,11:00,Série A,Matchweek 4,Sun,Away,W,2,0,Sport Recife,45.0,14645.0,,4-2-3-1,4-2-3-1,Wagner Reway,Match Report,
2016-06-01,21:00,Série A,Matchweek 5,Wed,Home,W,1,0,Santos,67.0,30187.0,,4-2-3-1,4-2-2-2,Leandro Pedro Vuaden,Match Report,
2016-06-04,20:30,Série A,Matchweek 6,Sat,Home,W,2,1,Coritiba,75.0,26958.0,,4-2-3-1,4-2-3-1,Anderson Daronco,Match Report,
2016-06-12,16:00,Série A,Matchweek 7,Sun,Away,L,0,1,Palmeiras,50.0,39935.0,,4-2-3-1,4-2-3-1,Raphael Claus,Match Report,
2016-06-16,20:00,Série A,Matchweek 8,Thu,Away,L,0,1,Fluminense,57.0,21148.0,,4-2-3-1,4-2-3-1,Ricardo Marques Ribeiro,Match Report,
2016-06-19,16:00,Série A,Matchweek 9,Sun,Home,W,3,1,Botafogo (RJ),60.0,34747.0,,4-2-3-1,4-2-3-1,Rodolpho Toski Marques,Match Report,
2016-06-22,21:45,Série A,Matchweek 10,Wed,Away,L,1,2,Atlético Mineiro,51.0,34426.0,,4-2-3-1,4-2-3-1,Wilton Sampaio,Match Report,
2016-06-25,21:00,Série A,Matchweek 11,Sat,Home,W,2,1,Santa Cruz,62.0,25501.0,,4-2-3-1,4-2-3-1,Wagner do Nascimento Magalhaes,Match Report,
2016-06-29,21:45,Série A,Matchweek 12,Wed,Away,W,2,0,América (MG),41.0,3386.0,,4-2-3-1,4-4-2,Wagner Reway,Match Report,
2016-07-03,16:00,Série A,Matchweek 13,Sun,Home,W,4,0,Flamengo,49.0,32577.0,,4-2-3-1,4-2-3-1,Heber Roberto Lopes,Match Report,
2016-07-09,16:30,Série A,Matchweek 14,Sat,Away,W,2,0,Chapecoense,61.0,11615.0,,4-2-3-1,4-3-2-1,Ricardo Marques Ribeiro,Match Report,
2016-07-17,16:00,Série A,Matchweek 15,Sun,Home,D,1,1,São Paulo,56.0,42099.0,,4-2-3-1,4-2-3-1,Pericles Bassols Pegado Cortez,Match Report,
2016-07-23,16:00,Série A,Matchweek 16,Sat,Home,D,1,1,Figueirense,68.0,38507.0,,4-2-3-1,4-2-3-1,Marielson Alves Silva,Match Report,
2016-07-31,16:00,Série A,Matchweek 17,Sun,Away,W,1,0,Internacional,46.0,30098.0,,4-2-3-1,4-2-3-1,Elmo Alves Resende Cunha,Match Report,
2016-08-03,21:45,Série A,Matchweek 18,Wed,Away,L,0,2,Ath Paranaense,56.0,25379.0,,4-2-2-2,4-2-3-1,Anderson Daronco,Match Report,
2016-08-08,21:00,Série A,Matchweek 19,Mon,Home,D,1,1,Cruzeiro,54.0,34487.0,,4-2-2-2,4-2-3-1,Dewson Fernando Freitas da Silva,Match Report,
2016-08-14,11:00,Série A,Matchweek 20,Sun,Away,L,0,3,Grêmio,60.0,46163.0,,4-2-2-2,4-2-3-1,Braulio da Silva Machado,Match Report,
2016-08-22,20:00,Série A,Matchweek 21,Mon,Home,W,2,1,Vitória,56.0,20207.0,,4-1-4-1,4-2-3-1,Bruno Arleu de Araujo,Match Report,
2016-08-27,16:00,Série A,Matchweek 22,Sat,Away,L,0,2,Ponte Preta,49.0,8529.0,,4-1-4-1,4-2-3-1,Luiz Flavio De Oliveira,Match Report,
2016-09-08,19:30,Série A,Matchweek 23,Thu,Home,W,3,0,Sport Recife,51.0,24360.0,,4-1-4-1,4-2-3-1,Joao Batista de Arruda,Match Report,
2016-09-11,16:00,Série A,Matchweek 24,Sun,Away,L,1,2,Santos,48.0,8610.0,,4-1-4-1,4-2-3-1,Raphael Claus,Match Report,
2016-09-14,21:45,Série A,Matchweek 25,Wed,Away,D,1,1,Coritiba,59.0,11893.0,,4-1-4-1,4-1-4-1,Grazianni Maciel Rocha,Match Report,
2016-09-17,16:00,Série A,Matchweek 26,Sat,Home,L,0,2,Palmeiras,67.0,39879.0,,4-1-4-1,4-3-3,Heber Roberto Lopes,Match Report,
2016-09-25,16:00,Série A,Matchweek 27,Sun,Home,L,0,1,Fluminense,56.0,18838.0,,4-1-4-1,4-3-3,Anderson Daronco,Match Report,
2016-10-01,16:30,Série A,Matchweek 28,Sat,Away,L,0,2,Botafogo (RJ),56.0,8375.0,,4-1-4-1,4-4-1-1,Caio Max Augusto Vieira,Match Report,
2016-10-05,21:00,Série A,Matchweek 29,Wed,Home,D,0,0,Atlético Mineiro,60.0,17135.0,,4-1-4-1,4-2-3-1,Rodolpho Toski Marques,Match Report,
2016-10-12,20:45,Série A,Matchweek 30,Wed,Away,W,4,2,Santa Cruz,55.0,7974.0,,4-1-4-1,4-2-3-1,Grazianni Maciel Rocha,Match Report,
2016-10-16,18:30,Série A,Matchweek 31,Sun,Home,W,2,0,América (MG),60.0,25741.0,,4-1-4-1,4-1-4-1,Dewson Fernando Freitas da Silva,Match Report,
2016-10-23,17:00,Série A,Matchweek 32,Sun,Away,D,2,2,Flamengo,36.0,65743.0,,4-1-4-1,4-2-3-1,Anderson Daronco,Match Report,
2016-10-29,16:30,Série A,Matchweek 33,Sat,Home,D,1,1,Chapecoense,56.0,25064.0,,4-1-4-1,4-1-4-1,Jean Pierre Goncalves Lima,Match Report,
2016-11-05,19:30,Série A,Matchweek 34,Sat,Away,L,0,4,São Paulo,58.0,53781.0,,4-1-4-1,4-2-3-1,Claudio Francisco Lima e Silva,Match Report,
2016-11-16,21:45,Série A,Matchweek 35,Wed,Away,D,1,1,Figueirense,51.0,5694.0,,4-1-4-1,3-5-1-1,Anderson Daronco,Match Report,
2016-11-21,20:00,Série A,Matchweek 36,Mon,Home,W,1,0,Internacional,58.0,19493.0,,4-1-4-1,4-2-3-1,Rodolpho Toski Marques,Match Report,
2016-11-26,21:00,Série A,Matchweek 37,Sat,Home,D,0,0,Ath Paranaense,57.0,24701.0,,4-1-4-1,4-2-3-1,Leandro Pedro Vuaden,Match Report,
2016-12-11,17:00,Série A,Matchweek 38,Sun,Away,L,2,3,Cruzeiro,54.0,16074.0,,4-1-4-1,4-2-3-1,Wagner Reway,Match Report,
