Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
Cássio,br BRA,GK,29.0,35,3150.0,90.0,92.1,35.0,35,90.0,35.0,0,,1,1.8,45.0,29.0,16.0,0.46,-0.88,Matches
Jô,br BRA,FW,29.0,34,3018.0,89.0,88.2,33.5,34,89.0,27.0,0,,0,2.0,46.0,27.0,19.0,0.57,0.34,Matches
Gabriel,br BRA,MF,24.0,33,2609.0,79.0,76.3,29.0,33,79.0,18.0,0,,0,1.82,38.0,24.0,14.0,0.48,-0.18,Matches
Fabián Balbuena,py PAR,DF,25.0,32,2842.0,89.0,83.1,31.6,32,89.0,30.0,0,,0,1.78,37.0,26.0,11.0,0.35,-1.05,Matches
Guilherme Arana,br BRA,"DF,MF",19.0,32,2826.0,88.0,82.6,31.4,32,88.0,30.0,0,,0,2.13,47.0,20.0,27.0,0.86,1.92,Matches
Rodriguinho Marinho,br BRA,"FW,MF",28.0,32,2789.0,87.0,81.5,31.0,32,87.0,21.0,0,,0,1.94,37.0,20.0,17.0,0.55,0.12,Matches
Maycon,br BRA,MF,19.0,36,2768.0,77.0,80.9,30.8,32,85.0,23.0,4,16.0,1,2.0,35.0,20.0,15.0,0.49,-0.2,Matches
Fagner,br BRA,DF,27.0,31,2790.0,90.0,81.6,31.0,31,90.0,31.0,0,,1,1.84,36.0,21.0,15.0,0.48,-0.23,Matches
Ángel Romero,py PAR,"FW,MF",24.0,30,2473.0,82.0,72.3,27.5,29,84.0,14.0,1,45.0,0,1.93,36.0,18.0,18.0,0.66,0.47,Matches
Jádson,br BRA,MF,33.0,29,1928.0,66.0,56.4,21.4,25,73.0,6.0,4,27.0,0,1.9,28.0,16.0,12.0,0.56,0.08,Matches
Pablo,br BRA,DF,25.0,24,2017.0,84.0,59.0,22.4,24,84.0,21.0,0,,0,2.08,33.0,16.0,17.0,0.76,0.57,Matches
Pedro Henrique,br BRA,DF,21.0,22,1853.0,84.0,54.2,20.6,19,90.0,19.0,3,47.0,14,1.77,28.0,18.0,10.0,0.49,-0.09,Matches
Clayson,br BRA,"FW,MF",21.0,29,1349.0,47.0,39.4,15.0,12,82.0,4.0,17,22.0,4,1.9,23.0,13.0,10.0,0.67,0.23,Matches
Marquinhos Gabriel,br BRA,"FW,MF",26.0,25,1136.0,45.0,33.2,12.6,10,69.0,1.0,15,30.0,5,1.76,22.0,13.0,9.0,0.71,0.28,Matches
