Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Unnamed: 16_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,Matches
Henrique,br BRA,DF,31.0,35.0,2,12,2,16.7,0.34,0.06,0.17,1.0,,0,0,Matches
Pedrinho,br BRA,"FW,MF",19.0,26.5,0,65,17,26.2,2.45,0.64,0.0,0.0,,0,0,Matches
Cássio,br BRA,GK,30.0,26.4,0,0,0,,0.0,0.0,,,,0,0,Matches
Ángel Romero,py PAR,"FW,MF",25.0,24.5,6,36,12,33.3,1.47,0.49,0.17,0.5,,0,0,Matches
Gabriel,br BRA,MF,25.0,22.7,1,13,3,23.1,0.57,0.13,0.08,0.33,,0,0,Matches
Jádson,br BRA,MF,34.0,22.1,4,29,11,37.9,1.31,0.5,0.1,0.27,,1,1,Matches
Léo Santos,br BRA,DF,19.0,19.7,0,11,4,36.4,0.56,0.2,0.0,0.0,,0,0,Matches
Fagner,br BRA,DF,28.0,19.1,0,9,1,11.1,0.47,0.05,0.0,0.0,,0,0,Matches
Danilo Avelar,br BRA,"DF,MF",28.0,19.0,1,19,8,42.1,1.0,0.42,0.05,0.13,,0,0,Matches
Mateus Vital,br BRA,"FW,MF",19.0,18.6,2,30,11,36.7,1.62,0.59,0.07,0.18,,0,0,Matches
Ralf,br BRA,MF,33.0,17.4,1,8,1,12.5,0.46,0.06,0.13,1.0,,0,0,Matches
Douglas,br BRA,MF,21.0,12.5,1,16,5,31.3,1.28,0.4,0.06,0.2,,0,0,Matches
Roger,br BRA,FW,33.0,13.8,4,30,8,26.7,2.17,0.58,0.13,0.5,,0,0,Matches
Guilherme Mantuan,br BRA,MF,20.0,13.6,0,4,0,0.0,0.29,0.0,0.0,,,0,0,Matches
Clayson,br BRA,"FW,MF",22.0,13.0,1,21,6,28.6,1.61,0.46,0.05,0.17,,0,0,Matches
Pedro Henrique,br BRA,DF,22.0,11.9,0,3,1,33.3,0.25,0.08,0.0,0.0,,0,0,Matches
Walter,br BRA,GK,30.0,11.6,0,0,0,,0.0,0.0,,,,0,0,Matches
Rodriguinho Marinho,br BRA,"FW,MF",29.0,10.9,5,22,9,40.9,2.02,0.82,0.23,0.56,,0,0,Matches
Sidcley,br BRA,"DF,MF",24.0,10.5,1,6,1,16.7,0.57,0.1,0.17,1.0,,0,0,Matches
Maycon,br BRA,MF,20.0,8.5,0,11,5,45.5,1.29,0.59,0.0,0.0,,0,0,Matches
Fabián Balbuena,py PAR,DF,26.0,8.0,0,5,1,20.0,0.62,0.12,0.0,0.0,,0,0,Matches
Carlos Augusto,br BRA,"DF,MF",19.0,7.0,0,2,0,0.0,0.29,0.0,0.0,,,0,0,Matches
Ángelo Araos,cl CHI,MF,21.0,6.4,0,9,5,55.6,1.41,0.78,0.0,0.0,,0,0,Matches
Danilo,br BRA,MF,38.0,5.4,2,7,5,71.4,1.29,0.92,0.29,0.4,,0,0,Matches
Thiaguinho,br BRA,MF,20.0,6.3,0,3,1,33.3,0.47,0.16,0.0,0.0,,0,0,Matches
Marquinhos Gabriel,br BRA,"FW,MF",27.0,4.1,1,7,1,14.3,1.72,0.25,0.14,1.0,,0,0,Matches
Paulo Roberto,br BRA,MF,30.0,3.6,0,3,1,33.3,0.82,0.27,0.0,0.0,,0,0,Matches
Renê Júnior,br BRA,MF,28.0,3.4,0,2,0,0.0,0.59,0.0,0.0,,,0,0,Matches
Emerson Sheik,qa QAT,FW,39.0,4.0,0,8,2,25.0,2.02,0.5,0.0,0.0,,0,0,Matches
Jonathas,br BRA,FW,28.0,3.3,1,8,2,25.0,2.41,0.6,0.13,0.5,,0,0,Matches
Marllon Borges,br BRA,DF,25.0,3.0,0,1,0,0.0,0.33,0.0,0.0,,,0,0,Matches
Junior Dutra,br BRA,"FW,MF",29.0,1.7,0,0,0,,0.0,0.0,,,,0,0,Matches
Juninho Capixaba,br BRA,"DF,MF",20.0,1.5,0,0,0,,0.0,0.0,,,,0,0,Matches
Sergio Díaz,py PAR,FW,19.0,1.0,0,1,0,0.0,1.01,0.0,0.0,,,0,0,Matches
Rafael Bilu,br BRA,MF,18.0,0.1,0,0,0,,0.0,0.0,,,,0,0,Matches
Rodrigo Figueiredo,br BRA,MF,21.0,0.1,0,0,0,,0.0,0.0,,,,0,0,Matches
Matheus Matias,br BRA,FW,19.0,0.1,0,0,0,,0.0,0.0,,,,0,0,Matches
Colin Kazim-Richards,tr TUR,"FW,MF",31.0,0.1,0,1,0,0.0,15.0,0.0,0.0,,,0,0,Matches
Squad Total,,,26.6,38.0,33,402,123,30.6,10.58,3.24,0.08,0.26,,1,1,
Opponent Total,,,27.0,38.0,34,532,178,33.5,14.0,4.68,0.06,0.17,,4,4,
