Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Cássio,br BRA,GK,31.0,31.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Manoel,br BRA,DF,28.0,31.0,1,14,3,21.4,0.45,0.1,0.07,0.33,10.5,0,0,0,1.4,1.4,0.1,-0.4,-0.4,Matches
Gil,br BRA,DF,31.0,29.0,1,16,3,18.8,0.55,0.1,0.06,0.33,11.4,0,0,0,1.1,1.1,0.07,-0.1,-0.1,Matches
Fagner,br BRA,DF,29.0,28.4,1,18,5,27.8,0.63,0.18,0.06,0.2,22.3,5,0,0,0.9,0.9,0.05,0.1,0.1,Matches
Pedrinho,br BRA,MF,20.0,24.1,5,72,24,33.3,2.98,0.99,0.07,0.21,24.0,2,0,0,4.4,4.4,0.06,0.6,0.6,Matches
Júnior Urso,br BRA,MF,29.0,23.6,3,32,11,34.4,1.36,0.47,0.09,0.27,19.8,0,0,0,3.0,3.0,0.09,0.0,0.0,Matches
Danilo Avelar,br BRA,DF,29.0,24.2,2,14,6,42.9,0.58,0.25,0.14,0.33,16.4,2,0,0,0.9,0.9,0.07,1.1,1.1,Matches
Clayson,br BRA,MF,23.0,22.3,3,33,14,42.4,1.48,0.63,0.06,0.14,24.1,5,1,1,3.1,2.3,0.07,-0.1,-0.3,Matches
Ralf,br BRA,MF,34.0,21.3,1,11,3,27.3,0.52,0.14,0.09,0.33,26.5,0,0,0,0.3,0.3,0.03,0.7,0.7,Matches
Mateus Vital,br BRA,"MF,FW",20.0,21.9,2,50,13,26.0,2.29,0.59,0.04,0.15,22.3,0,0,0,3.1,3.1,0.06,-1.1,-1.1,Matches
Vágner Love,br BRA,"FW,MF",34.0,19.5,5,30,10,33.3,1.54,0.51,0.13,0.4,16.0,0,1,1,5.0,4.2,0.14,0.0,-0.2,Matches
