Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Gil,br BRA,DF,32.0,36.0,33,20,23,9,1,17,26,65.4,9,44,30,14,39,72,166,1,Matches
Cássio,br BRA,GK,32.0,34.9,1,1,1,0,0,0,4,0.0,4,1,0,1,0,1,6,1,Matches
Fagner,br BRA,DF,30.0,30.9,60,42,38,16,6,24,45,53.3,21,30,6,24,55,115,73,0,Matches
Jô,br BRA,FW,32.0,23.5,3,1,1,1,1,1,8,12.5,7,10,2,8,0,3,15,0,Matches
Gabriel,br BRA,MF,27.0,22.4,66,45,31,32,3,31,77,40.3,46,38,6,32,50,116,18,2,Matches
Víctor Cantillo,co COL,MF,26.0,17.3,32,12,19,12,1,17,46,37.0,29,27,4,23,29,61,24,0,Matches
Ramiro Benetti,br BRA,"MF,FW",26.0,20.0,38,23,16,16,6,19,50,38.0,31,24,1,23,42,80,30,0,Matches
Fábio Santos,br BRA,DF,34.0,19.8,24,14,18,6,0,12,25,48.0,13,20,11,9,30,54,74,0,Matches
Rómulo Otero,ve VEN,"FW,MF",27.0,17.0,30,17,16,9,5,15,35,42.9,20,9,2,7,12,42,10,0,Matches
Gustavo Mosquito,br BRA,"FW,MF",22.0,14.3,14,8,5,7,2,8,19,42.1,11,11,2,9,6,20,13,0,Matches
Lucas Piton,br BRA,"DF,FW",19.0,14.8,24,14,9,10,5,12,31,38.7,19,12,4,8,28,52,32,0,Matches
Léo Natel,br BRA,"FW,MF",22.0,14.6,26,15,6,15,5,13,39,33.3,26,17,1,16,8,34,13,0,Matches
Bruno Méndez,uy URU,DF,20.0,14.4,20,8,13,6,1,13,18,72.2,5,13,9,4,27,47,52,0,Matches
Mateus Vital,br BRA,"FW,MF",21.0,13.5,20,14,8,10,2,5,21,23.8,16,11,0,11,10,30,3,0,Matches
Danilo Avelar,br BRA,DF,30.0,12.9,8,4,5,2,1,3,9,33.3,6,13,10,3,20,28,45,0,Matches
Ángelo Araos,cl CHI,MF,23.0,8.9,6,3,2,3,1,3,13,23.1,10,6,1,5,9,15,4,0,Matches
Luan Vieira,br BRA,"MF,FW",26.0,12.3,21,17,3,15,3,10,26,38.5,16,19,2,17,0,21,2,0,Matches
Juan Cazares,ec ECU,MF,27.0,12.1,8,4,2,2,4,1,17,5.9,16,9,0,9,7,15,0,0,Matches
Xavier,br BRA,MF,19.0,9.4,16,12,7,7,2,10,19,52.6,9,10,6,4,13,29,31,0,Matches
Éderson,br BRA,MF,20.0,7.9,15,10,5,9,1,8,22,36.4,14,11,1,10,18,33,10,0,Matches
Jemerson,br BRA,DF,27.0,6.9,8,4,7,1,0,4,4,100.0,0,3,2,1,19,27,24,0,Matches
Marllon Borges,br BRA,DF,27.0,6.7,3,1,2,1,0,1,1,100.0,0,8,4,4,6,9,35,1,Matches
Budiga Roni,br BRA,"MF,FW",20.0,5.7,11,8,5,5,1,2,15,13.3,13,8,4,4,4,15,3,0,Matches
Michel,br BRA,DF,29.0,5.8,8,6,7,0,1,4,6,66.7,2,0,0,0,7,15,16,0,Matches
Sidcley,br BRA,DF,26.0,5.7,6,4,3,2,1,3,12,25.0,9,4,1,3,11,17,11,0,Matches
Guilherme Camacho,br BRA,MF,29.0,6.4,24,14,16,6,2,9,15,60.0,6,17,4,13,9,33,9,0,Matches
Everaldo,br BRA,"FW,MF",25.0,5.4,8,8,5,3,0,3,11,27.3,8,3,0,3,2,10,2,0,Matches
Matheus Davó,br BRA,FW,20.0,2.9,1,1,0,0,1,0,1,0.0,1,3,1,2,1,2,0,0,Matches
Gustavo Mantuan,br BRA,"FW,MF",18.0,3.1,1,1,0,1,0,0,1,0.0,1,5,0,5,2,3,1,0,Matches
Walter,br BRA,GK,32.0,3.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
Mauro Boselli,ar ARG,"FW,MF",34.0,2.2,1,0,0,0,1,0,1,0.0,1,0,0,0,0,1,1,0,Matches
Ruan Oliveira Ferreira,br BRA,"FW,MF",19.0,1.2,2,1,1,1,0,2,5,40.0,3,1,0,1,3,5,1,0,Matches
Jonathan Cafu,br BRA,"FW,MF",28.0,1.2,2,2,0,2,0,0,0,,0,0,0,0,1,3,1,0,Matches
Gabriel Pereira,br BRA,"FW,MF",18.0,2.5,3,2,0,1,2,3,8,37.5,5,0,0,0,1,4,1,0,Matches
Janderson,br BRA,FW,20.0,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
Raul Bicalho,br BRA,DF,20.0,0.2,1,1,0,1,0,1,1,100.0,0,1,0,1,1,2,0,0,Matches
Squad Total,,,27.6,38.0,544,337,274,211,59,254,632,40.2,378,388,114,274,470,1014,728,5,
Opponent Total,,,26.6,38.0,547,348,254,231,62,216,556,38.8,340,377,116,261,477,1024,770,8,
