Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Expected,Expected,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Gil,br BRA,DF,32.0,36.0,1513,1782,84.9,30797,11229,429,481,89.2,905,983,92.1,172,289,59.5,2,1.4,1.1,0.6,10,107,4,0,105,Matches
Cássio,br BRA,GK,32.0,34.9,783,1090,71.8,23672,17456,121,121,100.0,345,349,98.9,316,616,51.3,0,0.0,0.0,0.0,0,16,0,0,0,Matches
Fagner,br BRA,DF,30.0,30.9,1336,1864,71.7,25153,12719,585,669,87.4,575,765,75.2,162,354,45.8,3,3.7,4.6,-0.7,46,163,55,18,190,Matches
Jô,br BRA,FW,32.0,23.5,400,554,72.2,5271,962,260,350,74.3,110,149,73.8,10,14,71.4,1,3.4,1.5,-2.4,33,30,14,1,60,Matches
Gabriel,br BRA,MF,27.0,22.4,1077,1272,84.7,18020,5061,527,604,87.3,436,491,88.8,90,120,75.0,2,0.5,0.8,1.5,15,110,11,3,113,Matches
Víctor Cantillo,co COL,MF,26.0,17.3,872,990,88.1,16902,5426,356,389,91.5,380,418,90.9,126,152,82.9,3,1.3,1.3,1.7,11,138,13,1,148,Matches
Ramiro Benetti,br BRA,"MF,FW",26.0,20.0,858,1120,76.6,14264,4726,450,540,83.3,305,382,79.8,85,137,62.0,1,2.1,2.1,-1.1,18,88,18,3,142,Matches
Fábio Santos,br BRA,DF,34.0,19.8,864,1075,80.4,13421,5895,489,549,89.1,323,405,79.8,40,79,50.6,0,0.6,0.8,-0.6,13,71,14,3,83,Matches
Rómulo Otero,ve VEN,"FW,MF",27.0,17.0,435,594,73.2,7232,2368,233,259,90.0,152,192,79.2,43,115,37.4,1,1.2,1.5,-0.2,17,37,22,5,64,Matches
Gustavo Mosquito,br BRA,"FW,MF",22.0,14.3,244,340,71.8,3150,778,167,192,87.0,61,81,75.3,7,24,29.2,3,1.6,1.5,1.4,17,7,11,4,28,Matches
Lucas Piton,br BRA,"DF,FW",19.0,14.8,635,816,77.8,10389,3295,324,373,86.9,260,316,82.3,41,93,44.1,3,1.8,1.2,1.2,20,62,15,12,60,Matches
Léo Natel,br BRA,"FW,MF",22.0,14.6,305,471,64.8,4447,1023,183,233,78.5,94,143,65.7,16,41,39.0,1,1.9,1.9,-0.9,18,15,14,2,40,Matches
Bruno Méndez,uy URU,DF,20.0,14.4,465,606,76.7,9237,3796,148,179,82.7,259,301,86.0,54,113,47.8,0,0.5,0.4,-0.5,3,41,2,0,47,Matches
Mateus Vital,br BRA,"FW,MF",21.0,13.5,383,472,81.1,5545,1359,239,265,90.2,119,145,82.1,19,39,48.7,0,0.5,0.7,-0.5,13,29,14,3,51,Matches
Danilo Avelar,br BRA,DF,30.0,12.9,766,837,91.5,15117,6405,241,254,94.9,455,479,95.0,68,96,70.8,0,0.2,0.4,-0.2,4,89,4,0,90,Matches
Ángelo Araos,cl CHI,MF,23.0,8.9,217,299,72.6,3339,567,115,147,78.2,77,97,79.4,13,22,59.1,4,1.7,0.7,2.3,13,24,6,1,23,Matches
Luan Vieira,br BRA,"MF,FW",26.0,12.3,481,613,78.5,7567,1758,271,309,87.7,147,179,82.1,44,81,54.3,1,1.5,1.4,-0.5,23,51,14,2,75,Matches
Juan Cazares,ec ECU,MF,27.0,12.1,427,560,76.3,7179,2256,219,256,85.5,150,189,79.4,49,82,59.8,5,3.9,2.7,1.1,28,58,22,3,81,Matches
Xavier,br BRA,MF,19.0,9.4,258,325,79.4,4521,1466,116,143,81.1,119,133,89.5,18,30,60.0,1,1.0,0.4,0.0,7,28,4,0,34,Matches
Éderson,br BRA,MF,20.0,7.9,257,305,84.3,4001,1116,145,164,88.4,87,100,87.0,17,24,70.8,0,0.1,0.2,-0.1,2,12,4,0,24,Matches
Jemerson,br BRA,DF,27.0,6.9,251,298,84.2,4823,2105,86,94,91.5,136,151,90.1,27,47,57.4,0,0.1,0.1,-0.1,2,30,2,0,29,Matches
Marllon Borges,br BRA,DF,27.0,6.7,138,186,74.2,2582,913,41,49,83.7,83,98,84.7,14,31,45.2,0,0.0,0.0,0.0,1,9,0,0,11,Matches
Budiga Roni,br BRA,"MF,FW",20.0,5.7,135,180,75.0,2004,507,76,88,86.4,49,60,81.7,7,13,53.8,0,0.2,0.2,-0.2,5,10,2,0,13,Matches
Michel,br BRA,DF,29.0,5.8,262,312,84.0,3899,1489,153,169,90.5,90,103,87.4,15,25,60.0,0,0.3,0.3,-0.3,5,14,3,2,20,Matches
Sidcley,br BRA,DF,26.0,5.7,290,345,84.1,4810,1589,158,166,95.2,108,129,83.7,22,39,56.4,0,0.6,1.0,-0.6,10,17,10,5,20,Matches
Guilherme Camacho,br BRA,MF,29.0,6.4,353,408,86.5,6909,1836,134,148,90.5,160,179,89.4,56,68,82.4,2,0.7,0.7,1.3,6,40,2,0,43,Matches
Everaldo,br BRA,"FW,MF",25.0,5.4,96,127,75.6,1390,288,57,64,89.1,34,41,82.9,4,8,50.0,0,0.1,0.1,-0.1,3,6,1,0,5,Matches
Matheus Davó,br BRA,FW,20.0,2.9,32,47,68.1,419,41,23,26,88.5,7,13,53.8,1,3,33.3,0,0.0,0.0,0.0,1,2,0,0,3,Matches
Gustavo Mantuan,br BRA,"FW,MF",18.0,3.1,57,80,71.3,931,189,31,34,91.2,20,30,66.7,3,9,33.3,0,0.3,0.2,-0.3,6,7,2,0,10,Matches
Walter,br BRA,GK,32.0,3.1,50,97,51.5,1807,1469,7,7,100.0,18,18,100.0,25,72,34.7,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Mauro Boselli,ar ARG,"FW,MF",34.0,2.2,28,39,71.8,399,86,13,18,72.2,7,7,100.0,3,4,75.0,0,0.2,0.2,-0.2,2,3,1,0,4,Matches
Ruan Oliveira Ferreira,br BRA,"FW,MF",19.0,1.2,31,39,79.5,403,75,19,20,95.0,9,14,64.3,1,2,50.0,0,0.1,0.0,-0.1,1,0,0,0,1,Matches
Jonathan Cafu,br BRA,"FW,MF",28.0,1.2,23,29,79.3,355,79,12,14,85.7,9,11,81.8,2,3,66.7,0,0.0,0.1,0.0,1,2,2,0,3,Matches
Gabriel Pereira,br BRA,"FW,MF",18.0,2.5,60,86,69.8,924,293,35,43,81.4,20,25,80.0,4,11,36.4,1,0.4,0.3,0.6,2,2,5,0,12,Matches
Janderson,br BRA,FW,20.0,0.3,3,4,75.0,43,24,2,2,100.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,1,0,2,Matches
Raul Bicalho,br BRA,DF,20.0,0.2,14,20,70.0,296,147,5,6,83.3,6,10,60.0,3,3,100.0,0,0.0,0.1,0.0,0,2,1,1,5,Matches
Squad Total,,,27.6,38.0,14399,18282,78.8,261218,100791,6470,7425,87.1,6116,7187,85.1,1577,2860,55.1,34,31.6,28.5,2.4,356,1320,293,69,1639,
Opponent Total,,,26.6,38.0,14578,18355,79.4,274198,101710,6079,6952,87.4,6414,7456,86.0,1819,3079,59.1,33,40.3,33.9,-7.3,387,1311,267,83,1610,
