Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Gil,br BRA,DF,32.0,36,36,3240.0,36.0,2.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,2.9,2.9,1.4,4.2,9.0,105.0,3.0,0.06,0.06,0.11,0.06,0.11,0.08,0.04,0.12,0.08,0.12,Matches
Cássio,br BRA,GK,32.0,35,35,3142.0,34.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Fagner,br BRA,DF,30.0,32,32,2778.0,30.9,2.0,3.0,5.0,1.0,1.0,1.0,7.0,1.0,2.1,1.3,3.7,5.0,74.0,190.0,146.0,0.06,0.1,0.16,0.03,0.13,0.07,0.12,0.19,0.04,0.16,Matches
Jô,br BRA,FW,32.0,30,24,2113.0,23.5,6.0,1.0,7.0,6.0,0.0,1.0,1.0,1.0,7.1,6.3,3.4,9.7,18.0,60.0,120.0,0.26,0.04,0.3,0.26,0.3,0.3,0.14,0.45,0.27,0.41,Matches
Gabriel,br BRA,MF,27.0,28,24,2016.0,22.4,2.0,2.0,4.0,2.0,0.0,0.0,6.0,1.0,1.9,1.9,0.5,2.4,26.0,113.0,40.0,0.09,0.09,0.18,0.09,0.18,0.09,0.02,0.11,0.09,0.11,Matches
Víctor Cantillo,co COL,MF,26.0,25,21,1554.0,17.3,0.0,3.0,3.0,0.0,0.0,0.0,6.0,0.0,0.4,0.4,1.3,1.7,16.0,148.0,16.0,0.0,0.17,0.17,0.0,0.17,0.02,0.07,0.1,0.02,0.1,Matches
Ramiro Benetti,br BRA,"MF,FW",26.0,31,20,1803.0,20.0,1.0,1.0,2.0,1.0,0.0,0.0,8.0,0.0,1.6,1.6,2.1,3.7,14.0,142.0,117.0,0.05,0.05,0.1,0.05,0.1,0.08,0.1,0.18,0.08,0.18,Matches
Fábio Santos,br BRA,DF,34.0,20,20,1780.0,19.8,3.0,0.0,3.0,0.0,3.0,3.0,3.0,0.0,2.6,0.3,0.6,0.9,26.0,83.0,61.0,0.15,0.0,0.15,0.0,0.0,0.13,0.03,0.16,0.01,0.05,Matches
Rómulo Otero,ve VEN,"FW,MF",27.0,24,18,1527.0,17.0,2.0,1.0,3.0,2.0,0.0,0.0,8.0,1.0,2.8,2.8,1.2,4.0,38.0,64.0,108.0,0.12,0.06,0.18,0.12,0.18,0.16,0.07,0.24,0.16,0.24,Matches
Gustavo Mosquito,br BRA,"FW,MF",22.0,27,16,1284.0,14.3,5.0,3.0,8.0,5.0,0.0,0.0,1.0,0.0,4.0,4.0,1.6,5.6,49.0,28.0,140.0,0.35,0.21,0.56,0.35,0.56,0.28,0.11,0.39,0.28,0.39,Matches
Lucas Piton,br BRA,"DF,FW",19.0,20,15,1328.0,14.8,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.7,0.7,1.8,2.4,49.0,60.0,104.0,0.0,0.2,0.2,0.0,0.2,0.05,0.12,0.17,0.05,0.17,Matches
Léo Natel,br BRA,"FW,MF",22.0,31,14,1316.0,14.6,4.0,1.0,5.0,4.0,0.0,0.0,3.0,0.0,3.3,3.3,1.9,5.2,58.0,40.0,160.0,0.27,0.07,0.34,0.27,0.34,0.23,0.13,0.35,0.23,0.35,Matches
