Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Cássio,br BRA,GK,33.0,37.0,2,0.05,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Gil,br BRA,DF,33.0,37.0,15,0.41,11,1,0,3,0,0,2,0.05,1,0,0,1,0,0,Matches
João Victor,br BRA,DF,22.0,36.0,19,0.53,18,1,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
Fagner,br BRA,DF,31.0,33.8,77,2.28,50,21,2,1,2,1,4,0.12,3,1,0,0,0,0,Matches
Fábio Santos,br BRA,DF,35.0,32.0,48,1.5,43,1,0,0,4,0,6,0.19,5,0,0,0,1,0,Matches
Gabriel,br BRA,MF,28.0,26.8,31,1.16,28,0,1,0,0,2,1,0.04,1,0,0,0,0,0,Matches
Jô,br BRA,FW,33.0,23.9,46,1.93,34,0,3,5,4,0,6,0.25,3,0,0,2,1,0,Matches
Gustavo Mosquito,br BRA,"FW,MF",23.0,23.0,58,2.53,32,5,8,3,9,1,7,0.3,4,0,1,0,2,0,Matches
Giuliano de Paula,br BRA,MF,30.0,19.7,42,2.13,35,1,4,2,0,0,4,0.2,2,0,1,1,0,0,Matches
Roger Guedes,br BRA,"FW,MF",24.0,18.7,61,3.27,37,8,5,8,3,0,8,0.43,5,0,2,0,1,0,Matches
Víctor Cantillo,co COL,MF,27.0,16.0,33,2.06,32,0,1,0,0,0,1,0.06,1,0,0,0,0,0,Matches
Gabriel Pereira,br BRA,"FW,MF",19.0,14.7,53,3.6,26,5,9,5,8,0,5,0.34,2,0,1,1,1,0,Matches
Renato Augusto,br BRA,"MF,FW",32.0,16.5,57,3.46,45,0,3,4,4,1,8,0.49,7,0,1,0,0,0,Matches
Budiga Roni,br BRA,MF,21.0,12.2,19,1.55,17,0,1,0,1,0,3,0.24,2,0,1,0,0,0,Matches
Du Queiroz,br BRA,"MF,DF",21.0,11.0,21,1.91,17,0,2,0,0,2,1,0.09,1,0,0,0,0,0,Matches
Mateus Vital,br BRA,"FW,MF",22.0,9.9,29,2.94,20,2,5,2,0,0,1,0.1,0,1,0,0,0,0,Matches
Vitinho,br BRA,"MF,FW",21.0,8.9,30,3.37,19,6,1,1,3,0,2,0.22,1,1,0,0,0,0,Matches
Luan Vieira,br BRA,"FW,MF",27.0,6.4,25,3.89,17,1,3,2,2,0,2,0.31,1,0,0,1,0,0,Matches
Adson,br BRA,"FW,MF",20.0,6.2,12,1.94,8,3,1,0,0,0,3,0.48,3,0,0,0,0,0,Matches
Lucas Piton,br BRA,DF,20.0,5.9,9,1.52,7,0,0,2,0,0,1,0.17,1,0,0,0,0,0,Matches
Willian,br BRA,"FW,MF",32.0,5.0,23,4.61,16,4,1,1,1,0,2,0.4,2,0,0,0,0,0,Matches
Raul Bicalho,br BRA,DF,21.0,3.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ángelo Araos,cl CHI,"MF,FW",24.0,3.7,9,2.43,6,0,2,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Xavier,br BRA,MF,20.0,3.2,8,2.48,5,0,1,1,1,0,2,0.62,1,0,0,1,0,0,Matches
Ramiro Benetti,br BRA,"MF,FW",27.0,2.6,7,2.74,5,1,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Matheus Donelli,br BRA,GK,18.0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Guilherme Camacho,br BRA,MF,30.0,0.9,2,2.31,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Marquinhos,br BRA,"FW,MF",24.0,2.1,6,2.9,3,0,1,1,1,0,0,0.0,0,0,0,0,0,0,Matches
Gustavo Mantuan,br BRA,"FW,MF",19.0,0.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Léo Natel,br BRA,"FW,MF",23.0,0.2,2,9.0,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Felipe Augusto,br BRA,FW,16.0,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Cauê,br BRA,FW,18.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
João Pedro,br BRA,DF,24.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,28.3,38.0,744,19.58,536,61,54,42,44,7,70,1.84,47,3,7,7,6,0,
Opponent Total,,,26.8,38.0,813,21.39,608,62,41,46,35,21,63,1.66,40,5,6,5,5,2,
