Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Cássio,br BRA,GK,35.0,36.8,2,0,0,1,6,0,0,0,0,0,1,0,16,11,1,91.7,Matches
Gil,br BRA,DF,35.0,32.0,10,0,0,31,8,4,2,27,30,0,2,0,125,75,41,64.7,Matches
Yuri Alberto,br BRA,FW,21.0,30.2,6,0,0,66,71,15,13,4,14,1,0,0,67,62,80,43.7,Matches
Maycon,br BRA,MF,25.0,26.7,4,1,0,27,9,3,32,33,26,0,0,0,156,8,25,24.2,Matches
Fagner,br BRA,DF,33.0,23.3,10,0,0,22,40,0,119,17,27,0,0,0,132,6,11,35.3,Matches
Fábio Santos,br BRA,DF,37.0,18.6,7,0,0,23,26,1,30,19,15,0,0,0,74,27,18,60.0,Matches
Bruno Méndez,uy URU,DF,23.0,18.3,5,1,0,18,4,1,14,22,22,0,1,0,72,35,23,60.3,Matches
Matheus Bidu,br BRA,DF,23.0,18.4,2,0,0,24,37,0,105,32,20,0,2,0,124,28,20,58.3,Matches
Giuliano de Paula,br BRA,"MF,FW",32.0,18.1,2,0,0,19,17,0,7,13,16,0,0,0,91,14,25,35.9,Matches
Fausto Vera,ar ARG,MF,22.0,15.3,6,0,0,29,10,1,7,17,12,0,0,0,97,12,15,44.4,Matches
Renato Augusto,br BRA,MF,34.0,14.2,1,0,0,11,24,2,57,8,8,1,0,0,44,10,6,62.5,Matches
Roger Guedes,br BRA,"FW,MF",26.0,15.0,3,0,0,10,42,6,21,1,3,0,0,0,33,22,14,61.1,Matches
Lucas Veríssimo,br BRA,DF,27.0,14.5,4,1,0,15,4,4,0,10,11,0,0,0,62,57,29,66.3,Matches
Gabriel Moscardo,br BRA,MF,17.0,12.6,6,0,0,18,8,0,2,20,22,0,0,0,69,22,10,68.8,Matches
Caetano,br BRA,DF,23.0,13.4,3,0,0,10,8,0,1,19,8,0,1,0,62,18,15,54.5,Matches
Ángel Romero,py PAR,FW,30.0,13.3,2,0,0,8,31,4,63,6,14,0,0,0,67,21,26,44.7,Matches
Murillo,br BRA,DF,20.0,12.9,3,0,0,13,4,0,0,16,9,0,0,1,79,31,18,63.3,Matches
Ruan Oliveira Ferreira,br BRA,"MF,FW",22.0,9.8,3,0,0,19,13,1,44,8,15,1,0,0,42,1,10,9.1,Matches
Adson,br BRA,"FW,MF",22.0,9.5,0,0,0,11,20,5,10,8,26,0,0,0,52,7,4,63.6,Matches
Wesley,br BRA,"FW,MF",17.0,9.6,2,0,0,10,37,1,29,6,11,1,0,0,45,2,9,18.2,Matches
Budiga Roni,br BRA,MF,23.0,7.5,2,0,0,15,3,0,1,6,13,0,0,0,42,3,4,42.9,Matches
Matías Rojas,py PAR,"MF,FW",27.0,7.0,1,0,0,8,4,0,35,1,4,0,0,0,39,5,4,55.6,Matches
Pedrinho Santos,br BRA,"FW,MF",16.0,6.9,1,0,0,12,22,2,16,5,4,1,0,0,25,5,12,29.4,Matches
Biro,br BRA,"FW,MF",18.0,6.4,2,0,0,14,19,2,13,3,4,0,0,0,37,4,8,33.3,Matches
Matheus Araújo,br BRA,"MF,FW",20.0,6.5,0,0,0,11,8,1,13,9,7,0,0,0,44,6,9,40.0,Matches
Felipe Augusto,br BRA,"FW,MF",18.0,3.6,0,0,0,8,10,1,1,1,2,0,0,0,11,12,15,44.4,Matches
Víctor Cantillo,co COL,MF,29.0,3.0,0,0,0,4,5,0,0,6,6,0,0,0,18,5,3,62.5,Matches
Du Queiroz,br BRA,"MF,DF",23.0,2.0,1,0,0,6,1,0,0,3,1,0,0,0,18,1,1,50.0,Matches
Léo Mana,br BRA,DF,18.0,1.5,1,0,0,2,0,0,2,2,2,0,0,0,6,4,1,80.0,Matches
Chrystian Barletta,br BRA,"FW,MF",21.0,1.4,0,0,0,3,4,0,2,1,3,0,0,0,5,0,0,,Matches
Gustavo Mosquito,br BRA,"FW,MF",25.0,3.4,2,0,0,4,10,0,10,1,5,0,0,0,20,4,6,40.0,Matches
Paulinho,br BRA,"MF,FW",34.0,1.6,0,0,0,2,2,0,1,1,3,0,0,0,8,2,3,40.0,Matches
Giovane,br BRA,FW,19.0,1.5,0,0,0,0,0,1,0,0,0,0,0,0,4,3,3,50.0,Matches
Carlos Miguel,br BRA,GK,24.0,1.2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,100.0,Matches
Fabián Balbuena,py PAR,DF,31.0,1.0,0,0,0,1,0,0,0,3,0,0,0,0,1,4,2,66.7,Matches
Júnior Moraes,ua UKR,DF,35.0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,Matches
Squad Total,,,27.4,38.0,91,3,0,475,509,55,650,328,364,5,7,1,1788,528,472,52.8,
Opponent Total,,,27.7,38.0,98,6,4,538,458,37,880,351,352,6,7,2,1934,472,528,47.2,
