Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Cássio,br BRA,GK,35.0,36.8,1172,1036,1167,5,0,0,1172,0,0,,0,,560,3558,2470,0,0,0,1,0,375,0,Matches
Gil,br BRA,DF,35.0,32.0,1761,353,1013,706,52,41,1761,5,1,20.0,4,80.0,1040,3774,1692,4,6,0,4,2,1196,5,Matches
Yuri Alberto,br BRA,FW,21.0,30.2,913,23,64,420,437,138,913,52,23,44.2,21,40.4,530,2591,959,41,30,20,93,35,700,201,Matches
Maycon,br BRA,MF,25.0,26.7,1724,65,334,1121,278,25,1724,19,11,57.9,8,42.1,976,3722,2009,30,16,5,26,14,1230,33,Matches
Fagner,br BRA,DF,33.0,23.3,1790,98,553,860,394,18,1790,30,13,43.3,14,46.7,949,4069,2273,45,35,4,27,11,1073,83,Matches
Fábio Santos,br BRA,DF,37.0,18.6,1289,88,433,584,286,14,1284,8,4,50.0,1,12.5,682,3026,1652,24,20,1,14,2,810,59,Matches
Bruno Méndez,uy URU,DF,23.0,18.3,1162,105,498,532,139,6,1162,6,1,16.7,3,50.0,595,2291,1224,16,13,1,8,5,719,23,Matches
Matheus Bidu,br BRA,DF,23.0,18.4,1354,88,396,600,374,16,1354,36,13,36.1,17,47.2,739,4072,2382,58,31,2,24,9,773,100,Matches
Giuliano de Paula,br BRA,"MF,FW",32.0,18.1,1068,28,188,667,219,25,1068,25,12,48.0,9,36.0,600,2261,1068,15,9,4,26,12,753,34,Matches
Fausto Vera,ar ARG,MF,22.0,15.3,1004,48,299,600,115,8,1004,20,10,50.0,8,40.0,606,3071,1535,15,18,1,17,15,701,16,Matches
Renato Augusto,br BRA,MF,34.0,14.2,882,13,79,466,343,22,882,35,20,57.1,11,31.4,548,2788,1285,39,21,7,22,12,690,99,Matches
Roger Guedes,br BRA,"FW,MF",26.0,15.0,646,14,64,293,298,66,644,41,16,39.0,20,48.8,436,2811,1295,38,28,17,25,13,517,100,Matches
Lucas Veríssimo,br BRA,DF,27.0,14.5,934,145,488,412,35,23,934,4,2,50.0,2,50.0,525,2465,1328,4,2,0,6,0,634,3,Matches
Gabriel Moscardo,br BRA,MF,17.0,12.6,726,56,205,463,72,5,726,36,23,63.9,12,33.3,398,2068,1174,17,11,2,27,10,458,16,Matches
Caetano,br BRA,DF,23.0,13.4,925,137,490,418,21,6,925,2,1,50.0,1,50.0,552,2025,1170,2,5,1,3,0,679,0,Matches
Ángel Romero,py PAR,FW,30.0,13.3,686,19,104,268,320,33,686,59,14,23.7,41,69.5,433,2500,1199,40,34,4,24,13,510,131,Matches
Murillo,br BRA,DF,20.0,12.9,855,146,437,396,30,9,855,14,9,64.3,3,21.4,498,2162,1132,10,7,0,5,3,551,2,Matches
Ruan Oliveira Ferreira,br BRA,"MF,FW",22.0,9.8,474,11,72,253,153,10,474,30,17,56.7,9,30.0,251,1605,826,23,16,1,20,10,291,44,Matches
Adson,br BRA,"FW,MF",22.0,9.5,502,7,79,236,198,22,502,45,25,55.6,14,31.1,337,2592,1465,49,33,7,17,5,357,68,Matches
Wesley,br BRA,"FW,MF",17.0,9.6,450,9,52,196,216,27,450,101,45,44.6,37,36.6,337,3433,1705,61,49,14,39,17,338,97,Matches
Budiga Roni,br BRA,MF,23.0,7.5,489,21,135,315,40,2,489,3,2,66.7,1,33.3,288,1093,447,4,1,0,7,3,330,1,Matches
Matías Rojas,py PAR,"MF,FW",27.0,7.0,420,5,48,229,146,11,420,15,5,33.3,10,66.7,232,1125,468,13,5,3,12,11,306,27,Matches
Pedrinho Santos,br BRA,"FW,MF",16.0,6.9,310,3,43,129,143,20,310,40,18,45.0,18,45.0,204,1721,795,26,15,5,20,4,226,52,Matches
Biro,br BRA,"FW,MF",18.0,6.4,292,3,45,137,118,13,292,26,10,38.5,12,46.2,200,1214,617,18,13,4,10,4,212,43,Matches
Matheus Araújo,br BRA,"MF,FW",20.0,6.5,397,12,79,190,134,20,397,16,9,56.3,4,25.0,245,1168,594,18,14,6,14,7,279,43,Matches
Felipe Augusto,br BRA,"FW,MF",18.0,3.6,107,5,15,57,40,14,107,10,3,30.0,4,40.0,54,315,126,4,6,1,11,9,66,15,Matches
Víctor Cantillo,co COL,MF,29.0,3.0,195,13,76,110,11,0,195,1,0,0.0,1,100.0,130,490,206,2,2,0,2,0,134,1,Matches
Du Queiroz,br BRA,"MF,DF",23.0,2.0,98,2,34,54,13,0,98,6,2,33.3,4,66.7,56,297,150,3,2,0,1,1,56,4,Matches
Léo Mana,br BRA,DF,18.0,1.5,121,7,30,68,25,1,121,3,1,33.3,2,66.7,67,342,206,4,1,1,2,0,85,9,Matches
Chrystian Barletta,br BRA,"FW,MF",21.0,1.4,62,1,7,24,32,5,62,9,1,11.1,6,66.7,40,269,129,6,3,3,7,2,44,16,Matches
Gustavo Mosquito,br BRA,"FW,MF",25.0,3.4,172,7,33,66,75,11,172,22,5,22.7,15,68.2,107,828,395,16,12,6,11,4,123,29,Matches
