Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Vanderlei,br BRA,GK,29.0,38,38,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Leandro Almeida Silva,br BRA,DF,26.0,31,31,2714.0,30.2,3.0,0.0,3.0,3.0,0.0,0.0,7.0,1.0,0.1,0.0,0.1,0.1,0.1,Matches
Luccas Claro,br BRA,DF,22.0,31,29,2709.0,30.1,2.0,0.0,2.0,2.0,0.0,0.0,9.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches
Norberto,br BRA,DF,23.0,30,28,2464.0,27.4,1.0,4.0,5.0,1.0,0.0,0.0,8.0,0.0,0.04,0.15,0.18,0.04,0.18,Matches
Robinho,br BRA,MF,26.0,30,28,2356.0,26.2,3.0,3.0,6.0,3.0,0.0,0.0,7.0,1.0,0.11,0.11,0.23,0.11,0.23,Matches
Zé Eduardo,br BRA,FW,26.0,32,28,2331.0,25.9,5.0,3.0,8.0,5.0,0.0,0.0,13.0,0.0,0.19,0.12,0.31,0.19,0.31,Matches
Carlinhos,br BRA,DF,27.0,28,27,2430.0,27.0,1.0,4.0,5.0,1.0,0.0,0.0,8.0,0.0,0.04,0.15,0.19,0.04,0.19,Matches
Alex,br BRA,MF,36.0,26,26,2195.0,24.4,6.0,7.0,13.0,5.0,1.0,1.0,5.0,0.0,0.25,0.29,0.53,0.21,0.49,Matches
Welinton,br BRA,DF,24.0,20,20,1744.0,19.4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Diederrick Joel,cm CMR,FW,20.0,20,17,1582.0,17.6,8.0,1.0,9.0,8.0,0.0,0.0,2.0,0.0,0.46,0.06,0.51,0.46,0.51,Matches
Hélder,br BRA,MF,29.0,21,17,1513.0,16.8,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,0.12,0.06,0.18,0.12,0.18,Matches
Baraka,br BRA,MF,27.0,16,16,1350.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Gil,br BRA,MF,26.0,15,12,929.0,10.3,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.1,0.1,0.0,0.1,Matches
Rosinei,br BRA,MF,30.0,12,12,920.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Dener Assunção Braz,br BRA,DF,22.0,12,11,990.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches
Dudu Figueiredo,br BRA,MF,22.0,24,11,977.0,10.9,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.28,0.0,0.28,0.28,0.28,Matches
Chico,br BRA,"DF,MF",26.0,9,9,763.0,8.5,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.12,0.0,0.12,0.12,0.12,Matches
Germano,br BRA,MF,32.0,12,9,762.0,8.5,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.12,0.0,0.12,0.12,0.12,Matches
Reginaldo,br BRA,"DF,MF",20.0,8,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Élber,br BRA,"FW,MF",21.0,17,6,711.0,7.9,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,Matches
Alejandro Martinuccio,ar ARG,"FW,MF",26.0,13,5,514.0,5.7,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,0.35,0.18,0.53,0.35,0.53,Matches
Victor Ferraz,br BRA,"DF,MF",26.0,5,5,415.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Keirrison,br BRA,FW,25.0,16,4,562.0,6.2,3.0,1.0,4.0,2.0,1.0,1.0,1.0,0.0,0.48,0.16,0.64,0.32,0.48,Matches
Jajá,br BRA,FW,27.0,7,4,487.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Sérgio Manoel,br BRA,MF,24.0,10,4,444.0,4.9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2,0.2,0.0,0.2,Matches
Roni,br BRA,MF,23.0,6,4,315.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Júlio César,br BRA,"FW,MF",33.0,11,3,323.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
