Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Unnamed: 16_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,Matches
João Paulo,br BRA,MF,29.0,30.0,1,,,,,,,,,0,0,Matches
Leandro Silva,br BRA,DF,28.0,26.6,0,,,,,,,,,0,0,Matches
Wilson,br BRA,GK,31.0,27.0,0,,,,,,,,,0,0,Matches
Lúcio Flávio,br BRA,MF,35.0,19.8,0,,,,,,,,,0,0,Matches
Carlinhos,br BRA,DF,28.0,19.5,0,,,,,,,,,0,0,Matches
Henrique Almeida,br BRA,FW,23.0,18.6,12,,,,,,,,,1,1,Matches
Juninho,br BRA,DF,19.0,18.7,0,,,,,,,,,0,0,Matches
Rafhael Lucas,br BRA,FW,22.0,16.5,2,,,,,,,,,0,0,Matches
Walisson Maia,br BRA,DF,23.0,15.6,0,,,,,,,,,0,0,Matches
Thiago Galhardo,br BRA,"FW,MF",25.0,16.7,1,,,,,,,,,0,0,Matches
Ruy,br BRA,MF,26.0,15.5,1,,,,,,,,,0,0,Matches
Luccas Claro,br BRA,DF,23.0,14.3,0,,,,,,,,,0,0,Matches
Alan Santos,br BRA,"DF,MF",23.0,11.3,0,,,,,,,,,0,0,Matches
Negueba,br BRA,"FW,MF",22.0,14.5,2,,,,,,,,,0,0,Matches
Kléber,br BRA,FW,31.0,11.6,1,,,,,,,,,1,2,Matches
Luis Cáceres,py PAR,MF,26.0,8.4,1,,,,,,,,,0,0,Matches
Norberto,br BRA,DF,24.0,10.4,0,,,,,,,,,0,0,Matches
Juan,br BRA,"DF,MF",32.0,10.3,3,,,,,,,,,0,0,Matches
Esquerdinha,br BRA,MF,25.0,10.3,0,,,,,,,,,0,0,Matches
Bruno Brigido,br BRA,GK,23.0,10.0,0,,,,,,,,,0,0,Matches
Ivan,br BRA,DF,22.0,9.5,0,,,,,,,,,0,0,Matches
Henrique,br BRA,DF,20.0,8.6,0,,,,,,,,,0,0,Matches
Marcos Aurélio,br BRA,"FW,MF",30.0,9.6,1,,,,,,,,,0,0,Matches
Hélder,br BRA,MF,30.0,8.2,0,,,,,,,,,0,0,Matches
Rafael Marques,br BRA,DF,31.0,7.3,0,,,,,,,,,0,0,Matches
Leandro Almeida Silva,br BRA,DF,27.0,6.0,0,,,,,,,,,0,0,Matches
Welinton,br BRA,DF,25.0,6.0,0,,,,,,,,,0,0,Matches
Wellington Paulista,br BRA,FW,30.0,5.2,1,,,,,,,,,0,0,Matches
Rodrigo Ramos,br BRA,DF,19.0,4.8,0,,,,,,,,,0,0,Matches
Thiago Lopes,br BRA,MF,18.0,3.8,0,,,,,,,,,0,0,Matches
Misael Bueno,br BRA,MF,20.0,3.6,0,,,,,,,,,0,0,Matches
Rosinei,br BRA,MF,31.0,2.6,0,,,,,,,,,0,0,Matches
Fabrício Baiano,br BRA,"DF,MF",22.0,2.0,0,,,,,,,,,0,0,Matches
Evandro da Silva,br BRA,FW,18.0,4.3,3,,,,,,,,,0,0,Matches
Guilherme Parede,br BRA,"FW,MF",19.0,2.6,0,,,,,,,,,0,0,Matches
Paulinho Moccelin,br BRA,"FW,MF",20.0,3.3,1,,,,,,,,,0,0,Matches
Vaná,br BRA,GK,23.0,1.0,0,,,,,,,,,0,0,Matches
Pedro Ken,br BRA,MF,27.0,0.9,0,,,,,,,,,0,0,Matches
Keirrison,br BRA,FW,26.0,0.7,0,,,,,,,,,0,0,Matches
Rodolfo,br BRA,MF,21.0,0.8,0,,,,,,,,,0,0,Matches
Ícaro,br BRA,DF,21.0,0.6,0,,,,,,,,,0,0,Matches
Giva,br BRA,FW,22.0,0.2,0,,,,,,,,,0,0,Matches
Wallyson,br BRA,"FW,MF",26.0,0.1,0,,,,,,,,,0,0,Matches
Mateus Oliveira,br BRA,FW,19.0,0.1,0,,,,,,,,,0,0,Matches
Squad Total,,,26.5,38.0,30,,,,,,,,,2,3,
Opponent Total,,,26.2,38.0,40,,,,,,,,,3,3,
