Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Unnamed: 17_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Wilson,br BRA,GK,33.0,38.0,2,0,0,1,9,0,0,1,1,0,0,0,Matches
Rildo,br BRA,"FW,MF",27.0,30.6,6,0,0,43,116,9,64,27,32,5,1,0,Matches
Henrique Almeida,br BRA,FW,25.0,26.1,6,0,0,41,58,21,8,6,16,0,0,0,Matches
Alan Santos,br BRA,"DF,MF",25.0,24.9,4,0,0,49,13,2,5,59,40,0,1,0,Matches
Jonas,br BRA,MF,25.0,26.2,9,0,0,70,24,2,5,69,84,0,0,0,Matches
Matheus Galdezani,br BRA,MF,24.0,24.9,8,0,0,54,47,2,31,48,30,1,0,2,Matches
Werley,br BRA,DF,28.0,24.8,3,1,0,15,11,1,0,50,23,0,1,0,Matches
Leonardo Morais,br BRA,DF,25.0,20.6,9,0,0,39,37,0,76,52,43,0,0,0,Matches
William Matheus,br BRA,DF,26.0,21.5,7,1,0,30,46,2,69,23,26,0,1,0,Matches
Thiago Carleto,br BRA,"DF,MF",27.0,19.4,4,0,0,20,13,1,188,48,32,0,0,0,Matches
Márcio,br BRA,DF,24.0,20.6,5,1,0,29,8,1,0,48,20,0,2,0,Matches
Tiago Real,br BRA,MF,28.0,19.5,4,0,0,31,24,2,89,18,15,0,0,0,Matches
Dodô,br BRA,DF,18.0,15.7,5,0,0,25,13,0,55,37,25,0,0,0,Matches
Kléber,br BRA,FW,33.0,13.5,3,1,0,36,44,12,13,2,6,0,0,0,Matches
Cléber,br BRA,DF,26.0,13.2,4,0,0,14,3,1,0,27,15,0,1,1,Matches
Walisson Maia,br BRA,DF,25.0,8.8,0,0,0,14,1,1,1,17,12,0,0,1,Matches
Alecsandro,br BRA,FW,35.0,9.2,6,0,0,25,19,4,3,6,10,1,0,0,Matches
Anderson,br BRA,MF,28.0,6.0,2,1,0,9,11,1,8,6,5,0,0,0,Matches
Luizão,br BRA,DF,26.0,6.0,5,0,0,8,4,1,0,15,5,0,1,0,Matches
Tomas Bastos,br BRA,MF,24.0,6.5,2,0,0,16,9,1,60,4,8,0,0,0,Matches
Neto Berola,br BRA,"FW,MF",29.0,6.2,2,0,0,10,15,5,5,3,6,1,0,0,Matches
Yan Sasse,br BRA,MF,19.0,4.8,3,0,0,7,6,0,3,4,4,0,0,0,Matches
Iago Dias,br BRA,"FW,MF",23.0,5.3,2,0,0,11,6,3,23,5,6,0,1,0,Matches
Rafael Longuine,br BRA,"FW,MF",26.0,3.9,0,0,0,1,2,1,17,4,0,0,0,0,Matches
Getterson,br BRA,FW,25.0,4.2,2,0,0,11,7,1,15,2,6,0,0,0,Matches
Rodrigo Ramos,br BRA,DF,21.0,2.6,0,0,0,6,1,0,11,3,6,0,0,0,Matches
Edinho Campos,br BRA,MF,34.0,2.8,1,0,0,7,3,0,0,4,1,0,0,0,Matches
João Paulo,br BRA,MF,31.0,2.6,0,0,0,4,3,0,5,4,0,0,0,0,Matches
Thalisson Kelven,br BRA,DF,18.0,1.6,0,0,0,3,1,2,0,2,0,0,0,0,Matches
Keirrison,br BRA,FW,28.0,1.7,0,0,0,5,1,0,1,0,2,0,0,0,Matches
Daniel,br BRA,MF,23.0,1.3,0,0,0,0,2,0,7,2,2,0,0,0,Matches
Vitor Carvalho,br BRA,MF,19.0,0.7,0,0,0,0,0,0,0,1,2,0,0,0,Matches
Yilmar Filigrana,co COL,FW,26.0,2.1,2,0,0,6,1,0,4,1,3,0,0,0,Matches
Romércio,br BRA,DF,19.0,1.0,0,0,0,1,0,0,0,5,1,0,0,0,Matches
Alexander Baumjohann,de GER,MF,30.0,0.9,0,0,0,3,2,1,3,0,1,0,0,0,Matches
Squad Total,,,27.0,38.0,107,5,0,644,560,77,769,603,488,8,9,4,
Opponent Total,,,27.0,38.0,94,3,0,601,606,78,864,550,495,7,10,1,
