Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Wilson,br BRA,GK,36.0,34.0,1101,689,409,100,1,1,0,0,0,0,0,0,792,3,1,Matches
José Sabino,br BRA,DF,23.0,30.3,1514,1449,59,56,1,19,4,3,0,0,0,0,1257,6,11,Matches
Robson,br BRA,"FW,MF",28.0,27.4,637,600,32,6,0,7,34,9,0,0,0,0,440,5,27,Matches
William Matheus,br BRA,DF,29.0,24.0,1141,878,262,51,0,7,63,209,2,0,2,0,885,1,37,Matches
Hugo Moura,br BRA,MF,22.0,24.0,1132,1065,63,55,2,18,8,8,0,0,0,0,1002,4,16,Matches
Matheus Sales,br BRA,"MF,DF",24.0,18.9,737,679,57,14,0,1,4,43,0,0,0,0,637,1,15,Matches
Matheus Galdezani,br BRA,MF,27.0,17.0,810,736,71,46,0,7,43,4,21,13,8,0,622,3,23,Matches
Nathan Silva,br BRA,"MF,DF",22.0,16.4,869,832,37,34,0,6,2,3,0,0,0,0,766,0,2,Matches
Jonathan,br BRA,DF,27.0,17.4,729,607,122,4,0,6,48,114,4,1,3,0,581,0,18,Matches
Neílton,br BRA,"FW,MF",25.0,16.2,581,536,40,24,1,9,34,6,10,1,8,0,438,5,15,Matches
Matheus Bueno,br BRA,"MF,FW",21.0,14.6,744,731,12,11,2,7,5,1,0,0,0,0,642,1,10,Matches
Rhodolfo,br BRA,DF,33.0,14.9,724,685,39,39,0,8,2,0,0,0,0,0,595,0,4,Matches
Giovanni Augusto,br BRA,"MF,FW",30.0,14.2,678,578,94,31,2,9,84,7,49,27,20,0,509,6,25,Matches
Natanael,br BRA,DF,18.0,11.6,498,398,100,10,0,0,35,89,1,0,1,0,411,0,11,Matches
Rodolfo Filemon,br BRA,DF,25.0,11.2,646,609,36,36,0,5,0,0,0,0,0,0,547,1,4,Matches
Ricardo Oliveira,br BRA,FW,39.0,10.7,149,123,25,1,0,0,5,1,0,0,0,0,109,1,4,Matches
Guilherme Biro,br BRA,DF,19.0,7.2,321,269,52,9,0,0,14,43,0,0,0,0,259,0,7,Matches
Sassá,br BRA,FW,26.0,7.9,134,116,16,0,1,0,4,1,0,0,0,0,102,2,3,Matches
Rafinha,br BRA,"FW,MF",36.0,7.5,291,270,18,5,0,4,24,6,7,1,5,0,211,3,13,Matches
Mattheus Oliveira,br BRA,"MF,DF",25.0,7.4,372,312,58,14,0,5,24,31,12,3,7,0,302,2,4,Matches
Mailton dos Santos,br BRA,"DF,MF",21.0,6.7,396,298,96,12,0,1,44,76,8,0,8,0,286,2,6,Matches
Nathan Otávio Ribeiro,br BRA,DF,29.0,6.5,293,270,23,21,0,2,0,2,0,0,0,0,264,0,2,Matches
Yan Sasse,br BRA,"MF,FW",22.0,6.7,203,189,14,3,0,0,6,5,5,3,2,0,154,0,15,Matches
Martín Sarrafiore,ar ARG,"MF,FW",22.0,6.1,219,206,12,3,0,3,19,0,8,3,4,0,154,1,5,Matches
Luiz Henrique,br BRA,"MF,FW",20.0,5.8,240,222,18,1,1,0,25,6,11,1,8,0,178,0,7,Matches
Igor Jesus,br BRA,FW,18.0,5.6,151,144,5,1,1,1,9,0,0,0,0,0,107,2,9,Matches
Henrique Vermudt,br BRA,DF,20.0,5.5,285,275,9,8,0,2,0,1,0,0,0,0,227,1,2,Matches
Gabriel,br BRA,"FW,MF",30.0,5.1,170,161,9,2,0,3,11,1,3,2,1,0,144,0,2,Matches
Arthur,br BRA,GK,23.0,4.0,129,77,52,10,0,0,0,0,0,0,0,0,105,0,0,Matches
Patrick,br BRA,DF,29.0,3.5,207,149,56,13,0,4,16,36,7,3,4,0,157,2,6,Matches
Ezequiel Cerutti,ar ARG,"FW,DF",28.0,3.4,114,109,5,0,0,1,17,5,0,0,0,0,76,0,6,Matches
Osman Júnior,br BRA,"FW,DF",27.0,3.2,123,103,18,4,0,3,8,10,1,0,1,0,93,2,2,Matches
Rodrigo Muniz,br BRA,FW,18.0,2.7,42,32,10,0,1,0,0,1,0,0,0,0,26,0,3,Matches
Nathan Fogaça,br BRA,"FW,MF",20.0,3.9,90,83,7,1,0,1,9,1,0,0,0,0,65,0,2,Matches
Pablo Thomaz,br BRA,FW,20.0,3.2,55,53,2,0,0,0,6,0,0,0,0,0,32,0,5,Matches
Ramón Martínez,py PAR,MF,24.0,2.4,123,117,5,5,0,0,0,0,0,0,0,0,99,1,3,Matches
Ruy,br BRA,MF,31.0,1.5,68,62,5,2,0,2,4,1,2,1,1,0,50,1,2,Matches
Renê Júnior,br BRA,MF,30.0,1.2,40,36,4,4,0,0,1,0,0,0,0,0,33,0,1,Matches
Márcio Silva,br BRA,DF,18.0,1.0,35,34,1,1,0,0,0,0,0,0,0,0,31,0,1,Matches
Angelo,br BRA,DF,18.0,0.9,46,37,9,0,0,0,8,9,0,0,0,0,31,0,1,Matches
Biel Fonseca,br BRA,MF,17.0,0.8,27,26,1,0,0,0,0,1,0,0,0,0,22,0,1,Matches
Brayan Lucumi,co COL,FW,25.0,0.9,44,39,5,0,0,0,3,5,0,0,0,0,35,0,3,Matches
Thiago Lopes,br BRA,FW,23.0,0.8,38,35,3,0,0,0,4,2,1,0,1,0,30,0,0,Matches
Wellissol,br BRA,"FW,MF",21.0,0.8,19,19,0,0,0,0,1,0,0,0,0,0,15,0,2,Matches
Giovanni Piccolomo,br BRA,MF,25.0,0.6,44,39,5,2,0,2,2,1,2,1,0,0,32,0,0,Matches
Cristiano,br BRA,MF,18.0,0.4,7,6,0,0,0,0,0,0,0,0,0,0,4,1,0,Matches
Wanderly,br BRA,FW,31.0,0.2,2,1,1,0,0,0,0,0,0,0,0,0,2,0,0,Matches
Squad Total,,,26.7,38.0,17018,14984,1977,639,13,144,630,741,154,60,84,0,13559,57,336,
Opponent Total,,,26.6,38.0,19623,17582,2004,607,15,150,884,785,249,91,127,5,16107,37,300,
