Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Wilson,br BRA,GK,36.0,34,34,3059.0,34.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.8,0.0,0.1,0.1,0.0,1.0,1.0,0.03,0.0,0.03,0.0,0.0,0.02,0.0,0.03,0.0,0.0,Matches
José Sabino,br BRA,DF,23.0,31,31,2724.0,30.3,4.0,0.0,4.0,1.0,3.0,4.0,2.0,0.0,3.7,0.6,0.5,1.1,30.0,79.0,7.0,0.13,0.0,0.13,0.03,0.03,0.12,0.02,0.14,0.02,0.04,Matches
Robson,br BRA,"FW,MF",28.0,32,29,2469.0,27.4,8.0,1.0,9.0,7.0,1.0,1.0,7.0,1.0,9.8,9.0,2.3,11.3,33.0,54.0,200.0,0.29,0.04,0.33,0.26,0.29,0.36,0.08,0.44,0.33,0.41,Matches
William Matheus,br BRA,DF,29.0,24,24,2160.0,24.0,1.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,1.1,1.1,3.4,4.5,60.0,112.0,124.0,0.04,0.12,0.17,0.04,0.17,0.05,0.14,0.19,0.05,0.19,Matches
Hugo Moura,br BRA,MF,22.0,28,24,2156.0,24.0,1.0,3.0,4.0,1.0,0.0,0.0,5.0,0.0,0.7,0.7,1.3,2.0,31.0,114.0,15.0,0.04,0.13,0.17,0.04,0.17,0.03,0.06,0.09,0.03,0.09,Matches
Matheus Sales,br BRA,"MF,DF",24.0,21,20,1699.0,18.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.4,0.4,0.1,0.5,15.0,63.0,19.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches
Matheus Galdezani,br BRA,MF,27.0,24,19,1534.0,17.0,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,2.5,2.5,0.6,3.1,16.0,75.0,51.0,0.06,0.06,0.12,0.06,0.12,0.14,0.04,0.18,0.14,0.18,Matches
Nathan Silva,br BRA,"MF,DF",22.0,19,17,1476.0,16.4,1.0,1.0,2.0,1.0,0.0,0.0,8.0,0.0,0.9,0.9,0.6,1.5,7.0,55.0,4.0,0.06,0.06,0.12,0.06,0.12,0.06,0.04,0.09,0.06,0.09,Matches
Jonathan,br BRA,DF,27.0,24,16,1566.0,17.4,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.3,0.3,0.9,1.2,27.0,40.0,59.0,0.06,0.0,0.06,0.06,0.06,0.02,0.05,0.07,0.02,0.07,Matches
Neílton,br BRA,"FW,MF",25.0,24,16,1458.0,16.2,1.0,4.0,5.0,1.0,0.0,0.0,4.0,0.0,2.2,2.2,1.9,4.2,49.0,71.0,73.0,0.06,0.25,0.31,0.06,0.31,0.14,0.12,0.26,0.14,0.26,Matches
Matheus Bueno,br BRA,"MF,FW",21.0,27,16,1316.0,14.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.9,1.4,14.0,79.0,12.0,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.09,0.03,0.09,Matches
Rhodolfo,br BRA,DF,33.0,17,15,1345.0,14.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.1,1.1,0.1,1.2,9.0,34.0,5.0,0.0,0.0,0.0,0.0,0.0,0.07,0.01,0.08,0.07,0.08,Matches
Giovanni Augusto,br BRA,"MF,FW",30.0,20,15,1275.0,14.2,4.0,5.0,9.0,4.0,0.0,0.0,2.0,0.0,3.2,3.2,6.0,9.2,61.0,90.0,99.0,0.28,0.35,0.64,0.28,0.64,0.22,0.42,0.65,0.22,0.65,Matches
