Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Luciano Castán,br BRA,DF,32.0,35.0,31,17,22,7,2,19,31,61.3,12,53,43,10,35,66,144,4,Matches
Alef Manga,br BRA,"FW,MF",27.0,27.0,42,23,14,17,11,16,33,48.5,17,39,0,39,15,57,16,0,Matches
Alex Muralha,br BRA,GK,32.0,19.0,1,0,1,0,0,0,1,0.0,1,0,0,0,0,1,10,2,Matches
Willian Farias,br BRA,MF,32.0,17.7,31,21,14,15,2,11,35,31.4,24,16,4,12,19,50,24,0,Matches
Fabrício,br BRA,"FW,MF",24.0,16.7,29,19,12,16,1,11,24,45.8,13,22,1,21,7,36,13,0,Matches
Henrique,br BRA,DF,35.0,17.9,19,12,16,3,0,13,18,72.2,5,30,25,5,21,40,71,0,Matches
Léo Gamalho,br BRA,FW,36.0,18.4,12,6,3,5,4,4,11,36.4,7,4,2,2,0,12,12,0,Matches
Igor Paixão,br BRA,"FW,MF",21.0,17.2,13,9,4,7,2,4,15,26.7,11,9,2,7,15,28,11,0,Matches
Bruno Gomes,br BRA,MF,20.0,16.6,40,21,21,15,4,20,36,55.6,16,20,4,16,23,63,7,0,Matches
Matheus Alexandre,br BRA,DF,22.0,15.6,35,22,25,9,1,23,35,65.7,12,16,8,8,30,65,36,0,Matches
Natanael,br BRA,DF,20.0,16.0,42,27,27,11,4,21,36,58.3,15,15,6,9,22,64,43,0,Matches
Jesús Trindade,uy URU,MF,28.0,14.6,34,17,17,15,2,16,34,47.1,18,15,4,11,10,44,12,0,Matches
Egídio Pereira Júnior,br BRA,"DF,MF",35.0,14.0,33,13,19,11,3,15,47,31.9,32,16,2,14,20,53,22,2,Matches
Jhon Chancellor,ve VEN,DF,30.0,13.0,14,7,12,2,0,7,13,53.8,6,10,9,1,9,23,56,0,Matches
Gabriel,br BRA,GK,29.0,13.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,7,0,Matches
Rafael Santos,br BRA,DF,23.0,12.7,24,9,13,8,3,11,17,64.7,6,5,3,2,7,31,36,0,Matches
Guillermo de los Santos,uy URU,DF,30.0,10.5,14,12,11,3,0,9,12,75.0,3,17,10,7,17,31,53,0,Matches
Adrián Martínez,ar ARG,"FW,MF",29.0,11.1,7,5,2,2,3,2,11,18.2,9,6,0,6,4,11,3,0,Matches
Guilherme Biro,br BRA,DF,21.0,8.2,15,12,11,3,1,8,12,66.7,4,5,1,4,14,29,19,0,Matches
Bernardo Lemes,br BRA,"MF,FW",20.0,10.5,33,15,13,18,2,20,32,62.5,12,10,4,6,16,49,17,0,Matches
Matías Galarza,py PAR,MF,19.0,6.7,24,9,5,14,5,11,30,36.7,19,11,3,8,13,37,4,0,Matches
Robinho,br BRA,MF,34.0,9.8,34,17,15,13,6,18,36,50.0,18,3,0,3,6,40,2,0,Matches
Régis,br BRA,MF,29.0,8.5,18,10,6,8,4,8,20,40.0,12,10,0,10,1,19,4,0,Matches
Val Soares,br BRA,MF,24.0,6.9,20,12,15,4,1,13,23,56.5,10,8,3,5,9,29,11,0,Matches
Thonny Anderson,br BRA,MF,24.0,8.1,25,17,6,14,5,12,29,41.4,17,9,4,5,5,30,9,0,Matches
Warley,br BRA,"FW,MF",22.0,6.2,5,4,3,2,0,3,8,37.5,5,3,1,2,9,14,12,0,Matches
Gabriel Boschilia,br BRA,MF,25.0,5.3,6,3,3,1,2,3,11,27.3,8,3,2,1,6,12,2,0,Matches
Rafael William,br BRA,GK,20.0,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,1,Matches
Andrey Ramos do Nascimento,br BRA,MF,23.0,5.4,16,11,6,9,1,9,24,37.5,15,6,0,6,7,23,4,0,Matches
Diego Porfirio,br BRA,DF,22.0,5.0,12,6,4,6,2,7,13,53.8,6,3,1,2,5,17,15,0,Matches
Nathan Mendes,br BRA,DF,19.0,5.0,8,6,4,3,1,6,9,66.7,3,2,2,0,6,14,17,0,Matches
Matheus Cadorini,br BRA,FW,19.0,3.5,3,2,2,1,0,0,1,0.0,1,0,0,0,1,4,3,0,Matches
Clayton,br BRA,"FW,MF",23.0,3.6,3,1,1,1,1,0,3,0.0,3,2,0,2,0,3,5,0,Matches
José Hugo,br BRA,"FW,MF",22.0,4.4,8,5,6,1,1,5,8,62.5,3,6,0,6,1,9,2,0,Matches
Márcio Silva,br BRA,DF,20.0,2.0,1,1,0,1,0,0,1,0.0,1,7,4,3,1,2,12,0,Matches
Juan Díaz,co COL,MF,20.0,1.5,7,6,4,2,1,1,1,100.0,0,3,0,3,1,8,4,0,Matches
Hernán Pérez,py PAR,FW,32.0,1.1,2,0,1,1,0,2,6,33.3,4,1,1,0,0,2,0,0,Matches
Neílton,br BRA,"FW,DF",27.0,0.9,1,1,1,0,0,1,1,100.0,0,3,0,3,1,2,0,0,Matches
Biel Fonseca,br BRA,"FW,MF",19.0,1.1,7,3,5,1,1,3,5,60.0,2,0,0,0,3,10,1,0,Matches
João Vitor,br BRA,MF,21.0,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Pablo Javier García,uy URU,FW,22.0,0.1,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
Squad Total,,,27.5,38.0,670,382,345,249,76,333,684,48.7,351,388,149,239,359,1029,722,9,
Opponent Total,,,27.2,38.0,595,335,279,245,71,279,616,45.3,337,385,149,236,322,917,769,6,
