Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Luciano Castán,br BRA,DF,32.0,35,3149.0,90.0,92.1,35.0,35,90.0,34,0,,0,1.11,35.0,52.0,-17.0,-0.49,0.84,38.2,49.0,-10.8,-0.31,-0.17,Matches
Alef Manga,br BRA,"FW,MF",27.0,35,2426.0,69.0,70.9,27.0,30,75.0,8,5,37.0,0,1.11,28.0,39.0,-11.0,-0.41,0.5,27.8,33.1,-5.4,-0.2,0.34,Matches
Alex Muralha,br BRA,GK,32.0,19,1710.0,90.0,50.0,19.0,19,90.0,19,0,,16,1.11,20.0,27.0,-7.0,-0.37,0.37,23.5,25.6,-2.1,-0.11,0.37,Matches
Willian Farias,br BRA,MF,32.0,21,1597.0,76.0,46.7,17.7,19,83.0,14,2,9.0,2,1.14,17.0,26.0,-9.0,-0.51,0.09,24.5,26.3,-1.8,-0.1,0.36,Matches
Fabrício,br BRA,"FW,MF",24.0,28,1500.0,54.0,43.9,16.7,19,68.0,2,9,24.0,2,1.36,19.0,22.0,-3.0,-0.18,0.66,17.9,20.6,-2.7,-0.16,0.24,Matches
Henrique,br BRA,DF,35.0,18,1615.0,90.0,47.2,17.9,18,90.0,17,0,,11,1.0,21.0,28.0,-7.0,-0.39,0.31,23.7,25.7,-2.1,-0.12,0.34,Matches
Léo Gamalho,br BRA,FW,36.0,28,1658.0,59.0,48.5,18.4,17,80.0,7,11,27.0,2,1.18,19.0,29.0,-10.0,-0.54,0.02,22.1,28.6,-6.5,-0.35,-0.11,Matches
Igor Paixão,br BRA,"FW,MF",21.0,18,1552.0,86.0,45.4,17.2,17,89.0,15,1,45.0,0,0.89,19.0,26.0,-7.0,-0.41,0.27,23.8,24.7,-0.9,-0.05,0.45,Matches
Bruno Gomes,br BRA,MF,20.0,18,1497.0,83.0,43.8,16.6,16,87.0,12,2,55.0,0,1.22,16.0,23.0,-7.0,-0.42,0.23,15.4,20.6,-5.2,-0.31,-0.03,Matches
