Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2014-04-20,18:30,Série A,Matchweek 1,Sun,Home,L,1,2,Palmeiras,,11768.0,,4-1-2-1-2◆,4-2-3-1,André Luiz de Freitas Castro,Match Report,
2014-04-27,18:30,Série A,Matchweek 2,Sun,Away,L,0,1,Goiás,,2090.0,,4-4-2,4-2-3-1,Renán Roberto de Souza,Match Report,
2014-05-04,16:00,Série A,Matchweek 3,Sun,Home,W,1,0,Figueirense,,10216.0,,4-1-2-1-2◆,4-4-1-1,Braulio da Silva Machado,Match Report,
2014-05-10,21:00,Série A,Matchweek 4,Sat,Away,L,0,6,Botafogo (RJ),,4992.0,,4-2-3-1,4-2-3-1,Claudio Francisco Lima e Silva,Match Report,
2014-05-18,18:30,Série A,Matchweek 5,Sun,Home,D,0,0,Internacional,,13047.0,,4-1-2-1-2◆,4-2-3-1,Raphael Claus,Match Report,
2014-05-21,21:00,Série A,Matchweek 6,Wed,Home,W,1,0,Chapecoense,,7336.0,,4-1-2-1-2◆,4-3-3,Heber Roberto Lopes,Match Report,
2014-05-25,18:30,Série A,Matchweek 7,Sun,Away,D,0,0,Atlético Mineiro,,15668.0,,4-2-3-1,4-2-3-1,Wagner do Nascimento Magalhaes,Match Report,
2014-05-28,19:30,Série A,Matchweek 8,Wed,Home,W,1,0,Coritiba,,8415.0,,4-1-2-1-2◆,4-2-3-1,Marcelo Aparecido Ribeiro De Souza,Match Report,
2014-06-01,18:30,Série A,Matchweek 9,Sun,Away,L,0,2,Santos,,5136.0,,4-2-3-1,4-2-3-1,Paulo Henrique Schleinch Vollkopf,Match Report,
2014-07-16,22:00,Série A,Matchweek 10,Wed,Home,W,3,2,Fluminense,,8829.0,,4-1-2-1-2◆,4-2-3-1,Rodrigo Batista Raposo,Match Report,
2014-07-20,18:30,Série A,Matchweek 11,Sun,Away,L,0,2,Ath Paranaense,,,,4-2-3-1,4-3-3,Claudio Francisco Lima e Silva,Match Report,
2014-07-26,18:30,Série A,Matchweek 12,Sat,Home,L,1,3,Vitória,,7355.0,,4-2-3-1,4-2-3-1,Marcelo de Lima Henrique,Match Report,
2014-08-02,18:30,Série A,Matchweek 13,Sat,Away,D,1,1,São Paulo,,46512.0,,4-2-3-1,4-1-2-1-2,Ricardo Marques Ribeiro,Match Report,
2014-08-09,18:30,Série A,Matchweek 14,Sat,Home,D,0,0,Cruzeiro,,9521.0,,4-2-3-1,4-2-3-1,Jailson Macêdo Freitas,Match Report,
2014-08-17,16:00,Série A,Matchweek 15,Sun,Away,L,0,2,Grêmio,,27112.0,,4-2-3-1,4-3-2-1,Wilton Sampaio,Match Report,
2014-08-20,21:00,Série A,Matchweek 16,Wed,Away,D,0,0,Bahia,,9926.0,,4-2-3-1,4-3-2-1,Pablo Dos Santos Alves,Match Report,
2014-08-24,16:00,Série A,Matchweek 17,Sun,Home,L,0,2,Flamengo,,14516.0,,4-2-3-1,4-2-3-1,Leandro Pedro Vuaden,Match Report,
2014-08-28,20:00,Sudamericana,Second stage,Thu,Home,W,2,1,br São Paulo,,,,,,Julio Bascuñán,Match Report,Leg 1 of 2
2014-08-31,16:00,Série A,Matchweek 18,Sun,Away,L,0,2,Sport Recife,,11968.0,,4-2-3-1,4-2-3-1,Luiz Flávio de Oliveira,Match Report,
2014-09-04,20:00,Sudamericana,Second stage,Thu,Away,L,0,2,br São Paulo,,,,,,Ricardo Marques Ribeiro,Match Report,Leg 2 of 2; São Paulo won
2014-09-07,16:00,Série A,Matchweek 19,Sun,Home,D,0,0,Corinthians,,12269.0,,4-2-3-1,4-2-3-1,Igor Junior Benevenuto,Match Report,
2014-09-10,19:30,Série A,Matchweek 20,Wed,Away,L,0,1,Palmeiras,,17173.0,,4-2-3-1,4-2-2-2,Cleisson Veloso Pereira,Match Report,
2014-09-14,18:30,Série A,Matchweek 21,Sun,Home,W,1,0,Goiás,,7915.0,,4-2-3-1,4-2-3-1,Alinor Silva da Paixao,Match Report,
2014-09-17,21:00,Série A,Matchweek 22,Wed,Away,D,1,1,Figueirense,,7440.0,,4-2-3-1,4-1-2-1-2,Paulo Henrique De Godoy Bezerra,Match Report,
2014-09-20,21:00,Série A,Matchweek 23,Sat,Home,D,1,1,Botafogo (RJ),,8548.0,,4-3-3,4-1-2-1-2,Wilton Sampaio,Match Report,
2014-09-24,19:30,Série A,Matchweek 24,Wed,Away,L,0,3,Internacional,,15701.0,,4-1-2-1-2◆,4-2-3-1,Marcelo de Lima Henrique,Match Report,
2014-09-27,18:30,Série A,Matchweek 25,Sat,Away,D,1,1,Chapecoense,,5364.0,,4-2-3-1,4-2-3-1,Braulio da Silva Machado,Match Report,
2014-10-04,18:30,Série A,Matchweek 26,Sat,Home,W,3,1,Atlético Mineiro,,8309.0,,4-2-3-1,4-2-3-1,Francisco Carlos do Nascimento,Match Report,
2014-10-08,19:30,Série A,Matchweek 27,Wed,Away,L,0,1,Coritiba,,10930.0,,4-2-3-1,4-2-3-1,Sandro Ricci,Match Report,
2014-10-12,18:30,Série A,Matchweek 28,Sun,Home,W,3,0,Santos,,9076.0,,4-2-3-1,4-2-2-2,Péricles Bassols Pegado Cortez,Match Report,
2014-10-18,18:30,Série A,Matchweek 29,Sat,Away,L,2,4,Fluminense,,13472.0,,4-3-3,4-2-2-2,Marcelo Aparecido Ribeiro De Souza,Match Report,
2014-10-22,19:30,Série A,Matchweek 30,Wed,Home,L,0,1,Ath Paranaense,,7641.0,,4-2-3-1,4-3-3,Ricardo Marques Ribeiro,Match Report,
2014-10-25,17:30,Série A,Matchweek 31,Sat,Away,L,1,3,Vitória,,8374.0,,4-2-3-1,4-2-2-2,Leandro Pedro Vuaden,Match Report,
2014-11-02,17:00,Série A,Matchweek 32,Sun,Home,L,1,2,São Paulo,,12388.0,,4-2-3-1,4-2-2-2,Dewson Fernando Freitas da Silva,Match Report,
2014-11-09,19:30,Série A,Matchweek 33,Sun,Away,L,1,3,Cruzeiro,,28475.0,,4-4-1-1,4-2-3-1,Marcos Andre Gomes da Penha,Match Report,
2014-11-15,19:30,Série A,Matchweek 34,Sat,Home,L,0,3,Grêmio,,8850.0,,4-1-2-1-2◆,4-1-4-1,Raphael Claus,Match Report,
2014-11-19,21:00,Série A,Matchweek 35,Wed,Home,L,0,1,Bahia,,4639.0,,4-1-2-1-2◆,4-2-3-1,Luiz Flávio de Oliveira,Match Report,
2014-11-23,16:00,Série A,Matchweek 36,Sun,Away,D,1,1,Flamengo,,30753.0,,4-2-3-1,4-3-3,Francisco Carlos do Nascimento,Match Report,
2014-11-29,19:30,Série A,Matchweek 37,Sat,Home,D,2,2,Sport Recife,,2338.0,,4-2-3-1,4-3-3,Wagner Reway,Match Report,
2014-12-06,16:30,Série A,Matchweek 38,Sat,Away,L,1,2,Corinthians,,38044.0,,4-3-3,4-2-3-1,Dewson Fernando Freitas da Silva,Match Report,
