Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Marcelo Hermes,br BRA,"DF,MF",28.0,35.6,111,3.12,59,43,0,3,4,2,10,0.28,3,6,0,0,1,0,Matches
Gustavo,br BRA,GK,30.0,33.3,2,0.06,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Rodrigo Fagundes,br BRA,DF,36.0,32.0,32,1.0,25,1,0,6,0,0,3,0.09,2,0,0,1,0,0,Matches
Barreto,br BRA,MF,28.0,25.3,38,1.5,30,0,2,4,2,0,5,0.2,3,0,0,2,0,0,Matches
Yannick Bolasie,cd COD,FW,34.0,26.4,62,2.35,36,0,12,8,4,2,8,0.3,5,0,2,1,0,0,Matches
Newton,br BRA,MF,23.0,25.5,42,1.64,34,0,3,2,1,2,1,0.04,1,0,0,0,0,0,Matches
Claudinho,br BRA,DF,23.0,22.7,71,3.12,53,8,3,3,1,3,4,0.18,2,0,1,1,0,0,Matches
Tobias Figueiredo,pt POR,DF,29.0,23.0,13,0.57,9,0,0,3,1,0,1,0.04,1,0,0,0,0,0,Matches
Fellipe Mateus,br BRA,"MF,FW",32.0,21.0,51,2.43,30,10,1,6,4,0,3,0.14,1,0,0,2,0,0,Matches
Matheusinho,br BRA,MF,25.0,17.6,79,4.48,69,2,5,2,1,0,6,0.34,5,0,0,1,0,0,Matches
Arthur,br BRA,FW,31.0,18.6,52,2.8,30,0,0,11,11,0,3,0.16,1,0,0,2,0,0,Matches
Miguel Trauco,pe PER,DF,31.0,16.1,31,1.93,20,9,0,1,0,1,2,0.12,1,0,0,1,0,0,Matches
Ronald,br BRA,MF,26.0,16.8,58,3.46,40,7,5,3,1,2,6,0.36,5,0,1,0,0,0,Matches
Allano,br BRA,"FW,MF",28.0,14.4,52,3.57,38,0,4,2,7,1,3,0.21,2,0,0,0,1,0,Matches
Higor Meritão,br BRA,MF,29.0,11.6,14,1.21,11,0,0,2,0,1,1,0.09,1,0,0,0,0,0,Matches
Wilker Ángel,ve VEN,DF,30.0,10.9,7,0.64,6,0,0,1,0,0,2,0.18,1,0,0,1,0,0,Matches
Marquinhos Gabriel,br BRA,MF,33.0,11.1,40,3.59,32,0,3,4,1,0,1,0.09,1,0,0,0,0,0,Matches
Walisson Maia,br BRA,DF,32.0,10.6,6,0.57,5,0,0,1,0,0,1,0.09,0,0,0,1,0,0,Matches
Éder,it ITA,FW,37.0,8.5,22,2.59,20,0,0,2,0,0,2,0.24,2,0,0,0,0,0,Matches
Luis Eduardo Marques dos Santos,br BRA,DF,26.0,8.3,24,2.89,20,3,1,0,0,0,1,0.12,1,0,0,0,0,0,Matches
Jonathan,br BRA,DF,31.0,7.8,18,2.3,15,1,0,2,0,0,2,0.26,1,0,0,1,0,0,Matches
Felipe Vizeu,br BRA,FW,26.0,4.9,9,1.82,5,1,2,1,0,0,1,0.2,1,0,0,0,0,0,Matches
Alisson,br BRA,GK,28.0,4.7,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Patrick de Paula,br BRA,MF,24.0,3.0,6,2.0,4,0,0,1,1,0,0,0.0,0,0,0,0,0,0,Matches
Pedro Rocha Neves,br BRA,"FW,MF",29.0,1.9,6,3.1,4,0,1,1,0,0,1,0.52,0,0,0,1,0,0,Matches
Jhonata Robert,br BRA,MF,24.0,1.8,14,7.92,6,1,1,2,3,1,0,0.0,0,0,0,0,0,0,Matches
Renato Kayser,br BRA,FW,27.0,0.9,1,1.06,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Eliédson,br BRA,MF,20.0,0.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Yerson Candelo,co COL,DF,31.0,0.3,2,6.43,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
João Carlos,br BRA,"MF,FW",22.0,0.3,1,3.33,0,1,0,0,0,0,1,3.33,0,1,0,0,0,0,Matches
Baltasar Barcia,uy URU,"MF,FW",22.0,0.3,2,7.2,1,0,1,0,0,0,1,3.6,0,0,1,0,0,0,Matches
Sergio Antonio De Luiz Junior,br BRA,"MF,FW",28.0,0.2,1,4.5,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Eduardo Melo,br BRA,FW,22.0,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Werik Popó,br BRA,FW,22.0,0.1,1,9.0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,30.0,38.0,868,22.84,608,87,44,71,43,15,69,1.82,40,7,5,15,2,0,
Opponent Total,,,27.7,38.0,1128,29.68,843,89,69,57,51,19,108,2.84,83,7,6,4,7,1,
