Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Marcelo Hermes,br BRA,"DF,MF",28.0,35.6,1565,1174,383,69,1,10,221,194,119,51,46,4,1059,8,70,Matches
Gustavo,br BRA,GK,30.0,33.3,898,540,354,60,0,4,0,1,0,0,0,0,632,4,1,Matches
Rodrigo Fagundes,br BRA,DF,36.0,32.0,1453,1367,80,79,0,31,5,1,0,0,0,0,1185,6,13,Matches
Barreto,br BRA,MF,28.0,25.3,867,828,37,34,4,2,6,3,0,0,0,0,731,2,18,Matches
Yannick Bolasie,cd COD,FW,34.0,26.4,518,503,10,0,1,3,59,2,0,0,0,0,352,5,22,Matches
Newton,br BRA,MF,23.0,25.5,990,969,17,10,1,15,35,6,0,0,0,0,784,4,21,Matches
Claudinho,br BRA,DF,23.0,22.7,1118,944,172,20,1,7,62,140,12,5,4,1,884,2,22,Matches
Tobias Figueiredo,pt POR,DF,29.0,23.0,873,836,36,28,0,12,0,1,0,0,0,0,742,1,5,Matches
Fellipe Mateus,br BRA,"MF,FW",32.0,21.0,736,689,41,16,0,7,30,3,12,7,4,0,584,6,19,Matches
Matheusinho,br BRA,MF,25.0,17.6,659,636,18,3,5,15,43,6,1,1,0,0,489,5,16,Matches
Arthur,br BRA,FW,31.0,18.6,311,278,30,0,2,1,4,1,0,0,0,0,217,3,9,Matches
Miguel Trauco,pe PER,DF,31.0,16.1,825,649,172,39,2,10,32,126,7,0,5,0,583,4,19,Matches
Ronald,br BRA,MF,26.0,16.8,643,611,28,13,1,8,28,4,10,5,3,0,539,4,12,Matches
Allano,br BRA,"FW,MF",28.0,14.4,489,477,9,1,2,5,21,7,0,0,0,0,391,3,8,Matches
Higor Meritão,br BRA,MF,29.0,11.6,500,495,5,5,0,0,2,0,0,0,0,0,445,0,6,Matches
Wilker Ángel,ve VEN,DF,30.0,10.9,349,335,14,13,0,2,0,1,0,0,0,0,276,0,0,Matches
Marquinhos Gabriel,br BRA,MF,33.0,11.1,448,432,12,3,2,1,20,0,2,0,1,0,358,4,9,Matches
Walisson Maia,br BRA,DF,32.0,10.6,399,384,14,14,0,1,0,0,0,0,0,0,310,1,2,Matches
Éder,it ITA,FW,37.0,8.5,221,192,28,3,1,1,16,3,0,0,0,0,164,1,7,Matches
Luis Eduardo Marques dos Santos,br BRA,DF,26.0,8.3,519,430,88,5,1,0,46,74,9,2,4,0,410,1,16,Matches
Jonathan,br BRA,DF,31.0,7.8,390,313,74,4,0,5,17,70,0,0,0,0,304,3,14,Matches
Felipe Vizeu,br BRA,FW,26.0,4.9,111,104,7,1,1,0,0,0,0,0,0,0,89,0,2,Matches
Alisson,br BRA,GK,28.0,4.7,154,88,64,10,0,1,0,0,0,0,0,0,95,2,0,Matches
Patrick de Paula,br BRA,MF,24.0,3.0,117,111,6,6,1,4,0,0,0,0,0,0,96,0,3,Matches
Pedro Rocha Neves,br BRA,"FW,MF",29.0,1.9,40,34,5,1,0,0,3,0,0,0,0,0,24,1,2,Matches
Jhonata Robert,br BRA,MF,24.0,1.8,110,100,10,3,0,5,11,1,6,1,4,0,81,0,5,Matches
Renato Kayser,br BRA,FW,27.0,0.9,15,14,1,0,0,0,0,0,0,0,0,0,10,0,0,Matches
Eliédson,br BRA,MF,20.0,0.4,25,25,0,0,0,1,1,0,0,0,0,0,20,0,0,Matches
Yerson Candelo,co COL,DF,31.0,0.3,23,16,7,1,0,0,3,6,0,0,0,0,19,0,1,Matches
João Carlos,br BRA,"MF,FW",22.0,0.3,10,8,2,0,0,0,1,2,0,0,0,0,6,0,0,Matches
Baltasar Barcia,uy URU,"MF,FW",22.0,0.3,4,4,0,0,0,0,1,0,0,0,0,0,3,0,0,Matches
Sergio Antonio De Luiz Junior,br BRA,"MF,FW",28.0,0.2,12,12,0,0,0,0,2,0,0,0,0,0,9,0,0,Matches
Eduardo Melo,br BRA,FW,22.0,0.2,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,Matches
Werik Popó,br BRA,FW,22.0,0.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Squad Total,,,30.0,38.0,15395,13600,1725,441,26,151,669,652,178,72,71,5,11892,70,322,
Opponent Total,,,27.7,38.0,20712,18840,1825,528,27,124,812,734,222,77,81,1,17082,47,364,
