Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Expected,Expected,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Marcelo Hermes,br BRA,"DF,MF",28.0,35.6,1059,1565,67.7,19505,9111,455,539,84.4,454,588,77.2,128,333,38.4,5,3.0,4.2,2.0,59,95,34,15,132,Matches
Gustavo,br BRA,GK,30.0,33.3,632,898,70.4,19104,13465,84,85,98.8,251,257,97.7,282,535,52.7,0,0.0,0.0,0.0,1,19,0,0,0,Matches
Rodrigo Fagundes,br BRA,DF,36.0,32.0,1185,1453,81.6,25688,10629,330,377,87.5,626,700,89.4,213,331,64.4,1,1.1,1.0,-0.1,13,148,10,2,113,Matches
Barreto,br BRA,MF,28.0,25.3,731,867,84.3,11758,3743,373,411,90.8,271,315,86.0,57,72,79.2,2,0.9,1.2,1.1,17,74,12,0,92,Matches
Yannick Bolasie,cd COD,FW,34.0,26.4,352,518,68.0,5443,1453,193,245,78.8,102,152,67.1,31,51,60.8,4,1.8,2.2,2.2,20,31,16,7,55,Matches
Newton,br BRA,MF,23.0,25.5,784,990,79.2,14120,4120,338,394,85.8,334,394,84.8,90,153,58.8,1,1.0,1.4,0.0,14,90,12,9,80,Matches
Claudinho,br BRA,DF,23.0,22.7,884,1118,79.1,14917,5943,434,491,88.4,359,434,82.7,72,145,49.7,3,3.6,2.5,-0.6,39,77,23,8,113,Matches
Tobias Figueiredo,pt POR,DF,29.0,23.0,742,873,85.0,15858,5506,197,221,89.1,418,461,90.7,120,174,69.0,0,0.5,0.1,-0.5,2,32,0,0,49,Matches
Fellipe Mateus,br BRA,"MF,FW",32.0,21.0,584,736,79.3,9442,2168,295,338,87.3,208,263,79.1,49,72,68.1,0,0.9,1.4,-0.9,20,47,5,2,60,Matches
Matheusinho,br BRA,MF,25.0,17.6,489,659,74.2,8595,2736,228,273,83.5,172,229,75.1,61,99,61.6,3,2.2,4.6,0.8,31,60,37,17,88,Matches
Arthur,br BRA,FW,31.0,18.6,217,311,69.8,2950,514,132,188,70.2,66,85,77.6,8,9,88.9,1,1.7,0.6,-0.7,21,11,7,0,26,Matches
Miguel Trauco,pe PER,DF,31.0,16.1,583,825,70.7,11191,5842,222,261,85.1,273,342,79.8,77,183,42.1,0,0.5,1.0,-0.5,10,68,16,2,81,Matches
Ronald,br BRA,MF,26.0,16.8,539,643,83.8,9252,2404,271,297,91.2,206,241,85.5,52,75,69.3,2,1.5,2.0,0.5,22,46,10,5,64,Matches
Allano,br BRA,"FW,MF",28.0,14.4,391,489,80.0,6263,1536,202,242,83.5,147,173,85.0,27,41,65.9,2,1.9,2.9,0.1,19,30,18,4,59,Matches
Higor Meritão,br BRA,MF,29.0,11.6,445,500,89.0,7109,2421,223,253,88.1,183,196,93.4,26,29,89.7,0,0.1,0.3,-0.1,2,45,3,1,52,Matches
Wilker Ángel,ve VEN,DF,30.0,10.9,276,349,79.1,5498,2079,90,104,86.5,147,167,88.0,38,75,50.7,0,0.0,0.0,0.0,2,15,0,0,15,Matches
Marquinhos Gabriel,br BRA,MF,33.0,11.1,358,448,79.9,6076,1439,168,193,87.0,140,161,87.0,38,60,63.3,0,1.8,1.6,-1.8,19,34,14,2,46,Matches
Walisson Maia,br BRA,DF,32.0,10.6,310,399,77.7,6693,2745,87,94,92.6,171,190,90.0,51,104,49.0,1,0.7,0.1,0.3,3,16,0,0,14,Matches
Éder,it ITA,FW,37.0,8.5,164,221,74.2,2591,614,85,111,76.6,62,76,81.6,11,14,78.6,0,1.3,0.8,-1.3,12,18,8,5,22,Matches
Luis Eduardo Marques dos Santos,br BRA,DF,26.0,8.3,410,519,79.0,7219,3149,182,199,91.5,181,218,83.0,40,73,54.8,1,1.5,1.2,-0.5,21,38,17,6,58,Matches
Jonathan,br BRA,DF,31.0,7.8,304,390,77.9,5218,1981,148,166,89.2,124,151,82.1,25,48,52.1,1,0.7,0.6,0.3,10,22,10,5,40,Matches
Felipe Vizeu,br BRA,FW,26.0,4.9,89,111,80.2,1261,132,52,63,82.5,34,40,85.0,1,1,100.0,0,0.2,0.7,-0.2,2,5,3,0,9,Matches
Alisson,br BRA,GK,28.0,4.7,95,154,61.7,2857,2072,13,13,100.0,39,40,97.5,42,98,42.9,0,0.0,0.0,0.0,0,1,0,0,0,Matches
Patrick de Paula,br BRA,MF,24.0,3.0,96,117,82.1,2012,763,32,36,88.9,47,55,85.5,16,22,72.7,0,0.1,0.1,-0.1,2,14,3,0,15,Matches
Pedro Rocha Neves,br BRA,"FW,MF",29.0,1.9,24,40,60.0,304,73,12,16,75.0,8,14,57.1,1,2,50.0,0,0.0,0.1,0.0,1,2,1,0,4,Matches
Jhonata Robert,br BRA,MF,24.0,1.8,81,110,73.6,1549,413,31,40,77.5,35,39,89.7,12,22,54.5,0,0.0,0.2,0.0,1,10,3,0,15,Matches
Renato Kayser,br BRA,FW,27.0,0.9,10,15,66.7,150,77,5,8,62.5,3,3,100.0,1,1,100.0,0,0.1,0.0,-0.1,1,2,0,0,4,Matches
Eliédson,br BRA,MF,20.0,0.4,20,25,80.0,332,111,13,13,100.0,5,7,71.4,2,5,40.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
Yerson Candelo,co COL,DF,31.0,0.3,19,23,82.6,349,146,8,8,100.0,8,10,80.0,3,5,60.0,0,0.1,0.1,-0.1,2,1,1,1,0,Matches
João Carlos,br BRA,"MF,FW",22.0,0.3,6,10,60.0,113,14,2,3,66.7,3,5,60.0,1,2,50.0,0,0.0,0.1,0.0,0,0,0,0,0,Matches
Baltasar Barcia,uy URU,"MF,FW",22.0,0.3,3,4,75.0,31,4,3,3,100.0,0,0,,0,1,0.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
Sergio Antonio De Luiz Junior,br BRA,"MF,FW",28.0,0.2,9,12,75.0,174,62,3,3,100.0,6,9,66.7,0,0,,0,0.0,0.0,0.0,0,1,1,0,2,Matches
Eduardo Melo,br BRA,FW,22.0,0.2,1,2,50.0,12,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Werik Popó,br BRA,FW,22.0,0.1,0,1,0.0,0,0,0,0,,0,0,,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,,30.0,38.0,11892,15395,77.2,223634,87465,4912,5689,86.3,5083,6015,84.5,1575,2836,55.5,27,26.9,31.2,0.1,366,1054,264,91,1310,
Opponent Total,,,27.7,38.0,17082,20712,82.5,297825,100778,7527,8401,89.6,7489,8549,87.6,1595,2705,59.0,49,41.5,41.2,7.5,485,1588,356,102,1818,
