Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Marcelo Hermes,br BRA,"DF,MF",28.0,35.6,2,31,8,25.8,0.87,0.22,0.06,0.25,21.2,4,0,0,1.6,1.6,0.05,0.4,0.4,Matches
Gustavo,br BRA,GK,30.0,33.3,0,1,1,100.0,0.03,0.03,0.0,0.0,10.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Rodrigo Fagundes,br BRA,DF,36.0,32.0,3,23,9,39.1,0.72,0.28,0.13,0.33,12.6,0,0,0,2.1,2.1,0.09,0.9,0.9,Matches
Barreto,br BRA,MF,28.0,25.3,2,21,7,33.3,0.83,0.28,0.1,0.29,20.6,0,0,0,3.1,3.1,0.17,-1.1,-1.1,Matches
Yannick Bolasie,cd COD,FW,34.0,26.4,8,75,36,48.0,2.84,1.36,0.11,0.22,17.6,0,0,0,7.4,7.4,0.1,0.6,0.6,Matches
Newton,br BRA,MF,23.0,25.5,1,36,8,22.2,1.41,0.31,0.03,0.13,22.9,0,0,0,1.6,1.6,0.05,-0.6,-0.6,Matches
Claudinho,br BRA,DF,23.0,22.7,2,23,5,21.7,1.01,0.22,0.09,0.4,24.4,0,0,0,1.1,1.1,0.05,0.9,0.9,Matches
Tobias Figueiredo,pt POR,DF,29.0,23.0,1,7,2,28.6,0.3,0.09,0.14,0.5,11.9,0,0,0,0.3,0.3,0.05,0.7,0.7,Matches
Fellipe Mateus,br BRA,"MF,FW",32.0,21.0,3,35,17,48.6,1.67,0.81,0.09,0.18,20.0,3,0,0,1.9,1.9,0.06,1.1,1.1,Matches
Matheusinho,br BRA,MF,25.0,17.6,5,35,10,28.6,1.99,0.57,0.14,0.5,18.4,0,0,0,4.0,4.0,0.11,1.0,1.0,Matches
Arthur,br BRA,FW,31.0,18.6,5,45,13,28.9,2.42,0.7,0.11,0.38,16.4,1,0,0,5.0,5.0,0.11,0.0,0.0,Matches
