Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Fábio,br BRA,GK,34.0,36,36,3240.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Manoel,br BRA,DF,24.0,36,36,3240.0,36.0,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,0.03,0.06,0.08,0.03,0.08,Matches
Henrique Pacheco Lima,br BRA,MF,29.0,31,31,2613.0,29.0,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
Willians,br BRA,MF,29.0,29,29,2502.0,27.8,2.0,2.0,4.0,1.0,1.0,1.0,14.0,2.0,0.07,0.07,0.14,0.04,0.11,Matches
Willian,br BRA,"FW,MF",28.0,30,27,2387.0,26.5,11.0,5.0,16.0,11.0,0.0,1.0,7.0,0.0,0.41,0.19,0.6,0.41,0.6,Matches
Fabrício,br BRA,"DF,MF",28.0,25,23,2113.0,23.5,1.0,1.0,2.0,1.0,0.0,0.0,9.0,1.0,0.04,0.04,0.09,0.04,0.09,Matches
Bruno Rodrigo,br BRA,DF,29.0,22,22,1853.0,20.6,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ceará,br BRA,DF,34.0,19,18,1488.0,16.5,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,0.06,0.12,0.18,0.06,0.18,Matches
Charles Fernando Basílio da Silva,br BRA,MF,29.0,25,17,1539.0,17.1,3.0,1.0,4.0,3.0,0.0,0.0,5.0,0.0,0.18,0.06,0.23,0.18,0.23,Matches
Ariel Cabral,ar ARG,MF,27.0,18,17,1458.0,16.2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches
Paulo André,br BRA,DF,31.0,17,15,1428.0,15.9,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Giorgian De Arrascaeta,uy URU,"FW,MF",20.0,23,14,1364.0,15.2,4.0,1.0,5.0,4.0,0.0,0.0,3.0,0.0,0.26,0.07,0.33,0.26,0.33,Matches
Alisson,br BRA,"FW,MF",21.0,17,13,1181.0,13.1,3.0,3.0,6.0,3.0,0.0,0.0,0.0,0.0,0.23,0.23,0.46,0.23,0.46,Matches
Marquinhos,br BRA,"DF,FW",25.0,23,13,1134.0,12.6,1.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,0.08,0.4,0.48,0.08,0.48,Matches
Mayke,br BRA,"DF,MF",22.0,17,13,1118.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Leandro Damião,br BRA,FW,25.0,23,12,1177.0,13.1,4.0,2.0,6.0,4.0,0.0,0.0,3.0,0.0,0.31,0.15,0.46,0.31,0.46,Matches
Marcos Vinícius,br BRA,MF,20.0,20,12,1069.0,11.9,3.0,1.0,4.0,3.0,0.0,0.0,3.0,0.0,0.25,0.08,0.34,0.25,0.34,Matches
Pará,br BRA,DF,19.0,11,11,939.0,10.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.1,0.1,0.0,0.1,Matches
Allano,br BRA,"FW,MF",19.0,16,11,915.0,10.2,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.1,0.1,0.0,0.1,Matches
Marinho,br BRA,"FW,MF",24.0,12,8,711.0,7.9,1.0,0.0,1.0,1.0,0.0,1.0,4.0,0.0,0.13,0.0,0.13,0.13,0.13,Matches
Vinícius Araújo,br BRA,FW,21.0,12,8,566.0,6.3,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,0.32,0.16,0.48,0.32,0.48,Matches
Eugenio Mena,cl CHI,"DF,MF",26.0,6,6,482.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Fabiano Leismann,br BRA,DF,23.0,12,4,550.0,6.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.16,0.0,0.16,0.16,0.16,Matches
Gabriel Xavier,br BRA,"FW,MF",21.0,12,4,502.0,5.6,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.18,0.0,0.18,0.18,0.18,Matches
Diederrick Joel,cm CMR,FW,21.0,11,4,440.0,4.9,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.2,0.0,0.2,0.2,0.2,Matches
Léo,br BRA,DF,27.0,5,4,379.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Henrique Dourado,br BRA,FW,25.0,5,3,272.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Rafael Pires,br BRA,GK,25.0,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Willian Farias,br BRA,MF,25.0,3,2,115.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Eurico,br BRA,MF,20.0,3,1,174.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Douglas Grolli,br BRA,DF,25.0,2,1,135.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Bruno Ramires,br BRA,"DF,MF",20.0,3,1,126.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Neílton,br BRA,"FW,MF",20.0,1,0,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Júlio Baptista,br BRA,"FW,MF",33.0,2,0,27.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Uillian Correia,br BRA,MF,25.0,1,0,21.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Judivan,br BRA,"FW,MF",19.0,1,0,21.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Duvier Riascos,co COL,FW,28.0,1,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Dedé,br BRA,DF,26.0,0,0,,,,,,,,,,,,,,,,Matches
Elisson,br BRA,GK,27.0,0,0,,,,,,,,,,,,,,,,Matches
Alex Flávio Santos Luz,br BRA,DF,22.0,0,0,,,,,,,,,,,,,,,,Matches
Felipe Seymour,cl CHI,MF,27.0,0,0,,,,,,,,,,,,,,,,Matches
Bruno Viana,br BRA,DF,19.0,0,0,,,,,,,,,,,,,,,,Matches
Squad Total,,,27.1,38,418,3420.0,38.0,41.0,29.0,70.0,40.0,1.0,3.0,96.0,5.0,1.08,0.76,1.84,1.05,1.82,
Opponent Total,,,26.1,38,418,3420.0,38.0,35.0,24.0,59.0,34.0,1.0,1.0,93.0,4.0,0.92,0.63,1.55,0.89,1.53,
