Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Unnamed: 17_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Henrique Pacheco Lima,br BRA,MF,30.0,29.6,6,0,0,43,63,1,14,99,65,0,0,0,Matches
Giorgian De Arrascaeta,uy URU,"FW,MF",21.0,26.6,6,1,0,42,66,10,169,15,32,0,0,0,Matches
Bruno Rodrigo,br BRA,DF,30.0,29.3,5,0,0,21,19,1,2,80,24,0,0,0,Matches
Lucas Romero,ar ARG,"DF,MF",21.0,20.9,8,2,0,37,22,1,17,51,54,0,2,0,Matches
Robinho,br BRA,MF,28.0,19.7,3,0,0,24,30,2,127,23,34,0,0,0,Matches
Rafael Sóbis,br BRA,"FW,MF",30.0,18.6,6,0,0,15,46,2,94,14,21,0,0,0,Matches
Lucas Marques,br BRA,DF,27.0,19.2,10,3,3,38,20,2,86,26,30,0,0,1,Matches
Ariel Cabral,ar ARG,MF,28.0,18.5,3,0,0,31,14,2,17,37,41,0,0,0,Matches
Fábio,br BRA,GK,35.0,18.4,3,0,0,2,3,0,0,2,2,0,2,0,Matches
Willian,br BRA,"FW,MF",29.0,19.0,4,0,0,25,40,13,29,11,12,0,0,0,Matches
Edimar Fraga,br BRA,"DF,MF",29.0,18.6,4,0,0,36,17,1,82,45,35,0,0,0,Matches
Rafael Pires,br BRA,GK,26.0,17.0,1,0,0,0,4,0,0,0,0,0,0,0,Matches
Manoel,br BRA,DF,25.0,15.8,2,1,0,10,19,1,1,31,10,0,2,1,Matches
Ramón Ábila,ar ARG,FW,26.0,14.8,5,0,0,14,30,26,2,3,2,0,0,1,Matches
Bryan Silva Garcia,br BRA,DF,23.0,13.7,3,1,0,19,20,0,57,32,32,0,0,0,Matches
Léo,br BRA,DF,28.0,13.8,3,1,1,12,4,1,3,35,13,0,0,0,Matches
Bruno Ramires,br BRA,"DF,MF",21.0,13.3,3,0,0,20,8,2,20,22,23,0,0,0,Matches
Bruno Viana,br BRA,DF,20.0,13.0,6,0,0,12,7,0,2,36,10,0,1,0,Matches
Alisson,br BRA,"FW,MF",22.0,13.3,4,0,0,24,17,6,42,15,15,0,1,0,Matches
Ezequiel,br BRA,DF,22.0,9.7,4,0,0,24,14,1,34,23,11,0,0,0,Matches
Élber,br BRA,"FW,MF",23.0,8.4,0,0,0,1,21,5,31,7,6,0,0,0,Matches
Rafinha,br BRA,MF,32.0,9.4,2,0,0,9,24,4,48,18,20,0,0,0,Matches
Duvier Riascos,co COL,FW,29.0,6.2,3,0,0,20,13,2,10,1,1,0,0,0,Matches
Fabrício Bruno,br BRA,DF,19.0,4.2,1,0,0,1,1,0,0,10,3,0,0,0,Matches
Juan Sánchez Miño,ar ARG,"DF,MF",26.0,4.0,1,0,0,7,4,0,28,3,8,0,0,0,Matches
Allano,br BRA,"FW,MF",20.0,3.5,0,0,0,10,16,2,6,4,6,0,0,0,Matches
Mayke,br BRA,"DF,MF",23.0,2.7,2,0,0,5,1,0,3,5,5,0,0,0,Matches
Matías Pisano,ar ARG,"FW,MF",24.0,2.0,1,0,0,9,4,2,6,1,3,0,0,0,Matches
Lucas França,br BRA,GK,20.0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Federico Gino,uy URU,"DF,MF",22.0,2.4,0,0,0,4,1,0,6,4,8,0,0,0,Matches
Alex Apolinário,br BRA,DF,19.0,1.9,0,0,0,3,2,1,8,2,0,0,0,0,Matches
Marcos Vinícius,br BRA,MF,21.0,1.8,1,0,0,6,3,0,4,0,6,0,0,0,Matches
Denílson,br BRA,MF,27.0,1.1,0,0,0,6,5,0,0,2,3,0,0,0,Matches
Rafael Silva,br BRA,FW,25.0,0.7,0,0,0,2,1,1,1,1,0,0,0,0,Matches
Douglas Coutinho,br BRA,"FW,MF",21.0,2.1,1,0,0,2,3,3,0,3,0,0,0,0,Matches
Marciel,br BRA,MF,20.0,0.3,1,0,0,1,0,0,0,1,1,0,0,0,Matches
Bruno Nazário,br BRA,"FW,MF",20.0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Squad Total,,,26.9,38.0,102,9,4,535,562,92,949,662,536,0,8,3,
Opponent Total,,,26.8,38.0,79,3,2,595,516,89,775,596,495,8,0,0,
