Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Fábio,br BRA,GK,38.0,35.0,976,841,974,2,0,0,976,0,0,,0,,479,3626,2701,0,0,0,0,0,318,0,Matches
Henrique Pacheco Lima,br BRA,MF,33.0,33.0,2162,79,422,1483,274,26,2162,18,13,72.2,5,27.8,1229,6960,3582,45,47,0,28,19,1433,28,Matches
Thiago Neves,br BRA,MF,33.0,23.4,1333,13,83,654,605,80,1331,36,24,66.7,12,33.3,742,3510,1390,25,33,5,50,31,1001,158,Matches
Egídio Pereira Júnior,br BRA,DF,32.0,22.7,1644,61,359,794,516,19,1644,30,22,73.3,8,26.7,771,4018,2322,58,52,5,23,20,915,168,Matches
Fred,br BRA,FW,35.0,24.5,729,36,61,341,328,83,726,12,7,58.3,5,41.7,363,1205,240,5,6,4,40,23,596,121,Matches
David,br BRA,"FW,MF",23.0,22.5,1119,16,117,455,573,86,1119,109,73,67.0,36,33.0,774,6399,3406,116,91,30,66,34,884,271,Matches
Luis Manuel Orejuela,co COL,DF,23.0,20.2,1292,44,264,627,423,35,1292,48,35,72.9,13,27.1,745,4626,2867,77,48,12,38,25,809,159,Matches
Robinho,br BRA,"MF,FW",31.0,20.8,1674,18,149,952,585,45,1674,24,15,62.5,9,37.5,1002,4276,2534,39,42,5,31,21,1255,103,Matches
Marquinhos Gabriel,br BRA,"FW,MF",28.0,20.0,972,8,102,448,439,50,972,47,27,57.4,20,42.6,650,4647,2178,72,55,15,26,28,746,162,Matches
Dedé,br BRA,DF,30.0,18.8,1106,166,497,575,41,28,1106,2,1,50.0,1,50.0,550,2615,1652,2,5,1,8,4,662,5,Matches
Éderson,br BRA,MF,19.0,18.3,884,47,177,512,207,26,884,41,35,85.4,6,14.6,512,2873,1211,20,14,4,37,27,566,74,Matches
Fabrício Bruno,br BRA,DF,22.0,19.0,994,122,447,535,20,10,994,1,0,0.0,1,100.0,527,2673,1570,8,1,0,1,3,617,4,Matches
Cacá,br BRA,DF,19.0,19.2,1031,132,467,514,55,16,1031,7,4,57.1,3,42.9,596,3247,2067,8,13,1,5,7,697,2,Matches
Léo,br BRA,DF,31.0,18.0,1080,134,480,589,19,12,1080,0,0,,0,,631,2782,1471,3,0,0,4,1,711,1,Matches
Pedro Rocha Neves,br BRA,"FW,MF",24.0,16.3,783,4,69,308,419,63,783,75,48,64.0,27,36.0,517,3371,1823,58,48,24,54,24,619,143,Matches
Dodô,br BRA,DF,26.0,15.1,1013,54,234,505,281,20,1013,19,11,57.9,8,42.1,562,2981,1725,43,38,2,10,8,613,93,Matches
Ariel Cabral,ar ARG,MF,31.0,8.5,535,15,89,359,90,11,535,1,1,100.0,0,0.0,297,1187,599,4,10,1,9,7,372,16,Matches
Sassá,br BRA,FW,25.0,10.2,327,0,8,145,178,47,327,19,12,63.2,7,36.8,235,1283,588,24,13,11,43,17,260,75,Matches
Edílson Mendes,br BRA,DF,32.0,9.9,634,34,175,317,150,1,634,13,8,61.5,5,38.5,365,1799,1086,23,20,0,4,0,382,21,Matches
