Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Rafael Cabral,br BRA,GK,32.0,37,3330.0,90.0,97.4,37.0,37,90.0,37,0,,0,1.24,35.0,32.0,3.0,0.08,0.08,47.7,42.1,5.6,0.15,-0.95,Matches
Luciano Castán,br BRA,DF,33.0,36,3210.0,89.0,93.9,35.7,36,89.0,33,0,,0,1.22,33.0,31.0,2.0,0.06,-0.37,46.1,39.8,6.3,0.18,-0.01,Matches
Marlon,br BRA,DF,25.0,36,3198.0,89.0,93.5,35.5,36,89.0,31,0,,0,1.14,32.0,31.0,1.0,0.03,-0.78,46.7,38.9,7.9,0.22,0.68,Matches
William,br BRA,DF,27.0,33,2647.0,80.0,77.4,29.4,31,84.0,24,2,28.0,1,1.33,29.0,21.0,8.0,0.27,0.85,39.0,29.9,9.1,0.31,0.59,Matches
Bruno Nascimento,br BRA,"FW,MF",25.0,35,2820.0,81.0,82.5,31.3,30,89.0,24,5,32.0,0,1.26,29.0,25.0,4.0,0.13,0.28,42.9,35.0,7.9,0.25,0.43,Matches
Neris,br BRA,DF,30.0,26,2113.0,81.0,61.8,23.5,24,86.0,20,2,27.0,9,1.23,19.0,18.0,1.0,0.04,-0.1,26.9,23.6,3.4,0.14,-0.09,Matches
Mateus Vital,br BRA,MF,24.0,32,1883.0,59.0,55.1,20.9,23,73.0,6,9,22.0,0,1.19,17.0,17.0,0.0,0.0,-0.18,24.3,20.8,3.5,0.17,-0.02,Matches
Machado,br BRA,MF,27.0,35,2277.0,65.0,66.6,25.3,22,83.0,10,13,34.0,0,1.29,25.0,21.0,4.0,0.16,0.24,33.2,29.3,3.9,0.15,-0.07,Matches
Wesley,br BRA,"FW,MF",23.0,29,1775.0,61.0,51.9,19.7,22,72.0,4,7,28.0,3,1.07,17.0,21.0,-4.0,-0.2,-0.59,21.3,24.2,-2.9,-0.15,-0.67,Matches
Jussa,br BRA,MF,26.0,24,1766.0,74.0,51.6,19.6,21,82.0,13,3,14.0,3,1.28,18.0,16.0,2.0,0.1,0.05,21.0,19.8,1.2,0.06,-0.24,Matches
Lucas Silva,br BRA,MF,29.0,20,1473.0,74.0,43.1,16.4,18,78.0,8,2,39.0,2,1.05,13.0,16.0,-3.0,-0.18,-0.46,18.6,16.6,2.0,0.13,-0.09,Matches
Arthur,br BRA,"FW,MF",24.0,20,1350.0,68.0,39.5,15.0,17,73.0,2,3,38.0,1,1.1,10.0,12.0,-2.0,-0.13,-0.35,18.2,13.4,4.8,0.32,0.24,Matches
Lucas Oliveira,br BRA,DF,26.0,16,1310.0,82.0,38.3,14.6,15,85.0,11,1,33.0,13,1.25,13.0,12.0,1.0,0.07,-0.02,19.6,17.9,1.7,0.11,-0.1,Matches
Gilberto,br BRA,FW,33.0,20,1093.0,55.0,32.0,12.1,14,68.0,3,6,24.0,3,1.3,15.0,11.0,4.0,0.33,0.37,16.1,13.0,3.1,0.26,0.12,Matches
Matheus Pereira,br BRA,"FW,MF",26.0,15,1022.0,68.0,29.9,11.4,12,80.0,4,3,21.0,0,1.27,9.0,8.0,1.0,0.09,0.01,13.9,8.9,4.9,0.43,0.37,Matches
