Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
William,br BRA,DF,28.0,32.9,8,0,0,43,23,0,183,48,62,0,0,0,176,34,33,50.7,Matches
Matheus Pereira,br BRA,"FW,MF",27.0,31.4,11,1,1,33,98,8,171,8,15,0,0,0,114,11,27,28.9,Matches
Lucas Romero,ar ARG,MF,29.0,28.1,8,1,1,42,26,0,6,18,48,0,0,0,135,27,17,61.4,Matches
João Marcelo,br BRA,DF,23.0,29.9,7,1,0,20,11,3,6,39,23,0,0,0,107,85,55,60.7,Matches
Zé Ivaldo,br BRA,DF,26.0,26.2,9,0,0,29,20,3,12,19,17,0,1,0,118,52,21,71.2,Matches
Marlon,br BRA,DF,26.0,24.2,3,2,0,32,13,1,80,28,30,0,0,0,104,21,25,45.7,Matches
Lucas Silva,br BRA,MF,30.0,22.1,5,0,0,27,19,1,21,5,7,0,1,1,121,17,23,42.5,Matches
Cássio,br BRA,GK,36.0,21.0,2,0,0,0,4,0,0,1,1,0,0,0,15,4,0,100.0,Matches
Gabriel Veron,br BRA,"FW,MF",21.0,17.9,3,0,0,19,6,2,8,8,21,0,0,0,47,9,16,36.0,Matches
Anderson,br BRA,GK,25.0,17.0,2,0,0,0,2,0,0,1,0,0,0,0,21,4,0,100.0,Matches
Álvaro Barreal,ar ARG,"MF,FW",23.0,16.5,6,0,0,23,23,2,76,7,24,0,0,0,72,4,11,26.7,Matches
Ramiro Benetti,br BRA,MF,30.0,16.0,3,0,0,27,17,1,22,20,20,0,0,0,57,16,23,41.0,Matches
Lucas Villalba,ar ARG,DF,29.0,14.7,2,0,0,18,6,1,11,18,9,0,0,0,69,38,28,57.6,Matches
Arthur,br BRA,FW,25.0,14.1,1,0,0,23,16,12,35,3,10,0,0,0,41,5,16,23.8,Matches
Matheus Henrique,br BRA,"MF,FW",26.0,13.5,4,0,0,18,22,2,21,7,15,0,0,0,72,10,10,50.0,Matches
Kaiki,br BRA,DF,20.0,13.2,4,0,0,22,24,2,30,26,31,0,0,0,60,14,24,36.8,Matches
Kaio Jorge,br BRA,FW,22.0,12.9,3,0,0,24,19,2,3,0,1,0,0,0,21,17,41,29.3,Matches
Lautaro Díaz,ar ARG,FW,25.0,10.7,1,0,0,14,3,2,10,3,8,0,0,0,25,23,30,43.4,Matches
Rafael Silva,br BRA,FW,31.0,5.9,2,1,0,7,3,3,2,1,3,0,0,0,6,7,15,31.8,Matches
Walace,br BRA,MF,28.0,5.1,2,0,0,11,7,0,1,7,8,0,0,0,29,2,8,20.0,Matches
Mateus Vital,br BRA,"MF,FW",25.0,5.9,0,0,0,5,14,0,8,1,7,0,0,0,33,2,7,22.2,Matches
Jonathan,br BRA,DF,19.0,3.8,0,0,0,3,2,0,0,6,3,0,0,0,14,3,3,50.0,Matches
Neris,br BRA,DF,31.0,3.4,0,0,0,10,2,1,0,3,3,0,0,0,15,6,5,54.5,Matches
Robert,br BRA,"MF,FW",18.0,4.4,1,0,0,2,3,1,5,1,1,0,0,0,8,2,9,18.2,Matches
Fabrizio Peralta,py PAR,MF,21.0,3.1,2,0,0,10,3,0,4,3,6,0,0,0,21,7,7,50.0,Matches
João Wellington,br BRA,"MF,FW",20.0,3.3,1,0,0,4,6,0,1,6,5,0,0,0,17,1,2,33.3,Matches
Juan Ignacio Dinenno,ar ARG,"FW,DF",29.0,2.7,0,0,0,1,3,1,0,0,2,0,0,0,5,10,9,52.6,Matches
Machado,br BRA,MF,28.0,1.9,2,0,0,7,3,0,3,5,2,0,0,0,11,2,0,100.0,Matches
Wesley Gasolina,br BRA,DF,23.0,1.8,0,0,0,2,4,0,8,0,2,0,0,0,10,0,3,0.0,Matches
Vitinho,br BRA,"MF,FW",19.0,5.4,2,0,0,2,6,1,5,3,3,0,0,0,20,1,2,33.3,Matches
Tevis Gabriel,br BRA,FW,18.0,1.6,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,,Matches
Helibelton Palacios,co COL,DF,30.0,1.0,0,0,0,0,0,0,1,3,0,0,0,0,2,1,3,25.0,Matches
José Cifuentes,ec ECU,MF,24.0,0.8,0,0,0,1,0,0,0,0,2,0,0,0,8,1,1,50.0,Matches
Rafael Elias,br BRA,FW,24.0,1.1,2,0,0,4,2,1,0,0,0,0,0,0,3,1,2,33.3,Matches
Arthur Rodrigues,br BRA,"FW,MF",19.0,0.9,1,0,0,1,0,2,0,0,0,0,0,0,1,1,1,50.0,Matches
João Pedro,br BRA,"FW,MF",20.0,0.9,0,0,0,0,3,0,1,2,0,0,0,0,4,2,2,50.0,Matches
Kenji,br BRA,"FW,MF",18.0,0.5,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,,Matches
Jhosefer,br BRA,FW,19.0,0.1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,,Matches
Weverton,br BRA,FW,20.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
Squad Total,,,26.9,38.0,97,6,2,486,416,54,737,301,389,0,2,1,1583,441,479,47.9,
Opponent Total,,,27.8,38.0,94,10,4,435,464,43,737,346,367,1,5,0,1537,479,442,52.0,
