Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
William,br BRA,DF,28.0,32.9,1893,1532,352,33,2,11,183,295,24,4,18,0,1424,9,54,Matches
Matheus Pereira,br BRA,"FW,MF",27.0,31.4,1680,1453,224,74,11,15,171,22,90,31,41,3,1287,3,28,Matches
Lucas Romero,ar ARG,MF,29.0,28.1,1760,1677,79,67,0,6,6,12,0,0,0,0,1547,4,23,Matches
João Marcelo,br BRA,DF,23.0,29.9,1731,1692,38,33,1,2,6,2,0,0,0,0,1573,1,9,Matches
Zé Ivaldo,br BRA,DF,26.0,26.2,1356,1288,61,49,0,27,12,9,0,0,0,0,1075,7,24,Matches
Marlon,br BRA,DF,26.0,24.2,1404,1183,220,20,0,42,80,182,16,6,7,0,1088,1,36,Matches
Lucas Silva,br BRA,MF,30.0,22.1,1096,1037,56,20,2,5,21,3,23,7,6,0,954,3,15,Matches
Cássio,br BRA,GK,36.0,21.0,576,390,186,40,0,4,0,0,0,0,0,0,488,0,1,Matches
Gabriel Veron,br BRA,"FW,MF",21.0,17.9,384,378,4,0,1,4,8,3,0,0,0,0,288,2,15,Matches
Anderson,br BRA,GK,25.0,17.0,470,322,148,23,0,3,0,0,0,0,0,0,396,0,0,Matches
Álvaro Barreal,ar ARG,"MF,FW",23.0,16.5,843,787,51,14,1,8,76,11,26,5,14,0,647,5,28,Matches
Ramiro Benetti,br BRA,MF,30.0,16.0,762,721,37,8,1,4,22,15,11,4,6,0,618,4,17,Matches
Lucas Villalba,ar ARG,DF,29.0,14.7,894,872,20,13,0,2,11,7,0,0,0,0,777,2,8,Matches
Arthur,br BRA,FW,25.0,14.1,449,428,17,3,1,3,35,11,3,0,0,0,352,4,25,Matches
Matheus Henrique,br BRA,"MF,FW",26.0,13.5,592,554,37,13,0,2,21,16,7,3,1,0,491,1,12,Matches
Kaiki,br BRA,DF,20.0,13.2,631,500,127,9,0,0,30,118,0,0,0,0,492,4,21,Matches
Kaio Jorge,br BRA,FW,22.0,12.9,208,193,14,1,2,2,3,1,0,0,0,0,160,1,5,Matches
Lautaro Díaz,ar ARG,FW,25.0,10.7,218,211,6,0,1,0,10,1,1,0,0,0,145,1,9,Matches
Rafael Silva,br BRA,FW,31.0,5.9,98,97,1,0,0,0,2,0,0,0,0,0,83,0,7,Matches
Walace,br BRA,MF,28.0,5.1,291,283,8,7,0,2,1,1,0,0,0,0,262,0,4,Matches
Mateus Vital,br BRA,"MF,FW",25.0,5.9,255,242,13,4,0,1,8,4,1,1,0,0,219,0,10,Matches
Jonathan,br BRA,DF,19.0,3.8,183,180,3,3,0,0,0,0,0,0,0,0,164,0,2,Matches
Neris,br BRA,DF,31.0,3.4,151,147,3,3,0,3,0,0,0,0,0,0,132,1,3,Matches
Robert,br BRA,"MF,FW",18.0,4.4,107,106,1,0,0,1,5,1,0,0,0,0,78,0,2,Matches
Fabrizio Peralta,py PAR,MF,21.0,3.1,186,181,5,3,0,0,4,2,0,0,0,0,149,0,1,Matches
João Wellington,br BRA,"MF,FW",20.0,3.3,113,108,5,3,0,0,1,2,0,0,0,0,93,0,4,Matches
Juan Ignacio Dinenno,ar ARG,"FW,DF",29.0,2.7,44,41,3,0,0,2,0,0,0,0,0,0,28,0,2,Matches
Machado,br BRA,MF,28.0,1.9,115,110,5,2,0,5,3,0,3,0,2,0,104,0,0,Matches
Wesley Gasolina,br BRA,DF,23.0,1.8,105,90,15,1,0,0,8,14,0,0,0,0,87,0,2,Matches
Vitinho,br BRA,"MF,FW",19.0,5.4,186,180,5,3,0,0,5,2,0,0,0,0,152,1,5,Matches
Tevis Gabriel,br BRA,FW,18.0,1.6,24,23,1,0,1,0,0,0,0,0,0,0,18,0,0,Matches
Helibelton Palacios,co COL,DF,30.0,1.0,42,35,7,0,0,0,1,7,0,0,0,0,37,0,0,Matches
José Cifuentes,ec ECU,MF,24.0,0.8,39,39,0,0,0,0,0,0,0,0,0,0,28,0,0,Matches
Rafael Elias,br BRA,FW,24.0,1.1,24,23,1,0,0,0,0,0,0,0,0,0,17,0,1,Matches
Arthur Rodrigues,br BRA,"FW,MF",19.0,0.9,15,15,0,0,0,0,0,0,0,0,0,0,9,0,0,Matches
João Pedro,br BRA,"FW,MF",20.0,0.9,23,23,0,0,0,0,1,0,0,0,0,0,13,0,0,Matches
Kenji,br BRA,"FW,MF",18.0,0.5,19,19,0,0,0,0,2,0,0,0,0,0,14,0,2,Matches
Jhosefer,br BRA,FW,19.0,0.1,9,9,0,0,0,0,1,0,0,0,0,0,8,0,0,Matches
Weverton,br BRA,FW,20.0,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
Squad Total,,,26.9,38.0,18977,17170,1753,449,24,154,737,741,205,61,95,3,15498,54,375,
Opponent Total,,,27.8,38.0,17002,15138,1821,518,23,194,737,726,192,82,69,4,13630,43,365,
