Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Uendel,br BRA,DF,32.0,34.3,17,7,8,5,4,6,21,28.6,15,29,15,14,32,49,75,0,Matches
Paulão,br BRA,DF,34.0,33.7,21,13,13,6,2,11,22,50.0,11,38,33,5,35,56,179,1,Matches
Walter,br BRA,GK,33.0,34.0,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,12,2,Matches
João Pedro Pepê,br BRA,MF,23.0,28.7,65,41,26,33,6,18,56,32.1,38,27,5,22,22,87,21,1,Matches
João Lucas,br BRA,DF,22.0,32.3,112,66,75,25,12,53,81,65.4,28,37,7,30,55,167,74,1,Matches
Clayson,br BRA,"MF,FW",25.0,27.8,35,22,12,12,11,15,50,30.0,35,27,4,23,29,64,9,0,Matches
Marllon Borges,br BRA,DF,28.0,25.5,26,14,21,5,0,18,23,78.3,5,21,16,5,21,47,128,0,Matches
Camilo,br BRA,MF,21.0,20.9,60,32,24,30,6,22,60,36.7,38,30,4,26,46,106,32,0,Matches
Jenison,br BRA,FW,29.0,19.2,17,9,4,7,6,5,16,31.3,11,14,4,10,6,23,25,0,Matches
Rafael Gava,br BRA,"MF,FW",27.0,18.9,19,6,8,10,1,12,26,46.2,14,11,4,7,15,34,7,0,Matches
Auremir,br BRA,MF,29.0,14.3,30,18,16,14,0,7,18,38.9,11,15,5,10,25,55,31,0,Matches
Jonathan Cafu,br BRA,"FW,MF",29.0,14.8,38,25,16,16,6,15,27,55.6,12,16,1,15,6,44,10,0,Matches
Élton Rodrigues Brandão,br BRA,FW,35.0,15.4,12,8,3,7,2,3,10,30.0,7,6,2,4,5,17,14,0,Matches
Alan Empereur,br BRA,DF,26.0,13.3,4,2,4,0,0,2,4,50.0,2,8,6,2,12,16,54,0,Matches
Max,br BRA,FW,19.0,11.1,14,7,4,6,4,9,15,60.0,6,12,1,11,5,19,12,0,Matches
Felipe Marques,br BRA,"MF,FW",31.0,14.1,13,8,5,5,3,9,25,36.0,16,14,2,12,18,31,7,0,Matches
Uillian Correia,br BRA,MF,31.0,10.9,9,5,2,6,1,5,16,31.3,11,3,1,2,11,20,9,0,Matches
Yuri Oliveira Lima,br BRA,MF,26.0,9.6,8,3,2,5,1,5,24,20.8,19,9,2,7,15,23,11,0,Matches
Danilo,br BRA,"FW,MF",21.0,7.6,12,6,0,10,2,4,9,44.4,5,10,0,10,18,30,6,0,Matches
Lucas Ramon,br BRA,DF,26.0,5.4,15,7,9,5,1,7,24,29.2,17,11,5,6,6,21,24,0,Matches
Yesus Cabrera,co COL,"MF,FW",30.0,4.0,6,4,3,1,2,1,12,8.3,11,2,1,1,3,9,0,0,Matches
João Carlos,br BRA,GK,32.0,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,Matches
Anderson Conceição,br BRA,DF,31.0,4.3,9,2,6,3,0,6,7,85.7,1,6,3,3,11,20,21,0,Matches
Lucas Hernández,uy URU,"DF,MF",28.0,3.6,4,1,2,2,0,1,7,14.3,6,2,0,2,10,14,12,0,Matches
Rafael Elias,br BRA,"FW,MF",21.0,3.2,3,2,1,1,1,2,7,28.6,5,2,0,2,0,3,1,0,Matches
Osman Júnior,br BRA,"FW,MF",28.0,3.4,7,4,4,1,2,2,4,50.0,2,6,1,5,7,14,3,0,Matches
Guilherme Pato,br BRA,"MF,FW",19.0,2.2,6,3,2,2,2,3,7,42.9,4,1,0,1,0,6,1,0,Matches
Gustavo Nescau,br BRA,FW,20.0,0.3,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0,Matches
Murilo Rangel,br BRA,FW,29.0,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Mota,br BRA,DF,23.0,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Squad Total,,,28.5,38.0,563,316,271,217,75,242,575,42.1,333,357,122,235,413,976,779,6,
Opponent Total,,,26.6,38.0,569,327,267,235,67,272,590,46.1,318,382,116,266,378,947,573,3,
