Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Uendel,br BRA,DF,32.0,34.3,2,0,0,18,24,1,102,32,7,0,1,0,129,41,30,57.7,Matches
Paulão,br BRA,DF,34.0,33.7,7,0,0,32,17,9,0,35,13,0,1,0,129,87,50,63.5,Matches
Walter,br BRA,GK,33.0,34.0,2,0,0,0,3,0,0,0,1,0,0,0,22,5,0,100.0,Matches
João Pedro Pepê,br BRA,MF,23.0,28.7,7,1,1,74,76,0,57,22,41,0,0,0,188,33,22,60.0,Matches
João Lucas,br BRA,DF,22.0,32.3,12,0,0,53,54,3,90,55,66,0,1,0,210,29,36,44.6,Matches
Clayson,br BRA,"MF,FW",25.0,27.8,10,2,2,34,77,9,91,29,22,0,0,0,126,4,28,12.5,Matches
Marllon Borges,br BRA,DF,28.0,25.5,4,1,0,21,18,0,1,21,14,0,0,0,100,59,38,60.8,Matches
Camilo,br BRA,MF,21.0,20.9,4,0,0,40,23,1,9,46,32,0,0,0,145,23,23,50.0,Matches
Jenison,br BRA,FW,29.0,19.2,3,0,0,25,9,5,9,6,9,0,0,0,60,100,112,47.2,Matches
Rafael Gava,br BRA,"MF,FW",27.0,18.9,2,0,0,19,30,5,73,15,6,0,0,0,93,16,21,43.2,Matches
Auremir,br BRA,MF,29.0,14.3,3,0,0,18,24,2,2,25,18,0,0,0,87,16,11,59.3,Matches
Jonathan Cafu,br BRA,"FW,MF",29.0,14.8,2,0,0,30,34,2,23,6,25,0,0,0,79,24,41,36.9,Matches
Élton Rodrigues Brandão,br BRA,FW,35.0,15.4,5,0,0,29,24,2,4,5,8,0,0,0,43,79,56,58.5,Matches
Alan Empereur,br BRA,DF,26.0,13.3,3,0,0,14,12,0,1,12,2,0,0,0,49,15,13,53.6,Matches
Max,br BRA,FW,19.0,11.1,2,0,0,12,8,5,25,5,7,0,0,0,59,8,14,36.4,Matches
Felipe Marques,br BRA,"MF,FW",31.0,14.1,1,1,0,16,27,13,36,18,8,2,0,0,50,15,23,39.5,Matches
Uillian Correia,br BRA,MF,31.0,10.9,1,0,0,20,8,0,0,11,5,0,0,0,82,5,8,38.5,Matches
Yuri Oliveira Lima,br BRA,MF,26.0,9.6,5,0,0,21,11,0,0,15,3,0,0,0,62,15,11,57.7,Matches
Danilo,br BRA,"FW,MF",21.0,7.6,1,0,0,5,21,3,11,18,6,0,0,0,35,5,9,35.7,Matches
Lucas Ramon,br BRA,DF,26.0,5.4,1,0,0,9,9,1,8,6,7,0,0,0,25,15,10,60.0,Matches
Yesus Cabrera,co COL,"MF,FW",30.0,4.0,1,0,0,7,4,2,6,3,4,0,0,0,20,0,5,0.0,Matches
João Carlos,br BRA,GK,32.0,4.0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,,Matches
Anderson Conceição,br BRA,DF,31.0,4.3,1,1,0,8,1,1,0,11,2,0,0,0,27,10,9,52.6,Matches
Lucas Hernández,uy URU,"DF,MF",28.0,3.6,0,0,0,1,3,0,14,10,1,0,0,0,18,2,3,40.0,Matches
Rafael Elias,br BRA,"FW,MF",21.0,3.2,4,0,0,13,9,0,4,0,2,1,0,0,8,5,6,45.5,Matches
Osman Júnior,br BRA,"FW,MF",28.0,3.4,3,0,0,7,2,2,6,7,4,0,0,0,23,15,23,39.5,Matches
Guilherme Pato,br BRA,"MF,FW",19.0,2.2,1,0,0,6,5,0,8,0,3,0,0,0,19,2,4,33.3,Matches
Gustavo Nescau,br BRA,FW,20.0,0.3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,0.0,Matches
Murilo Rangel,br BRA,FW,29.0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Mota,br BRA,DF,23.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50.0,Matches
Squad Total,,,28.5,38.0,87,6,3,533,535,66,580,413,316,3,3,0,1894,629,611,50.7,
Opponent Total,,,26.6,38.0,74,3,2,568,504,55,850,378,327,2,4,2,1853,611,629,49.3,
