Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Uendel,br BRA,DF,32.0,34.3,1568,1259,305,53,1,16,102,235,17,3,12,0,1223,4,40,Matches
Paulão,br BRA,DF,34.0,33.7,1606,1471,125,112,3,23,0,2,0,0,0,0,1347,10,9,Matches
Walter,br BRA,GK,33.0,34.0,973,597,375,88,0,2,0,0,0,0,0,0,730,1,0,Matches
João Pedro Pepê,br BRA,MF,23.0,28.7,1279,1171,106,49,3,39,57,19,38,16,17,0,1055,2,15,Matches
João Lucas,br BRA,DF,22.0,32.3,1594,1250,341,20,0,4,90,320,1,0,1,0,1139,3,56,Matches
Clayson,br BRA,"MF,FW",25.0,27.8,997,900,88,29,5,6,91,15,41,10,28,0,725,9,40,Matches
Marllon Borges,br BRA,DF,28.0,25.5,1049,975,73,73,0,6,1,0,0,0,0,0,893,1,7,Matches
Camilo,br BRA,MF,21.0,20.9,683,665,17,10,0,12,9,7,0,0,0,0,544,1,16,Matches
Jenison,br BRA,FW,29.0,19.2,455,410,39,1,1,3,9,1,0,0,0,0,297,6,13,Matches
Rafael Gava,br BRA,"MF,FW",27.0,18.9,783,700,78,31,2,11,73,11,36,13,23,0,605,5,11,Matches
Auremir,br BRA,MF,29.0,14.3,539,525,13,13,0,5,2,0,0,0,0,0,438,1,10,Matches
Jonathan Cafu,br BRA,"FW,MF",29.0,14.8,400,393,3,1,3,1,23,2,0,0,0,0,289,4,19,Matches
Élton Rodrigues Brandão,br BRA,FW,35.0,15.4,455,419,31,3,0,0,4,1,0,0,0,0,308,5,7,Matches
Alan Empereur,br BRA,DF,26.0,13.3,568,533,34,32,0,6,1,2,0,0,0,0,480,1,3,Matches
Max,br BRA,FW,19.0,11.1,392,385,3,1,2,5,25,1,0,0,0,0,280,4,6,Matches
Felipe Marques,br BRA,"MF,FW",31.0,14.1,447,437,9,2,1,0,36,5,2,0,0,0,339,1,12,Matches
Uillian Correia,br BRA,MF,31.0,10.9,615,581,33,31,1,14,0,0,0,0,0,0,553,1,5,Matches
Yuri Oliveira Lima,br BRA,MF,26.0,9.6,571,556,14,9,0,2,0,4,0,0,0,0,504,1,5,Matches
Danilo,br BRA,"FW,MF",21.0,7.6,191,189,2,2,0,0,11,0,0,0,0,0,138,0,6,Matches
Lucas Ramon,br BRA,DF,26.0,5.4,265,190,75,5,0,0,8,70,0,0,0,0,172,0,12,Matches
Yesus Cabrera,co COL,"MF,FW",30.0,4.0,183,176,4,4,1,1,6,0,0,0,0,0,154,3,1,Matches
João Carlos,br BRA,GK,32.0,4.0,102,68,34,9,0,0,0,0,0,0,0,0,80,0,0,Matches
Anderson Conceição,br BRA,DF,31.0,4.3,288,277,10,10,0,0,0,0,0,0,0,0,243,1,1,Matches
Lucas Hernández,uy URU,"DF,MF",28.0,3.6,177,139,37,5,0,0,14,29,3,0,3,0,139,1,5,Matches
Rafael Elias,br BRA,"FW,MF",21.0,3.2,68,59,8,1,1,1,4,0,0,0,0,0,45,1,0,Matches
Osman Júnior,br BRA,"FW,MF",28.0,3.4,145,137,8,1,0,1,6,6,1,0,0,0,94,0,4,Matches
Guilherme Pato,br BRA,"MF,FW",19.0,2.2,100,98,2,1,1,0,8,1,0,0,0,0,81,0,4,Matches
Gustavo Nescau,br BRA,FW,20.0,0.3,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
Murilo Rangel,br BRA,FW,29.0,0.2,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches
Mota,br BRA,DF,23.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Squad Total,,,28.5,38.0,16500,14567,1867,596,25,158,580,731,139,42,84,0,12902,66,307,
Opponent Total,,,26.6,38.0,19193,17265,1873,572,34,163,850,756,196,68,95,0,15558,55,286,
