Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Uendel,br BRA,DF,32.0,34.3,0,8,2,25.0,0.23,0.06,0.0,0.0,20.2,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
Paulão,br BRA,DF,34.0,33.7,1,15,5,33.3,0.44,0.15,0.07,0.2,11.1,0,0,0,1.5,1.5,0.1,-0.5,-0.5,Matches
Walter,br BRA,GK,33.0,34.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
João Pedro Pepê,br BRA,MF,23.0,28.7,3,50,13,26.0,1.74,0.45,0.06,0.23,26.3,4,0,0,2.5,2.5,0.05,0.5,0.5,Matches
João Lucas,br BRA,DF,22.0,32.3,0,19,5,26.3,0.59,0.15,0.0,0.0,23.3,0,0,0,1.3,1.3,0.07,-1.3,-1.3,Matches
Clayson,br BRA,"MF,FW",25.0,27.8,2,52,17,32.7,1.87,0.61,0.04,0.12,21.8,4,0,0,4.5,4.5,0.09,-2.5,-2.5,Matches
Marllon Borges,br BRA,DF,28.0,25.5,2,9,2,22.2,0.35,0.08,0.22,1.0,9.7,0,0,0,0.9,0.9,0.1,1.1,1.1,Matches
Camilo,br BRA,MF,21.0,20.9,0,19,4,21.1,0.91,0.19,0.0,0.0,23.2,0,0,0,1.2,1.2,0.06,-1.2,-1.2,Matches
Jenison,br BRA,FW,29.0,19.2,4,35,10,28.6,1.82,0.52,0.11,0.4,14.3,0,0,0,4.8,4.8,0.14,-0.8,-0.8,Matches
Rafael Gava,br BRA,"MF,FW",27.0,18.9,2,36,9,25.0,1.9,0.48,0.06,0.22,21.1,1,0,0,2.0,2.0,0.06,0.0,0.0,Matches
Auremir,br BRA,MF,29.0,14.3,0,7,1,14.3,0.49,0.07,0.0,0.0,23.2,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Jonathan Cafu,br BRA,"FW,MF",29.0,14.8,3,8,4,50.0,0.54,0.27,0.25,0.5,19.8,0,1,1,1.4,0.7,0.08,1.6,1.3,Matches
Élton Rodrigues Brandão,br BRA,FW,35.0,15.4,9,42,14,33.3,2.73,0.91,0.14,0.43,17.0,0,3,3,7.1,4.7,0.11,1.9,1.3,Matches
Alan Empereur,br BRA,DF,26.0,13.3,1,6,2,33.3,0.45,0.15,0.17,0.5,19.1,0,0,0,0.5,0.5,0.09,0.5,0.5,Matches
Max,br BRA,FW,19.0,11.1,1,30,6,20.0,2.71,0.54,0.03,0.17,25.1,0,0,0,1.6,1.6,0.05,-0.6,-0.6,Matches
Felipe Marques,br BRA,"MF,FW",31.0,14.1,2,21,9,42.9,1.49,0.64,0.1,0.22,17.7,0,0,0,3.1,3.1,0.16,-1.1,-1.1,Matches
Uillian Correia,br BRA,MF,31.0,10.9,1,10,5,50.0,0.92,0.46,0.1,0.2,25.8,0,0,0,0.5,0.5,0.05,0.5,0.5,Matches
Yuri Oliveira Lima,br BRA,MF,26.0,9.6,0,6,2,33.3,0.62,0.21,0.0,0.0,15.3,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
Danilo,br BRA,"FW,MF",21.0,7.6,0,13,3,23.1,1.71,0.39,0.0,0.0,22.8,0,0,0,1.1,1.1,0.09,-1.1,-1.1,Matches
Lucas Ramon,br BRA,DF,26.0,5.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Yesus Cabrera,co COL,"MF,FW",30.0,4.0,0,5,2,40.0,1.24,0.49,0.0,0.0,23.2,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
João Carlos,br BRA,GK,32.0,4.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Anderson Conceição,br BRA,DF,31.0,4.3,0,2,0,0.0,0.46,0.0,0.0,,10.0,0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matches
Lucas Hernández,uy URU,"DF,MF",28.0,3.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Rafael Elias,br BRA,"FW,MF",21.0,3.2,1,6,2,33.3,1.89,0.63,0.17,0.5,12.2,0,0,0,0.6,0.6,0.11,0.4,0.4,Matches
Osman Júnior,br BRA,"FW,MF",28.0,3.4,0,7,4,57.1,2.03,1.16,0.0,0.0,18.0,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
Guilherme Pato,br BRA,"MF,FW",19.0,2.2,0,7,3,42.9,3.13,1.34,0.0,0.0,18.9,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Gustavo Nescau,br BRA,FW,20.0,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Murilo Rangel,br BRA,FW,29.0,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Mota,br BRA,DF,23.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,28.5,38.0,32,413,124,30.0,10.87,3.26,0.07,0.23,20.3,9,4,4,36.6,33.4,0.08,-4.6,-5.4,
Opponent Total,,,26.6,38.0,37,500,151,30.2,13.16,3.97,0.07,0.24,18.5,16,1,3,45.5,43.1,0.09,-8.5,-7.1,
