Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Marllon Borges,br BRA,DF,29.0,34,3005.0,88.0,87.9,33.4,34,88.0,32,0,,3,1.18,27.0,33.0,-6.0,-0.18,0.9,37.2,38.0,-0.8,-0.02,1.28,Matches
Walter,br BRA,GK,34.0,28,2469.0,88.0,72.2,27.4,28,88.0,27,0,,2,1.18,21.0,26.0,-5.0,-0.18,0.39,32.5,31.9,0.5,0.02,0.71,Matches
João Pedro Pepê,br BRA,MF,24.0,30,2318.0,77.0,67.8,25.8,27,82.0,19,3,30.0,0,1.0,21.0,27.0,-6.0,-0.23,0.18,28.2,31.5,-3.3,-0.13,0.16,Matches
Alan Empereur,br BRA,DF,27.0,28,2221.0,79.0,64.9,24.7,25,88.0,22,3,7.0,0,1.21,22.0,29.0,-7.0,-0.28,0.02,26.4,36.3,-9.9,-0.4,-0.63,Matches
Joaquim,br BRA,DF,23.0,25,2148.0,86.0,62.8,23.9,24,89.0,23,1,4.0,12,1.04,21.0,26.0,-5.0,-0.21,0.22,27.3,29.5,-2.2,-0.09,0.23,Matches
João Lucas,br BRA,"DF,MF",23.0,31,2139.0,69.0,62.5,23.8,24,82.0,16,7,23.0,1,1.19,13.0,24.0,-11.0,-0.46,-0.46,22.1,27.4,-5.2,-0.22,-0.11,Matches
Rafael Gava,br BRA,MF,28.0,29,2044.0,70.0,59.8,22.7,24,80.0,7,5,23.0,7,1.1,20.0,20.0,0.0,0.0,0.72,23.2,22.8,0.4,0.02,0.49,Matches
André Luis,br BRA,"FW,MF",24.0,33,1838.0,56.0,53.7,20.4,22,68.0,1,11,31.0,1,1.09,17.0,22.0,-5.0,-0.24,0.1,21.9,25.9,-4.0,-0.19,-0.03,Matches
Camilo,br BRA,MF,22.0,24,1664.0,69.0,48.7,18.5,17,85.0,14,7,30.0,1,1.04,13.0,22.0,-9.0,-0.49,-0.38,19.8,20.0,-0.3,-0.01,0.32,Matches
Valdívia,br BRA,"MF,FW",27.0,27,1384.0,51.0,40.5,15.4,17,68.0,1,10,23.0,1,0.89,11.0,17.0,-6.0,-0.39,-0.17,16.4,17.8,-1.4,-0.09,0.15,Matches
Rodriguinho Marinho,br BRA,"FW,MF",33.0,33,1481.0,45.0,43.3,16.5,16,69.0,3,17,22.0,3,1.03,14.0,21.0,-7.0,-0.43,-0.24,16.3,19.8,-3.4,-0.21,-0.05,Matches
Uendel,br BRA,DF,33.0,16,1320.0,83.0,38.6,14.7,15,87.0,12,1,15.0,0,1.06,11.0,15.0,-4.0,-0.27,0.03,16.2,17.1,-0.9,-0.06,0.19,Matches
Deyverson,br BRA,FW,30.0,16,1269.0,79.0,37.1,14.1,15,83.0,6,1,25.0,0,1.13,15.0,17.0,-2.0,-0.14,0.23,17.5,20.8,-3.2,-0.23,-0.08,Matches
Igor Cariús,br BRA,"DF,MF",28.0,17,1159.0,68.0,33.9,12.9,14,80.0,8,3,15.0,12,1.18,12.0,13.0,-1.0,-0.08,0.32,13.4,16.6,-3.2,-0.25,-0.1,Matches
Marcão Silva,br BRA,"MF,DF",31.0,26,1265.0,49.0,37.0,14.1,11,87.0,9,15,20.0,10,1.23,11.0,14.0,-3.0,-0.21,0.12,16.8,21.6,-4.7,-0.34,-0.25,Matches
Alesson,br BRA,"MF,FW",22.0,21,1024.0,49.0,29.9,11.4,11,67.0,0,10,29.0,5,1.05,12.0,10.0,2.0,0.18,0.66,14.5,11.2,3.2,0.28,0.66,Matches
Felipe Marques,br BRA,"FW,MF",32.0,24,954.0,40.0,27.9,10.6,10,63.0,0,14,23.0,6,1.17,5.0,7.0,-2.0,-0.19,0.14,11.6,13.1,-1.5,-0.14,0.06,Matches
João Carlos,br BRA,GK,33.0,11,951.0,86.0,27.8,10.6,10,90.0,10,1,51.0,27,0.82,10.0,16.0,-6.0,-0.57,-0.39,8.6,15.9,-7.4,-0.7,-0.71,Matches
Kelvin Osorio,co COL,"MF,DF",28.0,18,945.0,53.0,27.6,10.5,10,75.0,3,8,25.0,13,0.89,5.0,11.0,-6.0,-0.57,-0.39,9.7,12.0,-2.2,-0.21,-0.05,Matches
André,br BRA,FW,31.0,17,728.0,43.0,21.3,8.1,10,62.0,0,7,15.0,7,1.18,6.0,8.0,-2.0,-0.25,0.05,7.6,8.3,-0.8,-0.1,0.1,Matches
Daniel Guedes,br BRA,"DF,MF",27.0,14,796.0,57.0,23.3,8.8,9,75.0,3,5,24.0,14,1.07,9.0,15.0,-6.0,-0.68,-0.51,9.7,13.2,-3.4,-0.39,-0.27,Matches
Paulão,br BRA,DF,35.0,14,720.0,51.0,21.1,8.0,8,79.0,6,6,15.0,23,1.36,5.0,12.0,-7.0,-0.87,-0.74,7.9,12.1,-4.3,-0.53,-0.45,Matches
Denilson,br BRA,MF,20.0,12,701.0,58.0,20.5,7.8,8,81.0,5,4,14.0,5,1.0,9.0,13.0,-4.0,-0.51,-0.28,9.1,14.1,-4.9,-0.63,-0.57,Matches
Gabriel Pirani,br BRA,"MF,FW",19.0,10,440.0,44.0,12.9,4.9,5,61.0,1,5,27.0,8,1.1,3.0,6.0,-3.0,-0.61,-0.37,4.5,5.0,-0.5,-0.1,0.09,Matches
Éverton,br BRA,"MF,FW",33.0,7,400.0,57.0,11.7,4.4,5,71.0,0,2,24.0,2,1.14,2.0,6.0,-4.0,-0.9,-0.69,3.4,6.4,-3.0,-0.66,-0.55,Matches
Jonathan Cafu,br BRA,"DF,MF",30.0,14,561.0,40.0,16.4,6.2,4,79.0,0,10,24.0,17,0.86,7.0,8.0,-1.0,-0.16,0.15,8.2,10.8,-2.6,-0.42,-0.29,Matches
Sidcley,br BRA,"DF,MF",28.0,7,333.0,48.0,9.7,3.7,4,64.0,1,3,26.0,5,1.29,4.0,2.0,2.0,0.54,0.92,4.4,4.6,-0.1,-0.04,0.16,Matches
Jenison,br BRA,FW,30.0,10,326.0,33.0,9.5,3.6,3,63.0,0,7,19.0,5,0.4,2.0,4.0,-2.0,-0.55,-0.29,3.6,5.4,-1.9,-0.51,-0.37,Matches
Cristian Rivas,ve VEN,MF,25.0,5,215.0,43.0,6.3,2.4,3,61.0,0,2,17.0,14,0.6,3.0,4.0,-1.0,-0.42,-0.14,2.7,3.2,-0.5,-0.21,-0.03,Matches
Élton Rodrigues Brandão,br BRA,FW,36.0,8,296.0,37.0,8.7,3.3,2,61.0,0,6,29.0,3,1.13,3.0,3.0,0.0,0.0,0.32,4.5,3.9,0.6,0.19,0.4,Matches
Marquinhos,br BRA,"FW,MF",25.0,6,198.0,33.0,5.8,2.2,2,52.0,0,4,24.0,4,0.83,2.0,6.0,-4.0,-1.82,-1.62,2.1,2.8,-0.7,-0.32,-0.15,Matches
Lucas Moreira,br BRA,"MF,FW",21.0,4,130.0,33.0,3.8,1.4,1,58.0,0,3,24.0,11,1.5,1.0,0.0,1.0,0.69,1.02,1.9,0.8,1.1,0.74,0.96,Matches
Gustavo Nescau,br BRA,FW,21.0,3,30.0,10.0,0.9,0.3,0,,0,3,10.0,8,1.33,1.0,1.0,0.0,0.0,0.29,0.2,1.8,-1.6,-4.7,-4.56,Matches
Rikelme,br BRA,DF,18.0,1,17.0,17.0,0.5,0.2,0,,0,1,17.0,2,0.0,0.0,0.0,0.0,0.0,0.29,0.7,0.0,0.7,3.54,3.74,Matches
Vinícius Boff,br BRA,MF,22.0,1,10.0,10.0,0.3,0.1,0,,0,1,10.0,9,3.0,1.0,0.0,1.0,9.0,9.32,0.0,0.7,-0.6,-5.64,-5.48,Matches
Ricardo Cerqueira,br BRA,FW,19.0,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
Alexandre Melo,br BRA,DF,22.0,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Vinicius Melo,br BRA,GK,22.0,0,,,,,0,,0,0,,11,,,,,,,,,,,,Matches
Juan Ojeda,py PAR,DF,23.0,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Peruchi,br BRA,GK,18.0,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
Squad Total,,,28.3,38,3420.0,90.0,100.0,38.0,418,80.0,229,186,23.0,267,1.08,31.0,42.0,-11.0,-0.29,,41.0,47.8,-6.8,-0.18,,
Opponent Total,,,27.5,38,3420.0,90.0,100.0,38.0,418,80.0,232,180,25.0,264,1.63,42.0,31.0,11.0,0.29,,47.8,41.0,6.8,0.18,,
