Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2022-04-07,18:15,Sudamericana,Group stage,Thu,Home,W,2,0,pe Melgar,,,44,,Walter,4-2-3-1,4-3-3,Ivo Méndez,Match Report,
2022-04-10,18:00,Série A,Matchweek 1,Sun,Away,W,1,0,Fortaleza,0.4,1.4,35,18279.0,Rodriguinho Marinho,4-4-2,3-5-2,Felipe Fernandes de Lima,Match Report,
2022-04-13,19:15,Sudamericana,Group stage,Wed,Away,L,0,2,ar Racing Club,,,37,,Rodriguinho Marinho,4-2-3-1,4-3-3,Mario Díaz de Vivar,Match Report,
2022-04-16,20:00,Série A,Matchweek 2,Sat,Home,L,0,1,Fluminense,0.2,0.7,39,10791.0,Paulão,4-4-2,4-3-3,Savio Pereira,Match Report,
2022-04-24,18:00,Série A,Matchweek 3,Sun,Away,W,1,0,Juventude,1.5,1.8,42,3920.0,Walter,4-4-2,4-2-3-1,Paulo Roberto Alves Júnior,Match Report,
2022-04-27,18:15,Sudamericana,Group stage,Wed,Home,L,1,2,uy River Plate,,,69,,Rodriguinho Marinho,4-2-3-1,5-3-2,Cristián Garay,Match Report,
2022-04-30,18:00,Série A,Matchweek 4,Sat,Home,D,1,1,Atl Goianiense,2.4,1.2,51,4517.0,Walter,4-2-3-1,4-2-3-1,Douglas Marques das Flores,Match Report,
2022-05-03,18:15,Sudamericana,Group stage,Tue,Home,L,1,2,ar Racing Club,,,31,,Walter,4-2-3-1,4-3-3,Guillermo Guerrero,Match Report,
2022-05-08,18:00,Série A,Matchweek 5,Sun,Away,L,1,4,Santos,1.4,2.2,52,7256.0,Walter,4-2-3-1,4-2-3-1,Braulio da Silva Machado,Match Report,
2022-05-15,16:00,Série A,Matchweek 6,Sun,Away,L,1,2,São Paulo,1.1,2.4,27,27511.0,Walter,4-2-3-1,4-1-2-1-2,Alexandre Vargas Tavares de Jesus,Match Report,
2022-05-18,19:15,Sudamericana,Group stage,Wed,Away,W,2,1,uy River Plate,,,55,,Rafael Gava,4-2-3-1,5-3-2,Álex Cajas,Match Report,
2022-05-21,20:00,Série A,Matchweek 7,Sat,Home,D,1,1,Internacional,0.9,1.4,43,7968.0,Walter,4-2-3-1,4-4-1-1,Ramon Abatti Abel,Match Report,
2022-05-26,17:15,Sudamericana,Group stage,Thu,Away,L,1,3,pe Melgar,,,43,,Rafael Gava,4-4-2,4-2-3-1,Jhon Hinestroza,Match Report,
2022-05-29,17:00,Série A,Matchweek 8,Sun,Home,L,0,1,Ath Paranaense,0.6,1.3,58,4539.0,Walter,4-2-3-1,4-2-3-1,Wagner do Nascimento Magalhães,Match Report,
2022-06-04,16:30,Série A,Matchweek 9,Sat,Away,L,1,2,América (MG),0.4,0.8,49,2720.0,Uendel,4-2-3-1,4-1-4-1,Raphael Claus,Match Report,
2022-06-07,20:30,Série A,Matchweek 10,Tue,Home,W,1,0,Corinthians,0.8,0.6,39,22129.0,Uendel,4-2-3-1,3-4-3,Marcelo de Lima Henrique,Match Report,
2022-06-11,18:00,Série A,Matchweek 11,Sat,Home,D,1,1,RB Bragantino,1.8,0.9,44,4476.0,Walter,4-3-3,4-2-3-1,Paulo Roberto Alves Júnior,Match Report,
2022-06-15,20:30,Série A,Matchweek 12,Wed,Away,L,0,2,Flamengo,0.2,1.7,38,43930.0,Walter,4-4-2,4-3-3,Savio Pereira,Match Report,
2022-06-18,18:00,Série A,Matchweek 13,Sat,Home,D,0,0,Ceará,0.6,0.5,46,7512.0,Walter,4-4-2,4-3-3,Flavio Rodrigues De Souza,Match Report,
2022-06-26,18:00,Série A,Matchweek 14,Sun,Away,L,0,1,Goiás,1.1,0.9,54,8871.0,Walter,4-3-3,3-4-3,Rodolpho Toski Marques,Match Report,
2022-07-03,11:00,Série A,Matchweek 15,Sun,Away,W,2,1,Avaí,1.4,1.1,41,13103.0,Walter,4-1-4-1,4-3-3,Jean Pierre Goncalves Lima,Match Report,
2022-07-10,18:00,Série A,Matchweek 16,Sun,Home,W,2,0,Botafogo (RJ),1.2,0.2,47,14719.0,Walter,4-1-4-1,3-4-3,Jefferson Ferreira de Moraes,Match Report,
2022-07-18,20:00,Série A,Matchweek 17,Mon,Away,L,0,1,Palmeiras,0.2,1.5,39,39033.0,Walter,3-4-3,4-2-3-1,Anderson Daronco,Match Report,
2022-07-21,18:00,Série A,Matchweek 18,Thu,Home,D,1,1,Atlético Mineiro,1.9,0.8,32,18584.0,Walter,4-1-4-1,4-2-3-1,Jean Pierre Goncalves Lima,Match Report,
2022-07-25,20:00,Série A,Matchweek 19,Mon,Away,L,0,1,Coritiba,0.3,0.4,58,19181.0,Walter,4-1-4-1,4-2-3-1,Braulio da Silva Machado,Match Report,
2022-07-31,17:00,Série A,Matchweek 20,Sun,Home,L,0,1,Fortaleza,1.4,0.6,56,9567.0,Walter,4-1-4-1,4-4-2,Paulo Cesar Zanovelli da Silva,Match Report,
