Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 19_level_0,Unnamed: 20_level_0,Expected,Expected,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0
Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Marllon Borges,br BRA,DF,30.0,36.0,1265,1464,86.4,25410,10291,377,427,88.3,717,774,92.6,157,226,69.5,1,0.7,0.2,0.3,4,61,1,0,87,Matches
Walter,br BRA,GK,35.0,35.0,699,934,74.8,21016,15568,111,112,99.1,313,317,98.7,273,500,54.6,0,0.0,0.0,0.0,0,19,0,0,0,Matches
Deyverson,br BRA,FW,31.0,32.3,380,671,56.6,6067,1620,200,322,62.1,124,215,57.7,36,66,54.5,2,2.7,1.4,-0.7,34,46,11,0,73,Matches
Raniele,br BRA,"MF,DF",26.0,32.1,827,1102,75.0,15384,4653,309,389,79.4,417,502,83.1,82,144,56.9,1,0.9,1.4,0.1,14,85,10,2,105,Matches
Matheus Alexandre,br BRA,DF,23.0,33.1,1212,1543,78.5,19566,8008,589,652,90.3,527,672,78.4,75,135,55.6,0,1.2,1.7,-1.2,13,107,16,10,108,Matches
Alan Empereur,br BRA,DF,28.0,32.8,1426,1670,85.4,29673,13237,495,545,90.8,707,758,93.3,215,340,63.2,1,0.8,1.2,0.2,7,139,7,2,139,Matches
Rikelme,br BRA,DF,19.0,26.0,760,1068,71.2,12183,5529,409,467,87.6,279,387,72.1,55,148,37.2,1,1.4,1.6,-0.4,18,57,21,13,80,Matches
Denilson,br BRA,MF,21.0,21.2,888,1087,81.7,16001,4004,410,446,91.9,344,403,85.4,112,185,60.5,3,2.7,2.7,0.3,44,111,33,5,128,Matches
Jonathan Cafu,br BRA,"FW,MF",31.0,19.0,399,557,71.6,5793,1263,218,273,79.9,140,183,76.5,19,42,45.2,3,1.0,1.5,2.0,21,29,16,5,50,Matches
Clayson,br BRA,"FW,MF",27.0,18.2,433,632,68.5,7041,2054,227,257,88.3,140,183,76.5,44,116,37.9,2,1.9,2.8,0.1,25,42,17,3,70,Matches
Fernando Sobral,br BRA,MF,28.0,21.1,702,925,75.9,11799,3530,354,402,88.1,242,314,77.1,79,137,57.7,2,1.4,1.6,0.6,15,100,24,5,104,Matches
Allyson Aires dos Santos,br BRA,DF,32.0,12.6,452,503,89.9,8413,3156,176,186,94.6,222,239,92.9,50,70,71.4,0,0.0,0.1,0.0,1,15,1,0,17,Matches
Wellington Silva,br BRA,FW,30.0,14.8,317,409,77.5,5194,1275,169,195,86.7,119,148,80.4,23,39,59.0,2,2.7,2.8,-0.7,24,32,15,2,49,Matches
Pablo Ceppelini,uy URU,MF,31.0,11.1,454,615,73.8,8352,2671,208,228,91.2,167,219,76.3,69,145,47.6,3,2.2,2.3,0.8,30,63,11,6,74,Matches
Filipe Augusto,br BRA,MF,29.0,11.8,696,799,87.1,12969,3582,259,288,89.9,351,378,92.9,73,103,70.9,0,0.9,1.3,-0.9,13,68,4,3,78,Matches
Isidro Pitta,py PAR,FW,23.0,9.1,156,237,65.8,2058,380,92,122,75.4,45,70,64.3,6,14,42.9,1,0.4,0.6,0.6,6,9,7,1,22,Matches
Lucas Mineiro,br BRA,MF,26.0,6.8,185,225,82.2,3048,810,91,103,88.3,76,88,86.4,15,22,68.2,0,0.4,0.2,-0.4,6,21,3,1,21,Matches
Derik Lacerda,br BRA,"FW,MF",23.0,7.3,129,164,78.7,2077,398,68,81,84.0,52,59,88.1,7,15,46.7,1,1.3,0.3,-0.3,8,10,4,0,18,Matches
Patric Calmon PK,br BRA,DF,28.0,5.8,209,288,72.6,3438,1556,114,130,87.7,80,117,68.4,14,32,43.8,0,0.3,0.7,-0.3,5,22,7,6,29,Matches
Emerson Negueba,br BRA,FW,22.0,5.4,107,143,74.8,1289,291,64,75,85.3,31,42,73.8,1,6,16.7,0,0.0,0.1,0.0,1,5,1,0,11,Matches
Matheusinho,br BRA,DF,24.0,4.8,170,232,73.3,2520,1245,101,113,89.4,58,76,76.3,8,34,23.5,0,0.5,0.2,-0.5,6,14,5,3,24,Matches
Ronald,br BRA,MF,25.0,6.5,284,353,80.5,4457,1340,142,166,85.5,110,127,86.6,21,39,53.8,1,1.0,1.0,0.0,12,30,11,4,49,Matches
Iury de Castilho,br BRA,FW,27.0,4.4,56,85,65.9,791,205,34,42,81.0,16,20,80.0,4,10,40.0,0,0.2,0.3,-0.2,3,5,2,1,9,Matches
Uendel,br BRA,DF,34.0,4.0,109,146,74.7,1779,755,64,70,91.4,35,45,77.8,10,24,41.7,0,0.0,0.1,0.0,0,8,3,3,8,Matches
João Carlos,br BRA,GK,34.0,3.0,51,66,77.3,1637,1264,7,7,100.0,20,20,100.0,24,39,61.5,0,0.0,0.0,0.0,0,1,0,0,0,Matches
Nicolás Quagliata,uy URU,"FW,MF",23.0,2.6,111,147,75.5,1641,454,70,77,90.9,35,43,81.4,5,16,31.3,0,0.4,0.3,-0.4,6,8,1,1,7,Matches
Pablinho,br BRA,FW,19.0,0.4,6,7,85.7,64,18,4,5,80.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,1,Matches
