Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Marllon Borges,br BRA,DF,30.0,36.0,1776,248,880,874,28,19,1776,8,6,75.0,2,25.0,925,4258,2651,12,3,0,12,1,1070,1,Matches
Walter,br BRA,GK,35.0,35.0,979,864,977,2,0,0,979,0,0,,0,,477,2966,2249,0,0,0,0,0,320,0,Matches
Deyverson,br BRA,FW,31.0,32.3,980,44,99,452,439,151,976,55,24,43.6,23,41.8,456,1689,660,18,13,12,77,25,697,153,Matches
Raniele,br BRA,"MF,DF",26.0,32.1,1514,141,434,901,207,34,1514,33,14,42.4,12,36.4,769,4181,2091,37,28,4,37,17,865,38,Matches
Matheus Alexandre,br BRA,DF,23.0,33.1,1867,102,604,908,364,24,1867,38,19,50.0,17,44.7,868,4249,2300,41,23,5,37,20,955,97,Matches
Alan Empereur,br BRA,DF,28.0,32.8,1912,224,891,963,69,16,1912,9,9,100.0,0,0.0,1090,6446,4323,30,16,2,21,8,1248,7,Matches
Rikelme,br BRA,DF,19.0,26.0,1375,101,434,605,344,17,1375,18,9,50.0,8,44.4,595,2432,1261,22,23,4,28,9,690,97,Matches
Denilson,br BRA,MF,21.0,21.2,1301,16,185,777,363,16,1301,55,38,69.1,10,18.2,808,4406,1771,34,41,6,41,35,928,63,Matches
Jonathan Cafu,br BRA,"FW,MF",31.0,19.0,777,10,80,329,380,48,777,57,26,45.6,24,42.1,487,2557,1070,39,17,10,65,33,554,169,Matches
Clayson,br BRA,"FW,MF",27.0,18.2,819,8,100,334,398,42,816,46,13,28.3,25,54.3,495,3030,1515,51,31,13,35,21,578,124,Matches
Fernando Sobral,br BRA,MF,28.0,21.1,1177,29,225,630,333,13,1177,40,24,60.0,8,20.0,674,4022,2084,55,44,4,29,24,786,76,Matches
Allyson Aires dos Santos,br BRA,DF,32.0,12.6,626,105,346,271,12,7,626,4,4,100.0,0,0.0,336,1695,879,5,0,0,13,0,368,0,Matches
Wellington Silva,br BRA,FW,30.0,14.8,596,12,88,223,305,53,596,89,51,57.3,26,29.2,383,3310,1794,64,53,20,32,9,405,108,Matches
Pablo Ceppelini,uy URU,MF,31.0,11.1,699,12,78,331,299,10,699,7,3,42.9,4,57.1,344,1385,742,23,21,1,12,6,419,58,Matches
Filipe Augusto,br BRA,MF,29.0,11.8,929,45,213,594,124,3,929,26,17,65.4,5,19.2,494,2738,1194,9,17,0,17,19,656,16,Matches
Isidro Pitta,py PAR,FW,23.0,9.1,319,9,30,125,167,41,318,17,8,47.1,8,47.1,215,1217,543,23,18,13,26,19,282,80,Matches
Lucas Mineiro,br BRA,MF,26.0,6.8,282,11,38,168,79,8,282,8,4,50.0,3,37.5,141,721,303,5,2,1,8,3,187,24,Matches
Derik Lacerda,br BRA,"FW,MF",23.0,7.3,250,2,40,90,128,22,250,32,16,50.0,9,28.1,172,1353,712,19,23,6,17,12,191,51,Matches
Patric Calmon PK,br BRA,DF,28.0,5.8,351,16,91,156,110,6,351,8,6,75.0,1,12.5,163,955,561,14,9,1,7,1,185,30,Matches
Emerson Negueba,br BRA,FW,22.0,5.4,216,3,23,92,109,19,216,18,10,55.6,8,44.4,140,895,391,9,11,2,17,8,156,50,Matches
Matheusinho,br BRA,DF,24.0,4.8,288,19,81,134,76,8,288,8,5,62.5,2,25.0,131,680,436,11,10,2,13,1,160,20,Matches
Ronald,br BRA,MF,25.0,6.5,449,13,76,215,166,11,449,17,8,47.1,7,41.2,258,1742,855,25,24,1,18,15,296,22,Matches
Iury de Castilho,br BRA,FW,27.0,4.4,148,1,19,58,76,16,148,21,14,66.7,5,23.8,87,723,292,11,8,2,12,4,91,26,Matches
Uendel,br BRA,DF,34.0,4.0,170,14,42,76,55,1,170,3,0,0.0,3,100.0,81,336,224,6,3,0,2,1,97,10,Matches
João Carlos,br BRA,GK,34.0,3.0,72,67,72,0,0,0,72,0,0,,0,,34,171,138,0,0,0,0,0,22,0,Matches
Nicolás Quagliata,uy URU,"FW,MF",23.0,2.6,180,3,27,64,92,10,180,19,9,47.4,7,36.8,116,650,343,13,10,3,5,2,128,28,Matches
Pablinho,br BRA,FW,19.0,0.4,13,0,1,10,3,0,13,1,0,0.0,1,100.0,7,65,2,0,1,0,2,0,8,1,Matches
Rafael Gava,br BRA,MF,29.0,0.2,7,0,3,2,2,0,7,0,0,,0,,4,25,20,1,1,0,0,0,4,0,Matches
Vitão,br BRA,DF,22.0,0.1,2,2,2,0,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
Ricardo Cerqueira,br BRA,MF,20.0,0.1,4,0,0,4,0,0,4,0,0,,0,,4,24,13,0,1,0,0,0,4,0,Matches
Squad Total,,,28.1,38.0,20078,2121,6179,9388,4728,595,20070,637,337,52.9,218,34.2,10754,58921,31417,577,451,112,583,293,12350,1349,
Opponent Total,,,27.6,38.0,24499,2291,7151,11576,5978,713,24495,832,441,53.0,330,39.7,14206,73657,36090,639,521,134,519,315,16951,1739,
