Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Walter,br BRA,GK,36.0,36.0,7,0.19,5,2,0,0,0,0,2,0.06,1,1,0,0,0,0,Matches
Marllon Borges,br BRA,DF,31.0,32.0,17,0.53,14,1,0,1,1,0,1,0.03,0,0,0,0,1,0,Matches
Isidro Pitta,py PAR,FW,24.0,31.5,70,2.22,54,1,5,5,5,0,6,0.19,3,0,1,1,1,0,Matches
Ramon,br BRA,DF,22.0,29.3,56,1.91,43,7,4,1,0,1,1,0.03,1,0,0,0,0,0,Matches
Alan Empereur,br BRA,DF,29.0,28.3,31,1.09,24,5,0,2,0,0,1,0.04,1,0,0,0,0,0,Matches
Matheus Alexandre,br BRA,DF,24.0,27.4,33,1.21,27,4,1,0,0,1,1,0.04,0,1,0,0,0,0,Matches
Clayson,br BRA,"FW,MF",28.0,22.7,55,2.42,36,11,2,0,6,0,8,0.35,4,1,1,0,2,0,Matches
Lucas Mineiro,br BRA,MF,27.0,26.0,30,1.16,25,0,1,3,1,0,2,0.08,1,0,0,1,0,0,Matches
Denilson,br BRA,MF,22.0,22.4,72,3.21,56,5,6,3,1,1,8,0.36,7,0,1,0,0,0,Matches
Fernando Sobral,br BRA,MF,29.0,22.2,52,2.34,41,8,1,1,0,1,3,0.13,2,1,0,0,0,0,Matches
Bruno Fabiano Alves,br BRA,DF,32.0,22.4,10,0.45,6,1,0,1,1,1,1,0.04,1,0,0,0,0,0,Matches
Max,br BRA,MF,22.0,13.5,44,3.25,27,11,2,1,3,0,5,0.37,3,2,0,0,0,0,Matches
Derik Lacerda,br BRA,"FW,MF",24.0,15.8,34,2.15,20,0,6,2,5,1,1,0.06,0,0,0,1,0,0,Matches
Jonathan Cafu,br BRA,"FW,MF",32.0,15.5,37,2.4,26,0,6,1,3,1,3,0.19,2,0,0,1,0,0,Matches
Lucas Fernandes,br BRA,"MF,FW",26.0,11.5,30,2.6,20,7,0,1,2,0,1,0.09,1,0,0,0,0,0,Matches
Railan,br BRA,"DF,MF",23.0,13.3,25,1.87,17,1,2,4,1,0,2,0.15,1,0,0,1,0,0,Matches
Filipe Augusto,br BRA,MF,30.0,9.4,9,0.96,7,0,1,1,0,0,1,0.11,1,0,0,0,0,0,Matches
Gustavo Sauer,br BRA,"FW,MF",30.0,5.6,12,2.15,9,0,2,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Rikelme,br BRA,DF,20.0,5.5,6,1.09,5,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Juan Pablo,br BRA,DF,21.0,3.8,4,1.06,3,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Eliel Chrystian,br BRA,"FW,MF",21.0,5.7,10,1.76,4,0,0,1,5,0,0,0.0,0,0,0,0,0,0,Matches
Gabriel Knesowitsch,br BRA,DF,20.0,3.2,4,1.25,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
André Luis,br BRA,"FW,MF",26.0,5.5,12,2.16,8,0,2,0,2,0,0,0.0,0,0,0,0,0,0,Matches
Deyverson,br BRA,FW,32.0,2.4,2,0.82,1,0,1,0,0,0,1,0.41,0,0,1,0,0,0,Matches
Mateus Pasinato,br BRA,GK,31.0,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jadson,br BRA,"FW,MF",18.0,1.7,3,1.82,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Allyson Aires dos Santos,br BRA,DF,33.0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Guilherme Madruga,br BRA,"MF,FW",23.0,1.2,5,4.33,3,0,1,1,0,0,1,0.87,1,0,0,0,0,0,Matches
Luciano Giménez,ar ARG,"FW,MF",23.0,0.8,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Eduardo Vinícius,br BRA,MF,18.0,0.2,1,4.5,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
David,br BRA,"MF,FW",16.0,0.1,4,27.69,2,0,1,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Kauan,br BRA,"FW,MF",18.0,0.1,1,12.86,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,27.8,38.0,676,17.79,491,66,44,30,37,8,49,1.29,30,6,4,5,4,0,
Opponent Total,,,27.5,38.0,988,26.0,729,110,35,59,46,9,87,2.29,58,5,4,10,9,1,
