Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Unnamed: 17_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
Léo Moura,br BRA,"DF,MF",35.0,31.1,5,1,0,,,,,,,,,0,Matches
Wallace Reis,br BRA,DF,26.0,29.2,4,0,0,,,,,,,,,0,Matches
Márcio Araújo,br BRA,"DF,MF",29.0,28.6,2,0,0,,,,,,,,,0,Matches
Paulo Victor Vidotti,br BRA,GK,27.0,29.0,1,0,0,,,,,,,,,0,Matches
Éverton,br BRA,MF,25.0,27.1,5,0,0,,,,,,,,,0,Matches
Alecsandro,br BRA,FW,32.0,21.4,6,0,0,,,,,,,,,0,Matches
Héctor Canteros,ar ARG,MF,24.0,22.5,6,0,0,,,,,,,,,0,Matches
João Paulo,br BRA,DF,27.0,22.6,3,0,0,,,,,,,,,0,Matches
Víctor Cáceres,py PAR,"DF,MF",28.0,17.9,11,1,1,,,,,,,,,0,Matches
Luiz Antônio,br BRA,"DF,MF",22.0,17.1,2,0,0,,,,,,,,,0,Matches
Samir Santos,br BRA,DF,19.0,15.0,2,0,0,,,,,,,,,0,Matches
Marcelo,br BRA,DF,22.0,16.1,2,0,0,,,,,,,,,0,Matches
Chicão,br BRA,DF,32.0,16.0,2,1,0,,,,,,,,,0,Matches
Paulinho,br BRA,"FW,MF",25.0,11.3,1,0,0,,,,,,,,,0,Matches
Lucas Mugni,ar ARG,MF,22.0,13.9,2,0,0,,,,,,,,,0,Matches
Gabriel,br BRA,"FW,MF",24.0,11.6,1,0,0,,,,,,,,,0,Matches
Eduardo da Silva,hr CRO,FW,30.0,9.8,0,0,0,,,,,,,,,0,Matches
Nixon,br BRA,FW,21.0,9.8,0,0,0,,,,,,,,,0,Matches
Amaral,br BRA,MF,25.0,8.7,5,0,0,,,,,,,,,0,Matches
Felipe,br BRA,GK,29.0,8.0,0,0,0,,,,,,,,,0,Matches
André Santos,br BRA,"DF,MF",30.0,7.7,2,0,0,,,,,,,,,0,Matches
Anderson Pico,br BRA,DF,25.0,7.5,0,0,0,,,,,,,,,0,Matches
Recife,br BRA,MF,19.0,4.7,0,0,0,,,,,,,,,0,Matches
Élton Rodrigues Brandão,br BRA,FW,28.0,5.7,0,0,0,,,,,,,,,0,Matches
Arthur,br BRA,"FW,MF",21.0,4.5,0,0,0,,,,,,,,,0,Matches
Negueba,br BRA,"FW,MF",21.0,5.3,1,0,0,,,,,,,,,0,Matches
Muralha,br BRA,MF,21.0,4.4,1,0,0,,,,,,,,,0,Matches
Elano,br BRA,MF,32.0,2.5,2,0,0,,,,,,,,,0,Matches
Leonardo Morais,br BRA,DF,22.0,2.7,3,0,0,,,,,,,,,0,Matches
Frickson Erazo,ec ECU,DF,25.0,1.1,0,0,0,,,,,,,,,0,Matches
César,br BRA,GK,22.0,0.6,0,1,0,,,,,,,,,0,Matches
Hernane,br BRA,FW,27.0,0.5,0,0,0,,,,,,,,,0,Matches
Igor Sartori,br BRA,FW,21.0,1.4,0,0,0,,,,,,,,,0,Matches
Mattheus Oliveira,br BRA,"FW,MF",19.0,0.5,0,0,0,,,,,,,,,0,Matches
Fernando,br BRA,DF,20.0,0.5,0,0,0,,,,,,,,,0,Matches
Daniel,br BRA,GK,18.0,0.4,0,0,0,,,,,,,,,0,Matches
Squad Total,,,27.0,38.0,69,4,1,,,,,,,,,0,
Opponent Total,,,26.2,38.0,81,6,2,,,,,,,,,2,
