Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2016-05-14,16:00,Série A,Matchweek 1,Sat,Home,W,1,0,Sport Recife,56.0,9382.0,,4-3-3,4-2-3-1,Marcelo Aparecido Ribeiro De Souza,Match Report,
2016-05-22,16:00,Série A,Matchweek 2,Sun,Away,L,0,1,Grêmio,56.0,15976.0,,4-2-3-1,4-2-2-2,Luiz Flavio De Oliveira,Match Report,
2016-05-25,21:00,Série A,Matchweek 3,Wed,Home,D,2,2,Chapecoense,62.0,2705.0,,4-2-3-1,4-3-2-1,Diego Almeida Real,Match Report,
2016-05-29,11:00,Série A,Matchweek 4,Sun,Away,W,2,1,Ponte Preta,39.0,7106.0,,4-2-3-1,4-4-2,Anderson Daronco,Match Report,
2016-06-02,21:00,Série A,Matchweek 5,Thu,Home,W,1,0,Vitória,51.0,6164.0,,4-2-3-1,4-2-3-1,Igor Junior Benevenuto,Match Report,
2016-06-05,16:00,Série A,Matchweek 6,Sun,Home,L,1,2,Palmeiras,39.0,54665.0,,4-2-3-1,4-2-3-1,Dewson Fernando Freitas da Silva,Match Report,
2016-06-12,16:00,Série A,Matchweek 7,Sun,Away,L,0,1,Figueirense,63.0,10948.0,,4-2-3-1,4-4-1-1,Leandro Pedro Vuaden,Match Report,
2016-06-15,21:45,Série A,Matchweek 8,Wed,Away,W,1,0,Cruzeiro,38.0,17593.0,,4-2-3-1,4-2-3-1,Raphael Claus,Match Report,
2016-06-19,16:00,Série A,Matchweek 9,Sun,Home,D,2,2,São Paulo,62.0,27233.0,,4-2-3-1,4-2-3-1,Elmo Alves Resende Cunha,Match Report,
2016-06-22,21:00,Série A,Matchweek 10,Wed,Away,W,1,0,Santa Cruz,52.0,12739.0,,4-2-3-1,4-2-3-1,Wagner Reway,Match Report,
2016-06-26,16:00,Série A,Matchweek 11,Sun,Home,L,1,2,Fluminense,56.0,25946.0,,4-2-3-1,4-2-3-1,Luiz Flavio De Oliveira,Match Report,
2016-06-29,19:30,Série A,Matchweek 12,Wed,Home,W,1,0,Internacional,41.0,21000.0,,4-2-3-1,4-2-3-1,Ricardo Marques Ribeiro,Match Report,
2016-07-03,16:00,Série A,Matchweek 13,Sun,Away,L,0,4,Corinthians,51.0,32577.0,,4-2-3-1,4-2-3-1,Heber Roberto Lopes,Match Report,
2016-07-10,11:00,Série A,Matchweek 14,Sun,Home,W,2,0,Atlético Mineiro,46.0,23390.0,,4-2-3-1,4-2-3-1,Marielson Alves Silva,Match Report,
2016-07-16,16:00,Série A,Matchweek 15,Sat,Away,D,3,3,Botafogo (RJ),53.0,11692.0,,4-2-3-1,4-3-1-2,Flavio Rodrigues De Souza,Match Report,
2016-07-25,20:00,Série A,Matchweek 16,Mon,Home,W,2,1,América (MG),62.0,16523.0,,4-2-3-1,4-2-3-1,Rodrigo Batista Raposo,Match Report,
