Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Willian Arão,br BRA,"DF,MF",23.0,37,36,3229.0,35.9,4.0,2.0,6.0,4.0,0.0,0.0,4.0,0.0,0.11,0.06,0.17,0.11,0.17,Matches
Márcio Araújo,br BRA,"DF,MF",31.0,36,36,3011.0,33.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Alex Muralha,br BRA,GK,26.0,33,33,2970.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jorge,br BRA,DF,19.0,32,32,2875.0,31.9,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,0.06,0.03,0.09,0.06,0.09,Matches
Réver,br BRA,DF,31.0,29,29,2610.0,29.0,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches
Rafael Vaz,br BRA,DF,27.0,29,28,2516.0,28.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches
Éverton,br BRA,MF,27.0,30,26,2099.0,23.3,3.0,7.0,10.0,3.0,0.0,0.0,6.0,1.0,0.13,0.3,0.43,0.13,0.43,Matches
Pará,br BRA,"DF,MF",29.0,27,25,2275.0,25.3,0.0,6.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.24,0.24,0.0,0.24,Matches
Paolo Guerrero,pe PER,FW,32.0,21,21,1802.0,20.0,9.0,3.0,12.0,9.0,0.0,0.0,7.0,0.0,0.45,0.15,0.6,0.45,0.6,Matches
Alan Patrick,br BRA,MF,24.0,28,18,1664.0,18.5,4.0,4.0,8.0,2.0,2.0,3.0,2.0,0.0,0.22,0.22,0.43,0.11,0.32,Matches
Diego,br BRA,MF,30.0,17,17,1459.0,16.2,6.0,3.0,9.0,5.0,1.0,1.0,3.0,0.0,0.37,0.19,0.56,0.31,0.49,Matches
