Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 21_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Everton Ribeiro,br BRA,"FW,MF",28.0,35,34,2813.0,31.3,7.0,5.0,12.0,7.0,0.0,0.0,5.0,1.0,0.22,0.16,0.38,0.22,0.38,Matches
Renê,br BRA,DF,25.0,34,33,2977.0,33.1,2.0,5.0,7.0,2.0,0.0,0.0,7.0,0.0,0.06,0.15,0.21,0.06,0.21,Matches
Léo Duarte,br BRA,DF,21.0,33,33,2938.0,32.6,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
Lucas Paquetá,br BRA,"FW,MF",20.0,32,31,2743.0,30.5,10.0,1.0,11.0,10.0,0.0,0.0,9.0,1.0,0.33,0.03,0.36,0.33,0.36,Matches
Gustavo Cuellar,co COL,MF,25.0,28,27,2309.0,25.7,0.0,2.0,2.0,0.0,0.0,0.0,6.0,3.0,0.0,0.08,0.08,0.0,0.08,Matches
Réver,br BRA,DF,33.0,26,26,2269.0,25.2,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches
Rodinei,br BRA,DF,26.0,28,23,2079.0,23.1,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,0.04,0.09,0.13,0.04,0.13,Matches
Diego Alves,br BRA,GK,32.0,23,23,2070.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Diego,br BRA,MF,32.0,26,22,2026.0,22.5,6.0,3.0,9.0,5.0,1.0,1.0,10.0,1.0,0.27,0.13,0.4,0.22,0.36,Matches
Vitinho,br BRA,"FW,MF",24.0,22,19,1616.0,18.0,3.0,5.0,8.0,3.0,0.0,0.0,2.0,0.0,0.17,0.28,0.45,0.17,0.45,Matches
Pará,br BRA,"DF,MF",31.0,20,16,1454.0,16.2,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches
Fernando Uribe,co COL,FW,30.0,20,16,1327.0,14.7,6.0,2.0,8.0,6.0,0.0,0.0,1.0,0.0,0.41,0.14,0.54,0.41,0.54,Matches
Henrique Dourado,br BRA,FW,28.0,20,16,1169.0,13.0,6.0,0.0,6.0,4.0,2.0,2.0,6.0,1.0,0.46,0.0,0.46,0.31,0.31,Matches
Willian Arão,br BRA,"DF,MF",25.0,23,15,1461.0,16.2,2.0,2.0,4.0,2.0,0.0,0.0,6.0,1.0,0.12,0.12,0.25,0.12,0.25,Matches
César,br BRA,GK,26.0,14,14,1260.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Vinicius Júnior,br BRA,"FW,MF",17.0,12,11,973.0,10.8,4.0,3.0,7.0,4.0,0.0,0.0,3.0,0.0,0.37,0.28,0.65,0.37,0.65,Matches
Rhodolfo,br BRA,DF,31.0,12,9,868.0,9.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.1,0.0,0.1,0.1,0.1,Matches
Marlos Moreno,co COL,"FW,MF",21.0,21,6,631.0,7.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.14,0.14,0.29,0.14,0.29,Matches
Robert Piris Da Motta,py PAR,MF,23.0,11,6,541.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Matheus Thuler,br BRA,DF,18.0,7,5,501.0,5.6,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.18,0.0,0.18,0.18,0.18,Matches
Jean Lucas,br BRA,MF,19.0,14,4,376.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Miguel Trauco,pe PER,"DF,MF",25.0,6,4,368.0,4.1,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.0,0.98,Matches
Juan,br BRA,DF,38.0,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Paolo Guerrero,pe PER,FW,34.0,6,4,359.0,4.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.25,0.25,0.5,0.25,0.5,Matches
Jonas,br BRA,MF,26.0,7,4,347.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Geuvânio,br BRA,"FW,MF",25.0,12,3,430.0,4.8,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.21,0.21,0.0,0.21,Matches
Rômulo,br BRA,MF,27.0,7,3,300.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Matheus Sávio,br BRA,MF,20.0,5,3,205.0,2.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.44,0.0,0.44,0.44,0.44,Matches
Lincoln,br BRA,FW,17.0,9,2,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
