Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Willian Arão,br BRA,MF,26.0,35,2937.0,84.0,85.9,32.6,33,88.0,30.0,2,16.0,1,2.37,74.0,34.0,40.0,1.23,-0.45,68.1,36.4,31.7,0.97,-0.37,Matches
Diego Alves,br BRA,GK,33.0,32,2880.0,90.0,84.2,32.0,32,90.0,32.0,0,,1,2.47,71.0,30.0,41.0,1.28,-0.05,68.6,36.4,32.2,1.01,-0.09,Matches
Bruno Henrique,br BRA,"FW,MF",28.0,33,2570.0,78.0,75.1,28.6,29,86.0,22.0,4,21.0,0,2.27,65.0,31.0,34.0,1.19,-0.4,63.2,31.7,31.5,1.1,0.33,Matches
Gabriel Barbosa,br BRA,FW,22.0,29,2537.0,87.0,74.2,28.2,29,87.0,19.0,0,,1,2.34,63.0,28.0,35.0,1.24,-0.19,59.1,30.9,28.2,1.0,-0.08,Matches
Rodrigo Caio,br BRA,DF,25.0,29,2418.0,83.0,70.7,26.9,28,86.0,26.0,1,5.0,1,2.45,58.0,25.0,33.0,1.23,-0.21,59.9,27.9,32.0,1.19,0.58,Matches
Everton Ribeiro,br BRA,"MF,FW",29.0,32,2454.0,77.0,71.8,27.3,27,87.0,20.0,5,19.0,0,2.38,62.0,25.0,37.0,1.36,0.24,60.7,27.7,33.0,1.21,0.66,Matches
Gerson,br BRA,MF,21.0,27,1999.0,74.0,58.5,22.2,23,83.0,15.0,4,22.0,0,2.48,46.0,23.0,23.0,1.04,-0.61,40.1,24.4,15.7,0.71,-0.76,Matches
Pablo Marí,es ESP,DF,25.0,22,1980.0,90.0,57.9,22.0,22,90.0,22.0,0,,1,2.45,49.0,23.0,26.0,1.18,-0.26,43.3,24.4,18.9,0.86,-0.39,Matches
Giorgian De Arrascaeta,uy URU,"MF,FW",24.0,23,1814.0,79.0,53.0,20.2,22,80.0,7.0,1,45.0,2,2.22,51.0,21.0,30.0,1.49,0.42,47.5,20.0,27.5,1.36,0.73,Matches
Renê,br BRA,DF,26.0,23,1701.0,74.0,49.7,18.9,18,90.0,17.0,5,18.0,14,2.35,39.0,13.0,26.0,1.38,0.17,38.0,19.7,18.2,0.96,-0.12,Matches
Rafinha,br BRA,DF,33.0,20,1566.0,78.0,45.8,17.4,18,83.0,14.0,2,33.0,4,2.65,48.0,16.0,32.0,1.84,1.01,37.9,15.6,22.3,1.28,0.47,Matches
Filipe Luís,br BRA,DF,33.0,16,1269.0,79.0,37.1,14.1,15,84.0,10.0,1,13.0,6,2.25,33.0,19.0,14.0,0.99,-0.47,29.0,17.7,11.3,0.8,-0.35,Matches
Robert Piris Da Motta,py PAR,MF,24.0,26,1300.0,50.0,38.0,14.4,13,81.0,8.0,13,19.0,10,2.5,30.0,13.0,17.0,1.18,-0.18,28.5,19.5,9.0,0.62,-0.65,Matches
Vitinho,br BRA,"FW,MF",25.0,25,1164.0,47.0,34.0,12.9,12,71.0,3.0,13,24.0,4,2.44,27.0,9.0,18.0,1.39,0.16,28.5,12.8,15.7,1.22,0.29,Matches
Rodinei,br BRA,DF,27.0,17,1124.0,66.0,32.9,12.5,12,87.0,9.0,5,17.0,19,2.35,26.0,13.0,13.0,1.04,-0.37,29.5,17.2,12.3,0.99,-0.05,Matches
Matheus Thuler,br BRA,DF,19.0,13,1040.0,80.0,30.4,11.6,10,90.0,9.0,3,48.0,24,2.62,28.0,12.0,16.0,1.38,0.14,25.9,16.1,9.8,0.85,-0.25,Matches
Diego,br BRA,MF,33.0,16,887.0,55.0,25.9,9.9,10,78.0,5.0,6,18.0,5,2.25,24.0,10.0,14.0,1.42,0.18,23.7,13.1,10.6,1.08,0.07,Matches
Reinier,br BRA,"MF,FW",17.0,14,710.0,51.0,20.8,7.9,8,67.0,2.0,6,30.0,12,2.64,21.0,5.0,16.0,2.03,0.93,16.9,9.4,7.5,0.95,-0.1,Matches
Gustavo Cuellar,co COL,MF,26.0,9,708.0,79.0,20.7,7.9,8,85.0,5.0,1,31.0,0,2.11,17.0,10.0,7.0,0.89,-0.5,19.7,9.0,10.8,1.37,0.43,Matches
Rhodolfo,br BRA,DF,32.0,9,683.0,76.0,20.0,7.6,8,85.0,7.0,1,0.0,26,2.67,22.0,6.0,16.0,2.11,1.02,16.3,9.1,7.2,0.95,-0.09,Matches
Léo Duarte,br BRA,DF,22.0,7,599.0,86.0,17.5,6.7,7,86.0,6.0,0,,0,1.57,14.0,7.0,7.0,1.05,-0.29,15.3,6.1,9.2,1.38,0.44,Matches
César,br BRA,GK,27.0,6,538.0,90.0,15.7,6.0,6,90.0,5.0,0,,31,1.83,15.0,6.0,9.0,1.51,0.26,13.0,6.0,7.0,1.17,0.18,Matches
Pará,br BRA,DF,32.0,6,530.0,88.0,15.5,5.9,6,88.0,5.0,0,,4,1.67,8.0,7.0,1.0,0.17,-1.32,11.4,7.1,4.3,0.72,-0.36,Matches
Miguel Trauco,pe PER,DF,26.0,5,450.0,90.0,13.2,5.0,5,90.0,5.0,0,,5,2.6,14.0,5.0,9.0,1.8,0.59,14.7,5.4,9.3,1.86,0.97,Matches
Orlando Berrío,co COL,"FW,MF",27.0,16,453.0,28.0,13.2,5.0,4,68.0,0.0,12,15.0,11,2.25,9.0,2.0,7.0,1.39,0.12,10.2,6.3,3.9,0.78,-0.28,Matches
Lincoln,br BRA,"FW,MF",18.0,11,395.0,36.0,11.5,4.4,4,72.0,1.0,7,15.0,13,2.09,17.0,3.0,14.0,3.19,2.15,13.3,4.1,9.2,2.1,1.21,Matches
Lucas Silva,br BRA,"FW,MF",21.0,9,235.0,26.0,6.9,2.6,3,46.0,0.0,6,16.0,15,2.44,4.0,2.0,2.0,0.77,-0.56,5.1,3.3,1.8,0.68,-0.36,Matches
João Lucas,br BRA,DF,20.0,6,215.0,36.0,6.3,2.4,2,78.0,0.0,4,15.0,11,2.5,4.0,1.0,3.0,1.26,-0.04,2.9,2.8,0.0,0.02,-1.07,Matches
Ronaldo,br BRA,MF,22.0,3,182.0,61.0,5.3,2.0,2,91.0,2.0,1,1.0,6,1.67,3.0,2.0,1.0,0.49,-0.84,4.1,3.2,0.9,0.44,-0.61,Matches
Hugo Moura,br BRA,MF,21.0,1,90.0,90.0,2.6,1.0,1,90.0,1.0,0,,26,0.5,2.0,3.0,-1.0,-1.0,-2.35,1.2,1.9,-0.7,-0.69,-1.76,Matches
Dantas,br BRA,DF,20.0,1,63.0,63.0,1.8,0.7,1,63.0,0.0,0,,9,1.0,1.0,0.0,1.0,1.43,0.14,1.1,0.9,0.2,0.3,-0.73,Matches
Vitor Gabriel,br BRA,FW,19.0,1,45.0,45.0,1.3,0.5,0,,0.0,1,45.0,15,3.0,2.0,1.0,1.0,2.0,0.72,1.0,0.8,0.2,0.38,-0.65,Matches
Rafael Santos,br BRA,DF,20.0,1,27.0,27.0,0.8,0.3,0,,0.0,1,26.0,3,1.0,0.0,1.0,-1.0,-3.33,-4.66,0.0,0.9,-0.9,-3.02,-4.07,Matches
Vinicius Souza,br BRA,MF,19.0,3,27.0,9.0,0.8,0.3,0,,0.0,3,8.0,19,3.0,0.0,0.0,0.0,0.0,-1.3,0.1,0.9,-0.8,-2.71,-3.76,Matches
Bill,br BRA,FW,19.0,1,7.0,7.0,0.2,0.1,0,,0.0,1,6.0,2,3.0,0.0,1.0,-1.0,-12.86,-14.18,0.0,0.2,-0.2,-2.11,-3.13,Matches
Gabriel Batista,br BRA,GK,20.0,1,2.0,2.0,0.1,0.0,0,,0.0,1,1.0,24,1.0,0.0,1.0,-1.0,-45.0,-46.32,0.0,0.4,-0.4,-35.48,-36.51,Matches
Juan,br BRA,FW,39.0,1,1.0,1.0,0.0,0.0,0,,0.0,1,0.0,0,3.0,0.0,0.0,0.0,0.0,-1.29,0.0,0.0,0.0,0.0,-1.02,Matches
Yago Darub,br BRA,GK,19.0,0,,,,,0,,0.0,0,,1,,,,,,,,,,,,Matches
Klebinho,br BRA,"DF,MF",20.0,0,,,,,0,,0.0,0,,4,,,,,,,,,,,,Matches
Mosquito,br BRA,GK,22.0,0,,,,,0,,0.0,0,,4,,,,,,,,,,,,Matches
João Pedro Pepê,br BRA,MF,21.0,0,,,,,0,,0.0,0,,6,,,,,,,,,,,,Matches
Yuri,br BRA,MF,18.0,0,,,,,0,,0.0,0,,1,,,,,,,,,,,,Matches
Squad Total,,,26.8,38,3420.0,90.0,100.0,38.0,418,85.0,,111,20.0,341,2.37,86.0,37.0,49.0,1.29,,81.6,42.8,38.8,1.02,,
Opponent Total,,,27.4,38,3420.0,90.0,100.0,38.0,418,85.0,,112,23.0,322,0.47,37.0,86.0,-49.0,-1.29,,42.8,81.6,-38.8,-1.02,,
