Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2019-03-05,18:15,Libertadores,Group stage,Tue,Away,W,1,0,bo San José,1.3,1.2,45,,Diego,4-2-3-1,4-4-2,Néstor Pitana,Match Report,
2019-03-13,21:30,Libertadores,Group stage,Wed,Home,W,3,1,ec LDU de Quito,2.5,1.7,69,,Diego,4-2-3-1,4-2-3-1,Germán Delfino,Match Report,
2019-04-03,21:30,Libertadores,Group stage,Wed,Home,L,0,1,uy Peñarol,0.5,1.2,60,,Diego,4-2-3-1,4-1-4-1,Patricio Loustau,Match Report,
2019-04-11,21:00,Libertadores,Group stage,Thu,Home,W,6,1,bo San José,5.7,0.9,67,,Diego,4-2-3-1,4-2-3-1,Piero Maza,Match Report,
2019-04-25,01:30,Libertadores,Group stage,Thu,Away,L,1,2,ec LDU de Quito,0.5,2.0,48,,Everton Ribeiro,4-2-3-1,4-4-1-1,Néstor Pitana,Match Report,
2019-04-27,21:00,Série A,Matchweek 1,Sat,Home,W,3,1,Cruzeiro,2.5,0.4,58,35016.0,Everton Ribeiro,4-2-3-1,4-2-3-1,Anderson Daronco,Match Report,
2019-05-01,16:00,Série A,Matchweek 2,Wed,Away,L,1,2,Internacional,0.9,1.4,54,37001.0,Everton Ribeiro,4-2-3-1,4-3-3,Flavio Rodrigues De Souza,Match Report,
2019-05-05,16:00,Série A,Matchweek 3,Sun,Away,D,1,1,São Paulo,1.2,1.9,36,38749.0,Diego,4-1-4-1,4-3-3,Ricardo Marques Ribeiro,Match Report,
2019-05-08,21:30,Libertadores,Group stage,Wed,Away,D,0,0,uy Peñarol,1.5,0.8,50,,Everton Ribeiro,4-2-3-1,4-2-3-1,Roberto Tobar,Match Report,
2019-05-12,11:00,Série A,Matchweek 4,Sun,Home,W,2,1,Chapecoense,2.9,1.3,56,61023.0,Diego,4-2-3-1,4-2-3-1,Jean Pierre Goncalves Lima,Match Report,
2019-05-18,19:00,Série A,Matchweek 5,Sat,Away,L,1,2,Atlético Mineiro,2.6,0.9,65,13616.0,Everton Ribeiro,4-2-3-1,4-2-3-1,Paulo Roberto Alves Júnior,Match Report,
2019-05-26,16:00,Série A,Matchweek 6,Sun,Home,W,3,2,Ath Paranaense,1.6,2.9,50,52667.0,Diego,4-1-4-1,4-4-2,Daniel Nobre Bins,Match Report,
2019-06-01,16:00,Série A,Matchweek 7,Sat,Home,W,2,0,Fortaleza,3.2,0.4,64,37658.0,Diego,4-2-3-1,4-4-2,Rodrigo D'Alonso Ferreira,Match Report,
2019-06-09,19:00,Série A,Matchweek 8,Sun,Away,D,0,0,Fluminense,1.0,1.1,37,42726.0,Diego,4-2-3-1,4-2-3-1,Wagner do Nascimento Magalhaes,Match Report,
2019-06-12,21:30,Série A,Matchweek 9,Wed,Away,W,2,0,CSA,2.8,0.4,66,37673.0,Everton Ribeiro,4-2-3-1,4-1-4-1,Douglas Marques das Flores,Match Report,
2019-07-14,11:00,Série A,Matchweek 10,Sun,Home,W,6,1,Goiás,5.4,0.5,72,65154.0,Diego,4-1-3-2,4-2-3-1,Caio Max Augusto Vieira,Match Report,
2019-07-21,16:00,Série A,Matchweek 11,Sun,Away,D,1,1,Corinthians,0.9,1.3,54,34737.0,Diego,4-1-4-1,4-1-4-1,Leandro Pedro Vuaden,Match Report,
2019-07-24,19:30,Libertadores,Round of 16,Wed,Away,L,0,2,ec CS Emelec,0.8,0.3,69,,Diego,4-1-4-1,4-2-3-1,Fernando Rapallini,Match Report,Leg 1 of 2
2019-07-28,16:00,Série A,Matchweek 12,Sun,Home,W,3,2,Botafogo (RJ),2.0,1.3,61,45622.0,Diego Alves,4-4-2,4-1-4-1,Raphael Claus,Match Report,
2019-07-31,21:30,Libertadores,Round of 16,Wed,Home,W,2 (4),0 (2),ec CS Emelec,2.7,0.5,67,,Everton Ribeiro,4-2-3-1,4-1-4-1,Néstor Pitana,Match Report,Leg 2 of 2; Flamengo won; Flamengo won on penalty kicks following extra time
2019-08-04,16:00,Série A,Matchweek 13,Sun,Away,L,0,3,Bahia,0.9,1.3,67,43099.0,Everton Ribeiro,4-2-3-1,4-3-3,Flavio Rodrigues De Souza,Match Report,
2019-08-10,19:00,Série A,Matchweek 14,Sat,Home,W,3,1,Grêmio,2.3,1.1,57,57644.0,Diego Alves,4-2-2-2,4-2-3-1,Braulio da Silva Machado,Match Report,
2019-08-17,19:00,Série A,Matchweek 15,Sat,Away,W,4,1,Vasco da Gama,3.6,2.4,57,65418.0,Diego Alves,4-2-3-1,4-3-3,Leandro Pedro Vuaden,Match Report,
2019-08-21,21:30,Libertadores,Quarter-finals,Wed,Home,W,2,0,br Internacional,1.4,0.6,65,,Everton Ribeiro,4-1-2-1-2◆,4-1-4-1,Roberto Tobar,Match Report,Leg 1 of 2
2019-08-25,19:00,Série A,Matchweek 16,Sun,Away,W,3,0,Ceará,1.6,0.7,49,49986.0,Diego Alves,4-1-4-1,4-2-3-1,Wilton Sampaio,Match Report,
2019-08-28,21:30,Libertadores,Quarter-finals,Wed,Away,D,1,1,br Internacional,1.5,0.5,45,,Everton Ribeiro,4-1-4-1,4-3-3,Patricio Loustau,Match Report,Leg 2 of 2; Flamengo won
2019-09-01,16:00,Série A,Matchweek 17,Sun,Home,W,3,0,Palmeiras,1.7,0.1,66,65969.0,Everton Ribeiro,4-2-3-1,4-1-4-1,Rafael Traci,Match Report,
2019-09-07,17:00,Série A,Matchweek 18,Sat,Away,W,3,0,Avaí,0.9,1.0,59,47575.0,Everton Ribeiro,4-2-3-1,4-5-1,Edina Alves Batista,Match Report,
2019-09-14,17:00,Série A,Matchweek 19,Sat,Home,W,1,0,Santos,0.7,0.3,51,68243.0,Everton Ribeiro,4-2-3-1,4-3-3,Braulio da Silva Machado,Match Report,
2019-09-21,17:00,Série A,Matchweek 20,Sat,Away,W,2,1,Cruzeiro,2.6,1.4,58,40333.0,Diego Alves,4-2-3-1,4-2-3-1,Raphael Claus,Match Report,
2019-09-25,21:30,Série A,Matchweek 21,Wed,Home,W,3,1,Internacional,3.6,0.1,71,64548.0,Everton Ribeiro,4-2-3-1,4-3-3,Luiz Flávio de Oliveira,Match Report,
2019-09-28,19:00,Série A,Matchweek 22,Sat,Home,D,0,0,São Paulo,1.7,0.5,61,67051.0,Everton Ribeiro,4-2-3-1,4-1-4-1,Rafael Traci,Match Report,
