Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Ayrton Lucas,br BRA,DF,24.0,28.4,63,39,28,33,2,36,60,60.0,24,26,10,16,27,90,52,1,Matches
Matheuzinho,br BRA,DF,21.0,23.9,53,38,29,18,6,30,45,66.7,15,25,8,17,26,79,43,0,Matches
Gabriel Barbosa,br BRA,FW,25.0,22.7,10,5,2,5,3,5,18,27.8,13,0,0,0,2,12,2,0,Matches
Pablo,br BRA,DF,30.0,21.6,27,18,17,10,0,12,18,66.7,6,18,14,4,34,61,105,2,Matches
João Gomes,br BRA,MF,20.0,20.9,92,51,37,45,10,31,75,41.3,44,24,3,21,26,118,32,0,Matches
Everton Ribeiro,br BRA,"MF,FW",32.0,19.9,44,20,18,16,10,13,44,29.5,31,22,2,20,19,63,6,1,Matches
Santos,br BRA,GK,31.0,19.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,9,0,Matches
Thiago Maia,br BRA,MF,24.0,17.2,44,26,17,21,6,22,45,48.9,23,18,7,11,24,68,27,0,Matches
David Luiz,br BRA,DF,34.0,15.8,13,4,5,7,1,5,7,71.4,2,15,12,3,13,26,48,0,Matches
Victor Hugo,br BRA,MF,17.0,13.9,24,11,7,13,4,10,26,38.5,16,8,3,5,11,35,20,0,Matches
Giorgian De Arrascaeta,uy URU,MF,27.0,16.4,37,23,11,17,9,8,22,36.4,14,18,0,18,5,42,5,0,Matches
Marinho,br BRA,FW,31.0,15.3,26,12,10,10,6,11,26,42.3,15,14,1,13,7,33,6,1,Matches
Everton Soares,br BRA,"FW,MF",25.0,15.7,22,13,3,9,10,6,12,50.0,6,8,0,8,6,28,2,0,Matches
Hugo Souza,br BRA,GK,23.0,14.3,1,1,1,0,0,1,2,50.0,1,0,0,0,1,2,7,1,Matches
Fabrício Bruno,br BRA,DF,25.0,13.0,13,6,12,1,0,6,11,54.5,5,3,3,0,10,23,52,0,Matches
Pedro,br BRA,FW,24.0,13.0,6,3,1,3,2,3,9,33.3,6,3,1,2,3,9,11,0,Matches
Léo Pereira,br BRA,DF,26.0,12.4,13,9,8,4,1,10,18,55.6,8,12,6,6,11,24,22,0,Matches
Diego,br BRA,MF,36.0,9.8,18,15,7,9,2,11,32,34.4,21,16,8,8,10,28,8,1,Matches
Willian Arão,br BRA,"MF,DF",29.0,10.2,11,4,7,2,2,7,14,50.0,7,13,10,3,17,28,19,1,Matches
Rodinei,br BRA,DF,30.0,9.8,26,17,8,14,4,16,18,88.9,2,7,3,4,13,39,6,0,Matches
Lázaro,br BRA,"FW,MF",19.0,9.1,15,7,6,5,4,8,24,33.3,16,9,1,8,3,18,7,0,Matches
Arturo Vidal,cl CHI,MF,34.0,9.3,23,16,8,10,5,13,27,48.1,14,11,1,10,21,44,7,0,Matches
Andreas Pereira,br BRA,MF,26.0,8.8,8,5,1,4,3,3,16,18.8,13,7,0,7,4,12,7,0,Matches
Filipe Luís,br BRA,DF,36.0,7.1,20,12,7,9,4,10,12,83.3,2,7,1,6,12,32,10,0,Matches
Bruno Henrique,br BRA,"FW,MF",31.0,6.8,12,8,4,6,2,4,9,44.4,5,5,0,5,4,16,7,0,Matches
