Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Fabrício Bruno,br BRA,DF,26.0,34.0,2551,247,1039,1430,97,26,2551,5,4,80.0,1,20.0,1637,8228,4962,32,22,0,7,1,1786,6,Matches
Léo Pereira,br BRA,DF,27.0,29.4,2369,215,914,1318,149,30,2369,15,9,60.0,3,20.0,1523,8551,5275,43,27,0,26,6,1701,16,Matches
Gerson,br BRA,MF,25.0,29.9,1819,44,230,910,702,106,1819,91,49,53.8,31,34.1,1181,5659,2905,82,59,15,53,33,1379,197,Matches
Ayrton Lucas,br BRA,DF,25.0,28.8,2146,76,526,1069,574,50,2146,88,48,54.5,28,31.8,1299,7263,3660,66,71,10,33,31,1484,131,Matches
Wesley,br BRA,DF,19.0,27.9,1877,75,397,836,665,59,1877,81,32,39.5,41,50.6,1106,5254,2362,50,45,13,64,41,1213,289,Matches
Pedro,br BRA,FW,25.0,23.9,632,17,44,283,317,99,628,42,18,42.9,22,52.4,369,1450,547,16,13,6,55,23,452,109,Matches
Thiago Maia,br BRA,MF,25.0,23.3,1644,62,353,1042,264,8,1644,20,13,65.0,7,35.0,876,3298,1423,16,19,0,23,17,1172,50,Matches
Erick Pulgar,cl CHI,MF,29.0,22.2,1586,67,335,1028,234,18,1586,11,5,45.5,5,45.5,884,3753,1666,16,23,2,23,13,1121,31,Matches
Giorgian De Arrascaeta,uy URU,"MF,FW",28.0,20.5,1290,23,103,547,663,82,1290,60,35,58.3,17,28.3,837,3719,1651,37,42,14,54,41,952,168,Matches
Everton Soares,br BRA,"FW,MF",26.0,19.3,966,13,80,271,631,83,966,126,54,42.9,60,47.6,635,4599,2413,85,53,34,24,26,658,217,Matches
Matheus Cunha,br BRA,GK,21.0,17.6,787,510,753,34,0,0,787,0,0,,0,,486,2302,1489,0,0,0,1,0,471,0,Matches
Gabriel Barbosa,br BRA,FW,26.0,17.1,633,0,26,257,353,61,628,15,6,40.0,8,53.3,362,1896,925,27,27,5,17,8,485,112,Matches
Everton Ribeiro,br BRA,"FW,MF",33.0,16.4,1088,12,117,448,533,31,1088,37,16,43.2,18,48.6,691,3737,1961,35,42,6,22,26,829,97,Matches
Agustín Rossi,ar ARG,GK,27.0,15.0,536,384,527,9,0,0,536,0,0,,0,,338,1890,1295,0,0,0,0,0,261,0,Matches
Bruno Henrique,br BRA,"FW,MF",32.0,17.1,734,23,73,238,436,87,734,64,27,42.2,30,46.9,482,3254,1709,64,47,21,45,27,550,198,Matches
Victor Hugo,br BRA,"MF,FW",18.0,14.2,832,14,88,509,245,29,832,51,35,68.6,15,29.4,556,3309,1728,32,33,5,28,16,648,54,Matches
David Luiz,br BRA,DF,35.0,11.0,844,110,353,430,66,13,844,10,8,80.0,2,20.0,534,3037,1864,14,15,1,11,1,567,4,Matches
Luiz Araújo,br BRA,FW,26.0,8.7,513,12,59,196,271,45,513,48,25,52.1,21,43.8,347,2138,1025,30,23,10,18,10,376,113,Matches
Matheuzinho,br BRA,DF,22.0,6.9,470,30,113,247,114,10,470,6,2,33.3,3,50.0,266,1117,493,9,7,0,8,2,290,30,Matches
Filipe Luís,br BRA,DF,37.0,5.9,468,26,121,245,105,5,468,7,3,42.9,1,14.3,276,1211,700,14,11,1,5,1,300,12,Matches
Santos,br BRA,GK,32.0,5.4,203,114,186,17,0,0,203,0,0,,0,,126,698,489,0,0,0,0,0,112,0,Matches
Matheus França,br BRA,"MF,FW",18.0,4.1,216,1,17,77,123,28,216,21,11,52.4,9,42.9,140,983,450,16,10,9,9,9,164,43,Matches
Allan,br BRA,MF,25.0,5.4,471,7,65,327,83,1,471,4,2,50.0,0,0.0,321,1730,891,12,13,0,3,3,361,6,Matches
Pablo,br BRA,DF,31.0,4.7,367,55,156,207,4,2,367,1,1,100.0,0,0.0,230,1175,702,4,0,0,1,0,262,0,Matches
Guillermo Varela,uy URU,DF,29.0,2.6,169,7,34,92,44,1,169,4,2,50.0,1,25.0,112,570,311,6,9,0,1,0,123,14,Matches
Arturo Vidal,cl CHI,"MF,DF",35.0,2.8,231,8,39,118,75,8,231,1,0,0.0,1,100.0,130,403,206,2,2,0,2,3,189,12,Matches
